 Produção Ambulatorial do SUS - Brasil - por local de residência
Valor apresentado por Município e Ano/mês atendimento
Período:2011-2014
"Município";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"Total"
"330490 São Gonçalo";11902,65;76523,57;165673,60;2787558,66;2905192,53;2899018,97;2699878,95;3059874,96;3065809,52;3139452,79;3125426,48;3000535,09;3095213,72;3041195,75;3248249,06;2827475,89;2580926,09;2865004,67;3079377,98;3246771,89;3562795,64;3432928,90;3482260,02;3355218,92;3702722,35;3532128,00;3215386,76;3211766,68;3039978,92;2983982,24;2968558,42;3087611,53;2967602,80;3539570,64;3243889,59;3446536,51;3514621,11;3444613,94;3364175,60;3594491,11;3782860,82;3923245,62;4036869,47;4121917,68;3569619,05;4145432,21;4431407,74;4452247,80;4168029,96;4032618,79;3917845,88;162193997,52
"330500 São João da Barra";30,48;1225,73;2617,58;71440,57;70758,94;78178,63;84364,47;106355,46;106018,38;113184,86;145431,65;129054,88;138671,82;131869,89;145581,17;138761,13;136995,19;166969,68;166509,74;160244,95;152209,23;95841,91;217169,07;158657,54;201940,62;165585,12;166757,44;150690,28;145021,88;170254,21;169155,86;166833,52;155321,97;170977,71;159409,28;172843,95;180995,98;165574,69;161680,33;149458,21;171824,75;161751,00;157263,77;151692,48;166162,10;182783,00;164845,95;186110,28;200343,51;189184,04;164395,13;7267000,01
"330510 São João de Meriti";4735,74;32407,33;86282,30;1448783,70;1506287,58;1631783,54;1515482,10;1587414,93;1488402,89;1500354,65;1557005,81;1692150,32;1742883,00;1701273,30;1666889,23;1742394,41;1669339,97;1725547,24;1900833,86;2049590,01;2089152,42;2000002,57;2004262,62;1923358,87;2108760,21;2025859,51;1944824,36;1924884,87;1764002,37;1970666,33;2139624,56;2111498,27;1883006,97;2057063,60;2151828,43;2110512,59;2336877,83;2133713,18;1991220,87;2034860,44;1964519,81;2006631,60;2091006,78;2119694,16;2109760,16;2234410,38;2222292,78;2164802,66;2224244,19;1922717,14;1773803,41;91789705,85
"330513 São José de Ubá";34,29;95,25;-;23590,95;19937,61;19763,43;16040,03;25259,63;23597,23;24859,83;26271,98;22412,42;20632,07;28722,59;23259,77;25214,85;19076,14;20758,78;26817,99;30481,00;26177,70;25486,69;21836,36;22270,10;33866,83;29547,36;29647,78;30893,48;33795,44;43250,37;55673,95;47362,38;45812,20;47195,78;53257,06;40283,45;53500,78;53138,80;40504,02;30980,81;28826,99;35937,89;37963,71;43166,12;56675,58;41480,31;52068,14;44504,42;56948,35;48855,90;49206,40;1656940,99
"330515 São José do Vale do Rio Preto";11,43;-;96,48;57520,51;63012,84;60158,11;50405,90;56098,36;52556,01;63222,70;68420,88;69985,96;65314,89;68372,65;58742,73;55756,50;59632,93;72330,43;73626,44;77953,33;69609,54;74147,77;91523,84;72493,61;74577,18;58593,76;53540,78;52084,33;41675,56;58111,40;47479,55;64667,64;53359,82;86735,26;77114,23;73617,07;78793,91;96933,55;80987,49;81559,52;76516,84;52724,91;82726,49;94975,42;83279,45;95191,59;83208,15;85456,41;88193,70;59938,15;65476,71;3328512,71
"330520 São Pedro da Aldeia";5265,62;3560,00;7111,79;221429,61;219090,32;270524,49;278316,43;280062,45;275306,25;277433,55;256136,56;264856,82;266811,41;272920,94;279034,69;277085,93;241907,37;295112,96;292364,49;288721,71;294054,63;306402,14;297753,25;289660,67;299535,14;274655,71;266556,97;248628,69;235567,39;253007,47;269605,67;276207,41;265905,52;286170,22;292527,75;322436,42;338608,57;330030,59;388234,13;592398,29;414280,35;444783,62;371001,31;384860,92;380284,77;427452,00;403367,80;401676,36;435113,51;400153,87;364577,72;15128552,25
"330530 São Sebastião do Alto";-;-;-;70561,00;69166,42;66599,66;63675,21;77777,98;63895,39;72660,83;72319,50;69584,67;74362,35;77641,63;76696,10;81532,77;30199,14;34111,60;74885,33;79693,31;26410,86;79233,53;74959,64;73856,34;75146,85;69212,05;62526,74;22139,81;25826,89;20877,19;22662,35;31833,04;26730,64;32567,60;31546,90;42855,01;43115,78;42357,12;38571,23;38640,41;32442,83;28285,16;27541,31;36452,09;55931,73;48521,62;46833,84;44204,91;48465,50;31891,80;49144,23;2486147,89
"330540 Sapucaia";60,96;-;2496,92;58000,11;59607,27;64058,26;75421,73;72058,33;61594,46;59962,69;65488,15;61581,65;62038,84;67015,97;62018,98;63513,70;62132,48;68544,00;72793,73;71652,06;83781,59;74334,26;80678,36;75405,46;89718,03;87364,71;87695,75;96165,38;81427,20;82316,35;45478,63;79286,45;57814,95;80350,66;75243,49;80593,17;81103,91;75701,03;64604,68;85173,34;73271,36;70231,83;74696,46;79049,07;77374,10;81676,88;75202,28;79405,20;85695,34;65635,47;64082,47;3500598,15
"330550 Saquarema";4292,11;998,87;2516,96;218225,60;242728,80;217199,82;232721,15;226535,63;217213,84;187907,35;220020,47;174394,64;205560,94;218202,22;229321,20;209389,83;203510,12;210858,20;222288,87;257550,42;251696,89;258469,65;262830,33;269924,37;287955,32;278502,95;257510,87;247670,89;248304,40;262594,79;260600,13;252363,66;235491,94;251333,19;234001,51;253399,00;268761,88;252954,42;240790,32;259531,42;231034,26;249501,25;271994,07;274469,49;289255,95;309001,75;304093,79;315138,76;318987,86;334893,97;267402,81;12001898,93
"330555 Seropédica";310,00;886,16;1434,28;189718,75;175584,70;146591,71;124791,46;157604,14;190458,18;203783,03;167695,36;227069,21;201051,04;198522,27;206387,95;198253,98;162987,52;180509,75;201032,95;210078,93;223154,58;227133,79;220191,88;251403,59;207869,99;205377,99;181424,82;177602,22;169071,66;222834,48;201104,18;198689,75;172409,75;190351,11;214328,73;195232,20;184726,26;166421,39;167133,33;185026,56;199213,99;177246,01;183770,94;183349,71;186443,70;197705,09;239487,16;221466,43;217666,82;174115,80;192813,94;9279519,22
"330560 Silva Jardim";162,34;1562,34;1636,25;45324,95;51794,35;57421,07;45426,02;53402,25;60306,57;61021,51;70747,87;53954,70;52091,78;77945,44;59996,87;51603,06;43182,23;55920,62;43870,53;57402,89;56270,15;52639,23;56650,25;59522,09;61448,47;57556,87;62918,92;62051,77;70905,77;67363,95;64124,51;70274,96;66177,21;83285,85;74235,33;97064,78;106011,38;102949,26;82461,87;75168,00;82658,20;83945,92;65814,57;74004,40;71826,70;81067,80;73635,40;81600,07;82455,10;99537,94;90018,00;3260418,36
"330570 Sumidouro";-;653,05;1075,04;37991,80;35397,17;47923,09;40031,97;36691,66;38670,72;51885,82;47376,18;51313,83;47247,94;43557,17;51408,09;45369,90;39081,57;40179,44;54575,92;36914,98;50290,07;49904,52;62075,00;57585,66;59305,61;57091,19;46505,26;38850,42;34604,39;40173,84;52343,22;58187,37;56080,39;64341,40;52932,89;42204,15;66664,62;52317,53;56849,01;49517,12;50660,42;47490,47;70883,58;54459,66;44778,61;62508,61;46843,13;48920,72;48514,53;56091,97;44873,99;2371194,69
"330575 Tanguá";-;309,50;1580,85;64278,39;53146,28;54479,25;62321,38;66477,38;64260,39;61588,17;61257,02;58316,82;54194,48;53091,61;49384,56;60412,05;57784,12;61001,89;64730,11;76916,90;78363,27;85015,83;83474,56;81897,40;88755,28;89303,79;79232,74;78431,74;84873,81;85668,81;94757,08;101419,00;86186,79;113233,37;101922,58;99044,39;102944,39;104127,89;102737,95;88520,56;104364,31;109724,40;118951,54;108732,37;100771,51;115323,35;103036,62;86556,17;99566,87;82299,61;88119,53;3972888,66
"330580 Teresópolis";-;15,24;7957,51;519310,68;564869,97;579767,47;579163,18;560480,14;545153,67;596491,98;600158,84;597336,32;583474,72;585210,18;567169,33;526696,14;503514,68;511239,42;482391,08;520978,65;511100,73;551515,74;541211,25;507814,96;526568,32;515968,47;448667,20;452843,22;405610,63;466062,69;476033,04;497846,88;490465,13;585868,01;485297,33;630494,56;749923,12;701493,41;642700,27;668095,32;678529,64;630122,06;677818,15;710475,45;707117,55;796661,59;789010,09;762530,22;786989,01;732162,40;733874,19;28292249,83
"330590 Trajano de Moraes";-;-;51,00;28577,84;14825,71;26263,83;25031,80;31104,15;30330,55;29647,06;26812,54;23873,37;28600,57;26496,22;27572,44;27407,99;21371,11;26892,46;23712,71;26047,75;28400,14;22807,18;33019,88;27983,99;27148,41;27154,39;20493,45;31192,56;26511,04;36429,49;34200,21;28960,78;29188,16;34173,87;31572,79;24020,05;42695,57;37918,65;31780,57;27294,45;29041,98;21245,76;21012,60;22865,52;17922,23;15603,63;19307,14;18360,04;18729,99;16918,95;16402,55;1264975,12
"330600 Três Rios";540,30;704,31;17574,73;309913,41;332998,83;374937,49;378021,39;436481,05;424656,54;408169,51;394170,58;370467,48;430915,16;423489,26;416873,53;365870,37;390374,06;396516,75;459976,55;522977,90;463875,73;468781,06;515199,97;480257,45;511105,23;489250,93;455609,31;338955,64;305752,93;348976,39;252482,68;379463,92;328178,18;357533,85;334593,08;406799,13;357522,79;396370,54;327557,82;373593,71;266165,09;351661,06;331669,24;389700,24;382630,23;358394,68;382440,78;324978,32;376259,31;367270,69;382519,45;18661178,63
"330610 Valença";38,10;558,64;6606,59;370092,25;373588,54;394487,27;392550,96;421410,71;446815,07;398813,63;444564,37;439920,15;427906,25;431898,15;425689,37;400257,95;380206,09;440524,60;414969,40;476396,75;486927,66;454624,76;469556,52;430961,58;431783,64;431937,86;443891,38;485366,88;348011,40;383278,55;381212,53;399216,98;352771,15;396768,98;393513,44;388823,47;404976,72;392352,00;385133,96;379626,59;366337,58;403084,88;425282,05;408612,62;424434,11;411413,11;381682,31;410456,64;399789,13;357902,40;374791,88;19691817,60
"330615 Varre-Sai";-;19,05;18,00;34257,77;37559,70;42280,75;27284,03;35690,37;35023,64;31681,06;34241,09;43020,62;29362,14;29959,45;39355,98;29051,87;39634,25;33590,79;33654,75;34873,47;34066,39;33441,14;29481,37;30718,85;39161,55;36559,86;35458,81;28332,74;28055,97;33185,28;28681,93;35857,15;28430,53;29050,55;30800,76;32118,16;32158,06;33782,95;32130,22;30945,88;39294,91;36778,90;38046,29;39880,57;48343,82;45759,91;45472,22;48411,18;35102,51;31699,78;36840,52;1678607,54
"330620 Vassouras";-;25,50;6911,85;145757,02;135766,36;149169,46;157254,92;153500,58;174840,49;183783,10;161870,59;169278,86;167894,42;176016,51;169417,20;172041,25;172881,24;177114,71;165799,42;180510,63;223152,81;198093,18;195473,29;170956,57;166176,53;195772,88;185752,31;188890,28;173711,95;214296,22;198186,52;233883,78;197772,23;207941,52;219450,34;204712,68;212489,09;218718,81;199414,86;198911,20;182526,73;193735,09;200131,82;204993,91;202991,96;160195,29;247786,15;227033,89;188205,11;166277,33;185906,91;8983375,35
"330630 Volta Redonda";5135,28;360,84;13168,15;1268928,54;1418607,53;1397200,88;1379409,34;1515670,70;1498064,12;1453663,96;1546887,57;1508403,43;1509903,74;1538175,09;1473336,40;1485376,19;1325324,26;1400850,17;1376901,81;1635941,46;1526099,39;1504102,72;1623117,99;1458929,91;1609608,58;1407816,38;1488396,68;1282048,13;1187688,62;1355359,57;1390082,54;1401787,80;1340012,37;1436961,98;1446016,09;1405878,45;1468392,46;1400772,75;1592851,67;1615901,03;1560615,99;1550377,17;1753796,55;1839794,46;1758160,64;1939599,02;1720874,06;1659914,24;1727336,10;1371516,14;1235311,44;71810430,38
"330000 Município ignorado - RJ";-;-;-;-;-;-;-;-;65460,86;11879,66;9339,99;13877,03;4824,57;9679,05;19252,78;40587,26;46419,32;56836,35;73085,61;81870,95;106220,55;192218,53;257618,14;168215,16;201726,52;221590,02;241908,97;226568,10;247712,96;125869,14;112687,23;130147,34;116139,81;134557,19;151202,57;132529,41;144882,38;142802,05;155167,73;142579,91;157395,08;161491,04;174087,80;217195,34;171953,87;197792,07;208583,49;214803,60;223068,75;216206,54;233219,09;5961253,81
"350010 Adamantina";-;-;3097,10;296619,60;238918,83;285095,77;253947,32;321279,49;296696,54;270758,26;288239,78;250367,80;261924,41;265148,64;266110,07;300498,15;251868,29;282287,15;272215,80;322726,05;305700,21;267347,76;262279,95;227927,91;259238,18;257552,44;252126,39;244880,97;235814,72;231376,25;272626,31;309178,15;261453,92;274121,75;280808,04;261787,88;260094,54;252334,28;248040,43;266491,92;279964,06;262529,17;283459,10;317483,46;272861,69;258420,45;276860,45;267841,46;257048,59;269171,19;291825,84;12996446,51
"350020 Adolfo";-;-;-;28492,41;34094,27;23943,87;17840,32;20616,82;14015,61;24758,07;18527,81;23954,97;22213,85;20277,56;24400,43;22594,48;26452,59;29914,41;22798,44;22054,64;22697,96;25164,42;25970,27;32910,36;23503,09;27300,13;25008,11;26989,10;23979,13;22655,04;19083,87;19067,65;20493,05;27065,83;36665,64;35277,14;28996,03;28731,28;31484,88;21382,16;22777,97;27700,30;29242,05;32529,72;40031,91;30329,26;26272,97;28371,97;41870,27;21515,77;31343,15;1253361,03
"350030 Aguaí";552,00;200,30;4503,76;140834,19;147789,61;129552,41;123999,77;126374,60;137814,48;142107,72;142282,57;124516,60;146801,72;154498,01;109164,74;130680,92;123522,97;150415,32;156190,24;148934,15;143277,73;139826,87;162818,74;149508,69;148559,57;154193,04;154816,68;163868,01;146731,15;164668,29;162271,68;151203,97;145665,37;173359,63;181528,52;169537,87;181681,90;177589,54;149267,12;175109,21;159729,82;166548,57;180899,77;178676,79;158871,96;173933,77;183217,97;173340,66;175778,41;172395,05;186105,19;7445717,62
"350040 Águas da Prata";-;295,26;205,63;41117,68;41535,14;43502,33;49842,71;49612,20;62560,08;52879,49;53383,23;56408,02;55677,93;51000,48;49033,17;50327,36;52460,51;55670,92;52124,67;45685,40;57340,99;48773,37;50647,96;38211,38;40853,35;52828,70;48344,49;55200,57;43372,85;57660,10;52884,91;57916,13;50241,46;59338,86;55113,65;61994,60;65345,98;59351,60;58098,71;69832,32;61746,46;65194,54;62930,63;77582,58;64245,53;76013,52;69376,51;76074,25;67404,64;68301,58;56449,47;2691993,90
"350050 Águas de Lindóia";112,59;511,75;9546,94;121298,07;107947,95;109914,40;113157,75;124983,97;119035,38;123046,03;141682,82;128240,48;121550,92;140525,28;122687,70;124455,68;130212,29;119873,75;135473,56;158180,81;117767,59;113992,96;135359,88;120944,97;143560,11;115643,46;102039,20;117857,22;96972,83;124368,89;124468,90;110431,16;98932,49;109641,17;109674,93;107188,28;105154,15;106908,57;84742,61;94820,49;102418,51;95081,47;95664,55;111569,42;105551,51;135450,06;113488,80;116151,70;130419,29;113187,56;92815,07;5604705,92
"350055 Águas de Santa Bárbara";-;-;190,99;32099,77;35925,39;31309,85;33144,22;32149,93;29001,31;24381,88;29136,96;27513,97;29779,96;27568,11;27627,36;20367,72;25454,56;38611,19;29869,11;33233,28;28984,23;31902,94;32518,61;26121,40;30228,88;24241,49;26821,82;32173,72;32531,24;40481,90;42101,30;32481,27;29452,44;34838,65;37064,01;38095,62;48367,07;39281,93;34913,33;37774,34;41105,92;36277,95;36839,31;33587,14;31474,94;32319,18;28893,24;33600,90;35426,92;32502,19;22022,80;1551792,24
"350060 Águas de São Pedro";136,41;-;360,00;9691,76;9584,30;11012,34;15145,70;15781,79;20016,28;17507,82;20886,16;23321,86;23091,22;18957,78;22651,86;20212,50;20792,77;20117,74;14434,33;20359,34;25038,93;23755,00;27656,95;19325,34;27138,06;19442,05;32943,75;29060,50;34494,55;24762,13;21025,59;38429,74;32453,60;26988,94;33376,92;28500,59;26740,03;24343,51;26418,23;20623,68;22519,65;16255,48;14160,01;10908,62;10695,55;16947,39;17577,49;14334,04;11505,60;11752,05;8232,37;1001468,30
"350070 Agudos";650,00;-;477,26;207105,97;210188,77;207761,39;227323,74;241633,74;232447,63;240886,31;249475,20;241380,20;231545,39;218949,16;251267,66;211408,49;217840,87;231932,73;234639,94;254941,33;249316,50;203447,92;229200,94;215607,53;256822,56;225631,30;225299,66;189432,75;209982,62;229036,27;200426,42;222686,30;220583,41;203169,16;198516,80;215825,02;209064,76;215966,25;215515,04;217392,67;254889,60;256109,15;270577,61;280003,98;270882,10;265708,91;299583,00;314634,49;307516,88;333991,64;317285,07;11435962,09
"350075 Alambari";-;-;-;27485,18;21373,71;22558,09;19402,32;22523,51;25945,93;21131,03;21694,78;18671,10;17991,49;18800,29;17740,19;20337,74;19556,29;19690,05;21337,72;29392,56;25131,07;19353,55;17997,09;17540,68;18424,43;20111,61;22407,29;17236,81;19190,65;18218,33;27332,65;23009,51;23469,22;19966,79;18806,57;22911,57;26654,65;25437,07;18362,20;29475,40;31000,01;31876,52;28269,85;27933,90;29358,08;32545,38;36332,92;29346,17;29016,52;31103,01;24784,90;1128236,38
"350080 Alfredo Marcondes";-;-;1207,50;39583,32;34356,96;30243,33;38602,92;43153,92;42026,48;41152,77;38941,94;35157,81;30763,03;36661,01;39502,05;33420,57;26903,99;29980,95;32177,94;33264,58;29489,64;28086,39;39916,11;25841,87;31029,48;28426,03;30578,17;28193,33;25275,61;29795,64;28785,91;26692,67;36828,04;39117,03;41456,88;34275,79;40318,00;43533,47;32990,44;35318,91;37930,23;45171,53;42323,00;33307,01;32094,59;38564,25;39958,91;40530,98;33220,53;28902,67;32041,70;1667095,88
"350090 Altair";-;-;-;20531,95;10919,98;9032,77;9410,20;13559,52;13556,51;11683,43;25562,14;24781,70;14339,36;18337,40;25112,83;16277,92;15709,22;10376,92;16273,09;13583,16;14762,03;15108,71;13287,04;12214,31;11886,06;12876,48;9311,67;17430,88;10618,16;15708,94;13392,05;13984,51;11242,75;14467,56;14339,01;11247,38;12107,52;13488,51;11622,56;18767,87;13377,89;14655,55;13326,76;15610,05;17086,86;17760,84;21510,76;19486,55;21779,77;12726,59;17288,99;721522,71
"350100 Altinópolis";200,00;1100,00;8065,15;102110,34;107204,43;125330,55;117842,07;127081,33;109013,51;114893,25;123345,03;118191,66;118476,10;111370,99;96579,27;98240,64;105980,74;109106,83;106754,93;116448,58;116745,73;134302,85;130630,57;132839,04;139227,09;131652,06;125538,37;129400,07;114841,07;127087,42;128672,40;170963,82;132385,84;135670,71;164512,24;154293,78;155874,58;133894,11;155571,48;117223,26;121718,62;133213,61;127999,04;136010,38;129863,94;157166,28;163863,18;161589,25;176102,71;144488,36;132849,19;6233526,45
"350110 Alto Alegre";-;-;585,00;25025,54;23112,59;24072,54;20851,23;27578,21;23673,33;22240,48;21975,20;22319,12;51651,56;19559,58;20292,56;17601,89;21818,18;28358,89;23241,96;25959,97;25199,67;22794,00;24249,85;26341,23;23561,90;23422,55;21230,82;23037,62;18062,11;18356,31;18220,52;19501,77;16196,30;13540,19;20141,38;15672,30;19130,18;35061,04;25212,67;19491,48;38606,94;26140,09;29496,73;33084,56;30787,63;24177,66;29920,06;35168,65;39588,82;35039,99;31486,92;1201839,77
"350115 Alumínio";-;-;244,33;56507,61;61483,79;49617,66;52703,46;58875,94;61308,10;56594,28;61076,41;56695,21;60307,88;62862,99;57923,96;61810,71;59907,85;67174,18;61466,77;63478,65;58446,00;49291,17;46646,00;49392,53;44342,81;29044,12;31716,00;46756,93;44836,96;57365,66;62253,82;60188,16;53741,44;55476,94;60853,35;68744,35;59520,78;60145,97;52087,43;52020,03;53670,04;72853,71;61435,06;59230,77;55000,85;56630,35;48761,20;69025,93;70814,53;60776,14;70883,12;2731991,93
"350120 Álvares Florence";-;-;-;34824,86;45795,33;38550,79;36184,06;35042,14;49909,33;51234,03;50857,38;38490,59;39097,26;38873,52;34786,98;39259,79;43088,83;44560,45;56192,62;41922,99;38766,34;37284,04;47655,47;51155,65;44400,17;42359,49;41498,09;40849,77;46941,14;43816,59;56411,79;62766,87;50964,17;55143,67;40805,54;43905,20;61238,12;51104,21;46649,27;48653,44;50140,99;51547,79;49371,27;52786,67;51671,76;61613,39;64111,12;52993,45;52389,07;44081,29;43609,26;2245356,04
"350130 Álvares Machado";-;-;2937,14;160027,06;155194,03;164035,27;164851,34;173365,56;175509,52;166516,69;214866,97;183014,04;171249,46;165073,10;179523,87;168047,49;155321,34;183623,70;175742,03;191111,10;169608,36;166043,99;165900,15;159994,00;176703,62;162402,36;166870,16;161578,98;170841,07;194033,62;193741,61;177288,10;167166,74;154331,10;201507,25;201244,69;234483,12;209898,34;204302,65;212504,28;222254,46;219997,70;220752,01;226064,96;219561,39;221115,91;204125,58;221925,50;211743,63;222585,96;204308,72;8994889,72
"350140 Álvaro de Carvalho";-;-;-;19525,03;13002,48;15496,17;19731,45;14766,85;12814,85;12063,20;12666,74;13479,72;11762,14;13711,36;15046,38;11082,76;15892,55;14094,77;14208,95;22179,50;21379,53;16641,99;23635,25;19846,90;17746,29;22623,43;20978,78;16314,90;16747,29;17983,48;20166,70;17761,91;16011,75;23456,26;16365,10;11971,37;16552,47;13801,23;15577,89;15587,55;13918,48;12825,25;13986,71;11751,82;11118,52;11866,27;13427,23;14950,58;8040,20;5150,49;17270,05;746980,57
"350150 Alvinlândia";-;-;-;12853,29;12940,34;12429,23;14685,45;11451,32;15813,08;21059,70;15086,31;12962,02;15760,87;14338,42;17956,07;11821,90;12535,52;16405,09;17158,70;22968,67;24204,26;22693,02;25691,62;19179,08;19270,05;19061,67;23290,80;21297,64;21383,39;31502,25;31055,02;35842,78;25915,56;28230,38;20028,25;22301,32;26239,79;22822,66;18943,82;16768,68;16713,42;24045,35;17293,50;19028,52;17805,84;13199,91;20747,70;26413,88;20291,04;19572,79;16847,02;945906,99
"350160 Americana";454,11;6427,47;35378,45;943528,93;960961,96;1022005,83;963822,33;954123,12;945381,76;948528,75;1010331,89;967981,50;901410,43;955479,77;953647,17;812919,64;825992,32;975360,16;945453,71;1090521,24;971683,16;985216,08;1047797,32;952069,61;1054089,10;976108,84;915672,72;974779,17;930547,84;980691,68;988722,67;1020978,62;1015410,22;989274,27;1070524,65;1039591,69;1084366,82;1105972,79;1033152,25;998012,60;1070657,20;1058139,73;1055998,69;1070529,21;1075361,73;1252347,53;1108963,11;1221072,00;1231500,32;1102765,43;1005558,71;48607266,30
"350170 Américo Brasiliense";-;4461,24;3139,44;116890,09;132015,20;133018,72;121003,72;124218,20;138351,58;133541,97;150682,29;150072,69;237096,06;235035,24;153811,70;124639,20;135757,17;161925,67;161016,43;159272,29;205713,90;145657,56;157812,37;134611,33;137461,16;153987,80;135104,30;120855,95;112930,96;130630,85;157281,24;132530,00;154385,30;149804,11;145311,32;182193,90;167514,21;156696,28;150184,12;141459,82;135298,58;131901,65;145858,12;156280,89;186317,09;146558,65;137056,12;160279,90;156324,99;129208,48;128503,88;7161663,73
"350180 Américo de Campos";-;-;-;40163,69;57087,77;44302,77;36883,35;41638,82;43859,90;55400,76;48037,01;47144,70;47089,77;46572,15;39043,58;47947,95;49581,81;46953,32;56355,74;43471,19;42697,19;39854,60;54596,39;42810,27;41117,60;51372,97;57491,07;45685,45;40824,98;58768,80;62004,71;69176,46;72074,09;66036,69;67393,42;51533,13;58144,27;59413,40;58458,50;65625,53;54957,46;69180,55;63180,73;62691,78;78898,57;72953,58;71640,85;56467,04;81326,79;80780,71;69806,90;2658498,76
"350190 Amparo";277,06;3206,13;26619,75;379309,13;357233,12;366243,15;346843,99;362067,83;361460,73;384168,44;350373,29;330137,82;319401,72;285549,27;335900,13;325139,52;321955,78;321167,92;339097,80;383456,40;364697,64;352436,32;378016,44;343563,28;430465,19;400493,84;386461,16;319671,15;289411,75;329352,82;374209,72;393471,90;389619,41;356634,15;406027,37;348906,83;348598,55;368054,09;394243,38;339731,76;328758,97;361536,66;352274,33;335428,43;328110,96;356887,66;365287,16;379588,51;382737,62;349033,09;298372,24;17051691,36
"350200 Analândia";-;-;90,00;38689,87;34183,86;36421,08;36689,40;33459,41;36714,81;34019,85;34289,16;34117,75;35875,72;33290,21;36175,84;32039,03;34060,45;40434,77;41930,10;41396,40;33127,57;34400,91;32116,00;34328,90;32358,49;29921,09;28260,73;26255,72;21417,83;27028,07;28012,99;28908,67;27619,85;26649,61;27124,88;22899,72;28347,17;28209,09;27318,69;27067,44;28652,53;33760,39;32774,75;30329,54;29594,63;25965,52;27368,42;30241,50;28261,35;26210,42;24134,56;1502544,74
"350210 Andradina";552,00;-;10342,68;292142,90;280226,20;291007,75;291354,58;286619,68;297117,02;291908,23;296417,11;273835,00;301359,24;321780,46;341622,10;324480,72;336966,23;307346,72;291961,30;325762,03;337284,19;375638,09;367872,07;322612,92;330170,91;280199,63;300750,40;304064,81;286958,38;331018,48;347052,79;299344,56;325239,56;345691,59;373898,27;336545,14;376534,86;377880,81;327010,46;314766,87;367339,28;348179,38;358996,48;415862,21;449515,78;420562,01;506514,72;456621,82;446147,79;359761,16;358167,12;16311004,49
"350220 Angatuba";-;45,00;4007,36;133867,43;132326,79;135771,90;133699,98;137634,78;146245,68;132234,36;136010,66;151075,28;147125,64;140991,42;136446,61;143373,03;140114,58;152783,35;149033,50;158210,93;148643,09;135982,14;132237,57;127634,69;135422,86;125836,10;132783,75;104133,46;120768,14;129077,65;157567,53;146168,34;146477,41;136014,31;126700,12;147193,54;129665,03;118071,41;112819,85;129494,42;128226,20;137474,38;143414,82;143657,93;134464,76;140852,63;134718,47;146761,41;140986,14;138253,67;97133,14;6539633,24
"350230 Anhembi";-;-;2338,55;27384,91;31825,52;41785,71;35022,51;34637,89;30926,92;33615,84;47248,71;37721,23;38999,20;33284,45;40618,25;32978,30;35568,52;45088,56;93979,12;42177,06;37278,08;34606,11;40839,35;36802,64;39524,26;39905,72;30404,94;32541,26;45508,86;45974,81;45296,92;43183,72;44153,52;44048,24;46349,77;42617,00;44726,05;47803,14;39317,71;35764,09;35477,62;42528,14;44404,07;51206,49;44425,59;46851,24;51327,68;49224,99;59498,39;43693,73;40006,09;2010491,47
"350240 Anhumas";-;-;1281,90;21227,13;26188,44;24851,37;27090,97;29705,38;23241,06;26586,46;28357,50;24864,58;24549,25;22419,65;21535,21;23156,31;20427,68;25287,86;28082,59;33541,54;31823,29;26508,80;26401,49;27050,28;29434,69;27694,79;27743,98;29308,53;25662,07;27574,91;30902,97;32481,87;29911,33;23222,27;34345,87;30150,48;27642,68;38963,90;24741,40;25563,27;30804,85;25527,04;23225,67;24459,26;23252,81;26409,15;25027,47;23567,91;31448,22;25411,58;19272,48;1287930,19
"350250 Aparecida";80,00;1874,00;1432,37;130200,10;160882,43;153001,01;168512,01;169456,52;169748,44;149186,95;157651,75;152600,31;132332,48;140164,15;135618,24;126376,77;117339,95;153545,59;148288,47;150437,10;164783,38;143708,30;148229,17;140907,00;154650,81;160733,29;163968,45;152320,12;144691,82;150431,67;164084,07;165721,96;152735,52;171546,11;168188,03;181235,75;182094,07;176526,42;186926,82;174761,56;158354,22;164708,21;177676,90;198571,27;227931,51;204582,03;186728,90;153900,35;171224,95;184380,90;165526,45;7760558,65
