 Produção Ambulatorial do SUS - Brasil - por local de residência
Valor apresentado por Município e Ano/mês atendimento
Período:2011-2014
"Município";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"Total"
"110080 Candeias do Jamari";-;-;-;58285,35;64544,56;56731,80;67641,29;82637,46;88421,60;78748,22;63594,84;68442,58;73140,18;66075,54;65012,05;102156,78;71742,39;77223,52;80413,64;88409,22;116992,58;114105,92;99895,69;80776,05;71414,32;83297,39;83991,98;98629,13;106829,94;92040,59;107722,98;102394,94;95427,58;127182,48;115783,61;96695,52;127692,37;143232,89;141599,92;118549,90;109092,56;115278,09;103188,44;133204,38;129006,47;137890,06;134700,18;133867,06;158916,44;154179,91;124355,37;4811155,76
"110090 Castanheiras";-;-;-;2335,65;2871,07;6363,08;2222,62;4526,01;3945,16;1296,81;1105,90;2757,28;8257,84;7302,85;1684,00;5993,84;3308,90;4384,11;3432,76;7582,78;9166,90;9365,55;4899,80;10655,12;2787,94;4943,66;1235,84;4116,14;1236,54;5292,48;905,06;6803,60;7453,89;6978,02;6648,24;2465,80;4897,01;6302,15;1578,95;1832,52;5139,26;4690,91;1426,98;6051,80;6051,84;5359,94;4694,28;6003,13;9363,60;13533,12;5937,37;237188,10
"110005 Cerejeiras";-;-;-;34808,10;46706,65;58133,91;41860,28;55578,26;52826,04;48243,18;47795,20;44116,50;43947,71;39649,85;40724,12;38162,21;40491,37;68899,34;58387,30;68287,43;61853,28;74067,91;76925,65;54762,26;40657,57;64262,03;54335,07;50886,62;58954,03;59968,90;47149,51;80293,20;69258,53;56270,28;68018,00;71674,57;69579,76;69962,70;53545,39;38235,55;46244,68;59081,25;36340,49;42855,27;50046,48;51786,98;59219,34;64742,71;68705,44;63727,60;50024,80;2642053,30
"110092 Chupinguaia";-;-;-;12322,65;11578,85;14702,79;15715,52;14610,94;17685,86;8940,22;17159,67;15809,31;15562,91;7391,74;8079,44;3220,79;12822,64;18657,12;16049,90;13311,75;24754,15;27192,85;27057,12;4939,54;20506,60;19066,48;16483,47;10485,64;9623,18;14129,25;11115,40;6832,80;12562,32;8488,15;12138,96;13945,75;10618,48;13088,15;15884,97;15355,79;17377,65;14942,00;25486,39;16781,34;15477,13;17394,33;12950,93;18266,46;14114,07;17201,14;55121,07;743003,66
"110006 Colorado do Oeste";-;-;-;35382,05;41573,43;48439,34;48121,95;62793,12;53126,20;43249,81;44963,07;55679,84;64341,78;48152,96;56484,47;64612,75;69354,22;74495,61;86449,96;76387,85;70339,59;59444,45;58010,48;54589,49;85015,84;59215,70;51639,02;54360,80;74495,67;87000,71;58370,09;69148,91;64666,62;53665,41;68174,78;77479,92;75325,95;78095,18;56019,19;49413,16;38148,34;55996,84;48026,29;60934,58;61410,66;62116,42;75465,37;67604,10;86774,20;110946,15;56848,60;3002350,92
"110007 Corumbiara";-;-;-;4851,37;5285,79;7384,83;9596,60;8101,62;7351,98;8621,32;6809,04;9922,58;7331,17;13216,54;12169,43;11926,19;9851,00;25060,90;15153,37;21877,85;15437,65;16717,24;16395,70;9973,99;11063,28;11390,38;12803,75;6869,04;11427,88;15511,84;13929,75;12865,25;10464,26;14358,54;15903,73;9606,95;11980,17;8879,15;6504,16;6018,60;13297,24;9353,30;11338,90;11528,54;11059,86;6697,77;14623,97;19539,57;10233,96;17705,99;11625,66;559617,65
"110008 Costa Marques";-;1040,00;-;2865,64;5006,84;12329,66;12682,04;12412,70;8078,15;19486,86;9200,19;12045,05;6564,23;11838,59;9600,56;9009,91;8650,22;8797,87;5391,49;8810,15;18775,04;25200,08;13189,39;9837,67;15830,83;10492,11;12652,92;20047,20;8760,90;7076,37;6767,75;20482,16;10937,18;11383,99;21488,35;16892,62;22918,82;13129,47;25368,44;22487,78;14770,07;14287,40;16632,85;20400,91;23587,68;16399,62;19857,92;18026,16;27198,30;11385,06;18776,13;678851,32
"110094 Cujubim";-;-;-;10707,85;11283,05;11735,49;18614,99;18952,85;22822,87;18214,74;8586,86;15190,17;13990,16;16055,25;16245,65;19334,04;23000,01;32402,39;21815,37;27357,06;17896,67;19116,14;21987,78;20059,90;12976,52;12260,88;20068,87;20536,28;11560,29;14786,86;20593,10;26779,70;26924,94;21111,87;19817,56;20366,11;26447,30;20588,71;24459,54;22509,20;26713,20;30591,06;20433,61;26656,85;28314,96;29851,38;14894,96;20259,00;22274,30;30740,70;25155,20;983042,24
"110009 Espigão D'Oeste";-;-;-;68568,79;122582,81;112739,66;173159,02;42299,39;97742,21;196188,06;43455,78;44002,97;59372,15;54380,84;47473,26;40090,61;48463,20;51182,98;45025,04;69596,74;65857,86;91695,72;97190,75;72496,83;89375,71;89325,71;91113,10;75126,96;61897,90;77927,12;114932,86;76412,22;87226,97;84345,86;71468,77;76517,97;93901,40;109153,27;99793,91;83452,13;87583,10;86220,91;111148,53;104648,78;105863,73;101771,14;106185,87;120503,32;131763,84;136589,65;125250,30;4243065,70
"110100 Governador Jorge Teixeira";-;-;-;11546,40;14055,69;12320,20;13326,21;17822,69;22991,98;19307,71;21239,14;15930,56;14666,89;12506,65;12747,63;14709,14;12142,89;15401,33;20531,31;19414,14;17599,43;20439,58;25280,37;16713,85;17181,87;13959,01;49172,62;12910,77;12992,79;23806,74;18222,09;20478,90;23771,93;29168,06;26252,06;28006,46;27594,67;15893,17;17068,53;17911,97;20168,71;22335,43;12016,02;14074,39;22362,90;10072,93;17129,64;17320,46;21221,67;15167,99;13662,65;890618,22
