 Morbidade Hospitalar do SUS - por local de residência - São Paulo
Valor serviços hospitalares por Município e Ano/mês atendimento
Lista Morb  CID-10: Outras tuberculoses respiratórias, Restante de tuberculose respiratória, Outras neopl malig órg respirat e intratorácicos, Outras doenças do trato respiratório superior, Outras doenças do aparelho respiratório, Outros transt respiratórios orig período perinatal
Período:Jan/2012-Ago/2020
"Município";"2008/Jan";"2008/Jul";"2009/Jul";"2009/Set";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"350090 Altair";-;-;-;-;-;-;-;-;-;-;17358,13;-;-;-;-;766,99;483,85;-;594,47;451,47;-;-;570,57;-;-;-;-;13524,89;1539,27;514,97;-;-;689,67;20714,28;-;-;22394,20;4172,48;1091,42;-;-;3206,67;451,47;1624,46;1082,00;15179,97;521,32;-;-;499,22;-;-;2930,04;451,47;538,97;-;-;-;4748,53;-;-;-;708,38;-;491,47;-;-;548,61;-;987,54;-;451,47;5449,76;-;-;-;-;500,87;-;16191,19;-;-;-;-;-;-;-;-;-;-;-;-;-;12479,10;598,50;475,47;454,53;19360,27;-;-;-;-;-;-;-;-;683,29;-;-;-;905,41;-;-;-;-;-;176386,64
"350100 Altinópolis";-;-;-;-;-;-;-;-;-;-;-;1234,81;-;27803,43;3146,64;5497,90;598,53;8987,67;2673,94;3613,59;157,65;137,92;7948,17;-;3619,09;10389,76;9420,57;-;794,91;2262,77;3152,52;25134,94;1639,65;252,82;3523,77;631,87;-;13842,56;5298,60;2219,55;823,20;8309,10;803,72;2844,24;-;9604,01;681,02;1133,16;2697,14;6391,17;25617,11;-;1290,91;2601,15;9811,85;159,12;15555,06;4749,60;1301,62;1684,45;15289,35;2773,41;3166,89;1501,47;-;442,31;3463,78;7296,84;25618,02;16766,20;1082,78;902,94;41,34;1055,51;15378,31;-;718,84;3526,68;3766,87;1706,93;-;-;-;8258,19;1021,21;1946,46;785,55;95,17;857,09;4443,44;1128,82;15770,17;23984,61;1399,21;14370,30;13799,28;29196,62;962,09;137,92;33232,55;2526,24;28908,48;931,13;568,41;7386,97;570,76;2942,89;137,92;660,36;1825,02;30572,16;1757,83;2083,78;1367,71;-;634,18;578802,25
"350110 Alto Alegre";-;-;-;-;-;-;-;-;-;8098,15;-;-;-;-;-;-;-;-;-;-;-;-;1170,24;-;-;-;-;844,73;5722,72;598,53;-;-;422,15;1975,87;-;-;-;-;-;-;-;-;35,65;4159,00;-;-;-;-;598,53;451,47;-;-;-;-;-;-;615,10;-;853,46;-;689,67;3572,49;704,38;-;-;-;634,53;-;-;-;-;-;-;-;-;-;-;-;-;-;459,47;1569,47;-;1107,42;7914,42;-;-;-;352,19;-;-;-;-;-;-;952,00;-;-;-;-;-;-;-;12412,85;-;937,51;-;-;120,30;-;-;-;8684,69;614,53;-;-;66271,52
"350115 Alumínio";-;-;-;-;-;-;-;-;-;-;-;30,47;795,73;1045,59;-;-;-;-;-;223,75;669,08;-;-;-;-;-;1735,03;-;-;498,98;-;-;-;-;-;8275,23;-;-;-;9661,67;-;1051,94;834,16;326,30;3103,86;9718,44;-;2831,32;3839,47;25151,40;-;43,65;-;-;-;-;-;-;-;-;13156,04;-;-;-;12292,92;1840,27;823,36;747,53;14623,28;-;-;279,75;-;-;-;978,05;4379,64;71,17;-;-;-;-;1845,89;-;-;-;614,02;-;-;-;1503,52;263,75;1682,08;-;1523,95;-;-;-;-;1197,80;1653,32;680,63;-;2342,21;-;-;7145,81;-;-;7240,09;465,48;16079,94;239,75;-;-;4021,79;167528,11
"350120 Álvares Florence";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1687,99;-;-;-;-;-;-;512,60;223,75;578,10;1309,33;1321,48;-;-;-;-;-;-;-;-;-;-;-;-;-;1535,73;-;9142,09;-;819,57;11128,51;-;-;518,88;-;-;-;-;-;-;-;-;823,55;5495,71;3424,60;-;-;3254,63;-;-;-;-;-;16369,91;-;392,59;-;10394,76;2163,99;-;-;4908,27;3100,32;8026,67;-;12884,17;-;-;829,65;335,62;-;-;-;1658,44;-;2592,96;-;-;15567,83;3256,82;549,57;3557,78;104,07;12980,77;1699,22;-;35,65;-;143185,58
"350130 Álvares Machado";-;-;-;-;-;-;-;-;-;-;-;1946,90;1106,36;10527,57;5791,93;7542,68;-;1911,99;1483,02;950,71;-;7400,28;9557,09;1734,77;2634,67;14991,97;4905,00;8315,57;2576,13;2790,74;6193,67;5113,35;577,61;12856,54;1105,60;14874,94;223,75;10387,79;2964,35;1754,74;576,23;22295,64;3910,50;-;3372,09;12440,15;-;-;4642,65;1106,01;-;3586,27;569,42;20507,51;1601,44;983,12;2452,27;-;9859,40;912,91;3260,36;-;-;1652,76;598,53;1546,07;6365,00;14329,97;10588,13;17718,23;2527,35;7751,07;2815,57;2473,96;-;4000,62;3977,67;2929,58;4018,21;2870,97;7262,95;4588,78;4672,03;807,31;1979,00;546,17;6540,21;4436,47;500,59;625,21;3136,59;3790,77;5760,57;1871,96;7756,42;2619,85;-;539,67;6532,76;6353,29;2271,61;3725,52;2302,66;-;7872,70;1273,73;3381,97;-;1828,93;33,34;3643,77;783,61;6687,33;3694,73;9857,62;2831,50;440969,00
"350140 Álvaro de Carvalho";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4390,41;-;-;-;800,20;-;-;-;-;86,08;-;-;12016,54;-;6832,72;-;-;-;-;-;-;7902,87;30,47;-;1090,68;-;-;-;-;2239,06;3218,94;-;-;-;-;25128,06;-;-;-;4829,81;7670,74;-;-;2255,33;1768,27;-;411,49;670,53;884,20;601,01;-;-;-;-;-;-;-;5888,33;-;4463,38;35,65;250,83;-;2571,17;1313,36;50,00;-;3994,28;2535,65;572,67;-;-;-;-;-;4198,17;30,47;12266,04;1306,05;4607,89;1365,23;1308,21;1450,77;-;-;-;1497,79;-;-;-;-;-;132533,35
"350150 Alvinlândia";-;-;-;-;-;-;-;-;-;-;-;-;-;8466,57;-;-;-;-;-;-;-;-;-;-;-;3302,26;223,75;-;-;-;-;722,05;-;-;-;-;-;-;-;-;-;957,70;-;-;-;-;952,00;193,65;-;6464,63;-;10452,87;-;-;-;-;-;-;3211,72;-;-;-;1607,63;223,75;-;-;-;621,49;1031,88;-;-;-;3594,14;-;-;-;223,75;-;223,75;2033,79;223,75;-;-;-;-;-;625,16;-;-;-;-;20928,29;-;223,75;677,20;-;-;-;-;-;-;-;-;-;-;2043,37;2321,95;-;-;-;223,75;-;-;-;-;154,36;71928,96
"350160 Americana";-;-;-;-;-;-;-;14418,72;29508,34;47719,29;42258,15;23734,37;55965,21;62206,90;52846,89;29609,04;113688,92;119122,04;102421,85;124163,06;63974,27;132728,53;24642,57;59049,29;43584,01;84274,35;45527,71;105956,92;117058,46;88458,27;19410,65;70896,21;37359,30;29554,83;16313,23;68037,74;112412,86;20711,45;101788,03;48727,43;41479,68;44441,64;10131,65;17184,30;36688,53;36885,23;10273,23;31865,18;23538,18;31890,75;29915,44;22557,58;19109,33;31848,73;44785,14;23245,39;30857,94;25031,96;19768,48;43419,59;10110,49;55834,56;16504,31;42006,79;20793,62;11538,64;26340,29;23607,17;32579,21;28101,70;9590,67;33403,01;65038,60;28589,05;9809,68;21660,63;25642,08;12434,44;12028,72;58105,00;28541,23;50147,85;27938,64;23259,11;15195,72;53610,14;41865,60;35670,34;103164,77;14416,18;89112,53;35771,73;35935,94;48153,98;36249,76;31981,87;34434,62;3733,57;32822,75;16994,72;24857,20;65290,28;44329,27;50436,09;39763,99;17158,77;61372,26;68745,45;43131,31;20028,93;22816,05;8214,59;64003,83;28006,32;1814,84;2302,77;4548038,50
"350170 Américo Brasiliense";-;-;-;-;-;-;9668,53;2930,08;-;710,72;21318,16;4217,57;-;943,24;-;7898,38;2131,17;-;-;1466,95;1596,73;-;1146,31;-;-;-;-;-;-;8631,54;-;1665,72;4648,15;6312,80;981,64;-;446,57;11212,62;3962,42;23741,50;6243,23;7423,84;446,57;1533,81;1154,33;1138,02;16571,29;9530,51;1822,89;10504,26;2408,75;3037,17;2475,30;9434,49;3156,53;7581,03;2954,52;5383,98;5699,31;1993,35;-;33,34;7334,52;16113,10;3780,60;4380,87;2031,08;1814,22;4033,04;6617,25;3819,45;6346,46;2600,94;16816,06;1010,40;18361,49;8011,49;1185,42;601,50;2075,88;5265,67;6775,46;16603,02;66,49;1426,75;14034,35;14967,14;17660,13;9490,07;1387,32;5070,85;7911,31;1803,85;3360,28;6865,86;-;13258,28;12519,12;6013,65;622,53;2592,50;2262,23;12022,32;1472,26;4832,85;77,36;5401,33;1437,80;7518,54;-;690,18;5920,26;7377,93;10238,20;15692,67;-;545729,65
