 Morbidade Hospitalar do SUS - por local de residência - São Paulo
Valor serviços hospitalares por Município e Ano/mês atendimento
Lista Morb  CID-10: Outras tuberculoses respiratórias, Restante de tuberculose respiratória, Outras neopl malig órg respirat e intratorácicos, Outras doenças do trato respiratório superior, Outras doenças do aparelho respiratório, Outros transt respiratórios orig período perinatal
Período:Jan/2012-Ago/2020
"Município";"2008/Jan";"2008/Jul";"2009/Jul";"2009/Set";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"350610 Bebedouro";-;-;-;-;-;-;-;-;-;71,29;1021,38;13783,05;458,31;18920,71;9415,64;8471,43;11743,28;1006,75;5405,43;7486,01;6379,07;809,45;5510,76;2908,95;1880,49;46276,59;58138,55;51759,27;34163,03;54196,76;4461,47;1253,06;7739,11;8739,60;4188,40;877,23;1199,48;12603,22;1619,75;1251,96;7947,70;15497,63;2895,22;4160,65;4013,35;2521,08;20313,59;13102,40;20219,23;12475,91;5986,96;32784,14;6599,52;6588,56;24935,91;18574,19;33791,71;34596,42;23633,92;18934,62;21680,16;17152,42;1737,84;8381,83;20606,27;2254,45;26998,86;1955,15;21200,36;404,52;1475,66;9311,36;25419,52;3301,32;6747,55;34218,31;9109,73;2404,32;3181,98;3369,48;1966,84;1145,65;1072,17;1942,04;1150,60;1070,85;15195,55;2080,11;26321,43;504,07;-;6463,22;10439,53;15221,65;29468,93;37609,12;43282,66;-;5324,30;-;30198,29;8832,56;21044,67;1255,22;7114,17;29988,71;25418,67;7305,47;25338,99;23012,68;17089,93;1162,31;1201,18;2179,78;-;495,12;1316119,75
"350620 Bento de Abreu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;36253,24;353,19;-;467,47;3671,82;1240,07;-;-;-;-;-;-;-;-;467,47;-;459,47;8815,39;-;-;-;5983,37;4398,06;-;-;35,65;-;-;475,47;459,47;-;-;902,94;-;-;-;-;-;-;-;451,47;-;-;-;467,47;-;159,12;7014,01;603,10;-;-;-;-;-;-;-;651,46;-;-;-;-;598,53;451,47;-;-;-;399,01;4564,93;159,12;-;-;651,46;-;-;-;-;1294,30;-;15428,14;-;2201,28;-;-;-;-;-;-;-;-;3448,00;4670,64;2151,25;-;-;3663,54;-;-;467,47;6749,22;918,94;-;-;121147,01
"350630 Bernardino de Campos";-;-;-;-;-;-;-;-;-;-;-;-;10320,08;3831,47;1050,00;3160,97;1674,42;6957,56;-;1365,26;614,53;159,12;1123,89;673,21;2681,80;654,53;451,47;32423,75;2859,50;-;598,53;451,47;-;1648,53;610,59;3044,87;4365,89;730,26;757,65;2279,58;-;610,59;631,87;14495,15;38045,65;1868,47;451,47;2876,03;-;-;-;598,53;7690,50;6211,49;3097,07;598,53;2163,06;4604,49;1216,44;-;451,47;1518,31;625,16;41,34;4955,95;2003,74;3931,11;7074,02;2005,04;459,47;231,75;1354,41;1058,00;1692,23;2852,28;8488,02;19443,86;1293,79;-;-;500,81;4686,70;4949,82;3525,58;6507,66;677,20;1058,00;2444,91;1496,15;-;5805,80;12109,95;68,15;12466,67;-;1225,12;1499,21;1395,15;1534,28;5092,46;3693,28;-;-;3275,06;15167,93;618,59;1893,87;4329,08;5617,35;-;3535,15;4207,70;606,53;-;41,34;598,53;339756,25
"350635 Bertioga";-;-;-;-;-;-;-;-;-;-;6341,62;29293,33;23099,07;25089,18;62953,13;26341,62;2305,19;15814,40;24086,53;36885,55;16855,32;3423,42;27763,63;-;1556,07;11402,47;9219,09;18720,82;11661,75;46274,98;68195,31;25309,39;1684,57;13417,85;2207,94;12706,54;2174,39;13824,10;17011,43;1993,49;3026,74;18317,84;22030,51;4718,47;1445,18;1197,06;1512,00;1890,82;12146,00;2724,77;14510,43;18387,94;26322,72;28162,84;2258,86;2582,09;4798,00;658,68;7659,48;7828,52;1604,41;4202,37;11277,00;3362,13;36862,35;11006,77;6252,35;36469,27;4377,33;16184,47;22502,87;18332,71;15697,89;3019,94;18087,33;2683,91;67199,82;8102,32;2836,43;6017,79;7292,51;13135,64;8092,97;12086,15;24304,27;15293,46;3388,51;15744,43;18120,94;8244,01;2971,04;2885,73;4679,25;28043,09;9273,03;904,58;746,29;7862,87;658,68;1971,13;1983,56;3972,10;16218,83;1721,36;1077,92;16336,14;14393,84;862,39;17030,76;5612,01;10066,84;15137,77;17322,57;10918,84;1664,24;500,81;1356389,15
"350640 Bilac";-;-;-;-;-;-;-;-;-;-;-;717,63;-;4058,43;-;7105,02;1301,79;9145,10;-;717,63;-;-;-;598,53;8129,66;-;-;-;33,34;2026,14;-;625,16;-;-;-;33,34;33321,99;159,12;-;2500,60;-;16325,20;7960,17;2265,64;21646,31;24093,75;3545,27;-;22154,07;-;1100,24;33,34;598,53;-;625,16;955,83;-;138,40;-;1245,80;8443,45;-;33,34;6893,35;-;33,34;-;-;973,74;-;44428,08;-;-;-;-;183,15;1922,04;749,20;-;-;-;-;-;-;-;4581,16;-;-;-;-;-;-;598,53;-;-;-;-;-;-;-;-;-;-;1566,19;-;-;-;231,75;3116,98;-;5530,25;-;-;-;959,90;-;253405,64
"350650 Birigui";-;-;-;-;-;-;-;-;-;-;9466,98;27364,20;18785,54;53146,87;15878,16;17936,55;12302,66;50378,87;31058,20;3339,42;13982,71;8273,18;32624,48;90327,16;12909,04;6620,05;83183,04;82295,83;22982,15;76516,62;92105,94;87688,15;29932,28;52792,86;44327,71;51399,42;21310,10;72054,34;39311,63;46867,78;66025,10;53631,41;29547,56;14079,63;69331,22;30180,66;19026,23;8344,29;8380,06;48539,39;43014,48;43001,26;19691,26;10651,30;53095,23;13090,88;52087,61;9774,32;94737,00;20922,73;11439,64;14972,00;41934,50;56984,24;36912,85;19067,09;49134,02;50125,80;66709,46;27521,09;2923,81;13471,82;51934,67;46731,33;77104,30;21318,79;25052,88;25227,06;50929,34;39240,48;29271,73;21966,86;4314,22;10795,94;26571,49;49311,72;25911,52;16008,16;11646,86;81317,92;89776,14;57854,92;56090,48;30766,59;23382,94;78411,64;55826,49;27567,73;28316,06;52903,41;19749,40;86389,13;30627,81;35970,18;72865,96;46051,33;39731,11;18075,79;72031,18;72769,14;17956,38;35519,69;27107,05;48492,29;17439,71;23794,61;4085632,29
"350660 Biritiba-Mirim";-;-;-;-;-;-;-;-;-;33078,41;-;384,21;1547,43;4199,94;41156,21;3402,01;4963,67;407,44;15049,92;-;4625,13;26871,50;3131,08;-;8389,44;9448,05;26012,97;6276,73;8697,99;893,12;810,23;23250,75;622,40;18251,53;168,97;1497,47;6275,71;2113,69;6288,37;262,21;13979,38;6709,01;2515,07;6459,01;10562,64;8345,82;-;168,97;450,09;176,97;8402,39;2800,18;1557,66;6503,15;4542,05;-;1580,02;13884,52;4704,40;4921,33;15639,65;10178,31;21460,13;16660,33;19816,22;6711,00;9482,78;28481,39;451,47;1194,09;1495,87;896,01;4197,81;-;29031,71;46746,69;5060,90;2832,89;2324,46;651,93;11823,03;1692,85;8256,35;23875,58;4005,38;17887,48;8157,90;2075,81;457,82;18353,85;37946,93;2831,84;12453,16;2739,57;10341,59;-;4161,92;6477,30;-;3799,80;10182,58;15434,89;414,89;4136,47;18231,64;10126,31;2108,70;12432,61;6707,10;6016,79;3201,10;-;20687,66;6376,14;7589,50;6137,68;886775,10
"350670 Boa Esperança do Sul";-;-;-;-;-;-;-;-;30179,70;1639,93;2342,92;29161,85;-;11333,04;8241,23;1263,64;4026,48;337,94;4662,33;7893,33;249,54;2371,70;971,09;-;14724,57;-;18232,86;168,97;776,87;-;2267,36;1705,14;345,94;-;95,17;-;1621,52;-;2192,20;-;1473,47;5962,86;1913,58;3124,12;1533,34;-;-;-;33,34;-;569,37;-;4226,41;6781,12;3145,62;-;-;14746,69;4136,69;83,59;-;-;2125,93;4353,12;-;-;60,15;3975,85;101,90;1032,84;-;-;-;210,46;5046,42;2351,65;-;-;12314,07;122,42;3220,32;6757,31;598,53;2507,14;13072,98;1747,47;7041,64;642,67;1678,34;-;15430,05;7861,64;76,99;4468,25;2540,44;-;451,47;12744,14;11255,91;-;2734,81;1099,00;1535,77;503,91;7042,31;2948,30;3130,59;-;1117,19;-;3048,78;-;3047,06;31302,19;1627,86;-;377463,39
"350680 Bocaina";-;-;-;-;-;-;-;-;-;-;-;-;-;411,49;8720,88;-;-;-;-;475,47;30,47;5347,20;-;1057,47;19380,83;598,53;1462,86;467,47;451,47;598,53;3949,32;2638,66;6529,21;1331,80;-;610,59;475,47;-;-;1562,21;467,47;474,29;1134,03;475,47;622,53;-;19837,34;4107,15;-;-;-;2059,49;977,73;717,07;638,53;621,77;3042,56;-;10417,01;1906,62;111,17;1743,03;4904,23;10277,71;1459,76;2177,49;771,46;31817,07;-;385,40;5130,26;2341,14;6223,39;26100,38;17330,27;5469,80;-;11715,45;-;4378,44;2412,11;-;491,41;1082,00;4471,27;-;7476,26;2726,91;4159,19;-;-;6169,52;231,75;475,47;8053,50;4557,59;-;6652,56;863,17;-;-;3718,93;23269,17;3870,35;2654,54;10755,34;8168,00;1992,29;905,23;1431,52;4462,95;2726,54;24587,64;912,76;837,03;-;376050,44
"350690 Bofete";-;-;-;-;-;-;-;-;-;-;-;-;16400,43;-;6954,68;-;4262,77;2050,21;520,04;-;-;475,47;-;-;-;-;95,17;307,96;-;-;5343,51;-;1162,31;1527,00;-;2267,53;1246,05;5438,14;4457,89;10012,34;19711,68;1520,26;929,27;1657,35;797,87;-;-;1673,64;16743,34;1235,76;5734,49;2226,45;826,96;-;-;-;-;4646,57;38547,38;-;95,17;3475,75;4654,13;6958,15;1021,74;230,34;6418,50;-;-;-;-;-;699,46;1437,63;1941,57;2907,69;1044,08;1289,12;882,70;310,68;3271,12;2493,78;1680,05;1103,93;-;3469,81;371,62;-;21402,71;17833,09;5821,85;737,20;6398,69;1657,45;6066,28;2188,09;-;1700,33;6488,51;5041,88;2300,36;1371,00;3609,76;-;473,02;485,02;42827,69;-;5950,69;753,72;5297,27;22188,51;1727,12;1397,66;1659,24;-;369906,68
"350700 Boituva";-;-;-;-;-;-;-;-;-;-;9330,95;2343,72;845,77;2304,77;7807,80;-;705,21;2941,94;1341,37;-;24816,43;12095,56;3276,93;1449,21;1190,36;5940,56;46814,03;1028,15;451,47;1239,88;13738,54;101178,47;13806,70;14042,05;1862,03;183,12;713,20;9661,13;2882,22;1235,04;1282,73;-;3400,95;3536,68;30941,10;13195,55;23592,29;3024,64;5438,67;17735,44;422,55;1358,40;1200,62;7547,68;451,47;33,34;5211,25;37212,46;42503,94;47192,27;31995,47;16134,75;2553,13;18435,88;9635,73;598,53;1192,65;-;226,83;10453,84;19443,06;467,66;1102,93;3501,63;2151,62;1538,54;-;1706,82;1466,94;6959,16;14302,00;11056,24;995,48;12959,08;1708,93;2863,96;16929,02;8681,55;9066,17;2862,01;1462,24;4466,40;14759,89;7083,69;6294,99;22373,32;21027,61;7428,21;4329,43;1976,27;2404,23;615,31;-;2626,74;8337,91;2520,39;18876,97;4863,53;3104,86;19809,51;9765,38;9548,04;5375,35;15585,59;33927,90;16964,77;987026,78
"350710 Bom Jesus dos Perdões";-;-;-;-;-;-;-;-;-;-;-;5958,09;4909,91;271,75;14226,40;6263,30;27506,42;937,74;451,47;988,95;9737,65;-;26646,73;8032,69;11925,95;9244,49;71,65;1414,40;4242,12;4579,91;1331,81;2026,27;1255,79;617,62;1621,51;1873,00;511,80;-;6674,66;607,12;8006,92;1278,92;1202,63;8698,75;-;6869,52;-;7450,64;4628,04;2697,41;4427,99;36365,30;-;794,63;3641,69;17773,75;27877,11;-;2477,71;428,62;1005,37;7428,24;-;1162,15;897,98;677,20;-;2991,04;6267,00;4913,20;-;2058,17;1968,13;2768,83;2694,01;6772,26;-;15988,63;6482,35;5569,82;-;19208,42;14013,80;16300,40;39086,80;-;29545,76;971,08;-;686,42;-;14835,50;1622,51;-;2649,47;30170,12;5143,48;17661,32;2696,87;8942,97;28262,29;41367,42;12595,30;3844,94;11871,71;504,07;20387,23;6461,84;1509,79;5580,91;1037,06;11265,91;5073,39;5979,47;16967,97;2445,99;736883,42
"350715 Bom Sucesso de Itararé";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14422,70;-;-;-;-;-;-;-;-;-;-;-;14287,30;-;-;-;-;-;-;-;159,12;-;-;-;907,32;1975,81;-;-;-;-;845,23;-;-;-;-;-;-;-;-;-;-;-;20693,58;-;-;-;-;-;-;3753,73;6060,80;-;-;-;-;-;-;-;-;-;-;408,38;1469,42;-;-;-;-;9311,33;159,12;-;-;-;178,17;1596,49;-;-;-;-;-;4022,64;560,91;-;-;5733,34;-;1517,62;-;-;-;-;245,87;-;-;-;-;-;504,64;-;-;-;-;88813,52
"350720 Borá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1902,39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;726,90;-;-;-;-;-;-;-;-;8819,50;891,82;-;-;1944,07;-;-;-;-;-;-;-;-;-;-;-;5951,33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;634,67;-;-;-;-;-;-;-;-;-;-;-;-;188,15;-;1109,53;-;22168,36
"350730 Boracéia";-;-;-;-;-;-;-;-;-;-;-;-;8128,25;-;3420,11;-;6671,18;-;-;-;-;-;578,99;1391,27;1951,82;918,94;422,15;-;-;654,13;-;622,59;1272,65;749,39;8840,22;-;-;-;-;610,53;-;-;-;3702,86;-;167,12;71,17;691,22;610,53;-;-;-;-;5883,61;-;614,53;-;168,97;14299,37;-;37,34;-;-;-;1604,27;-;-;-;-;6058,72;673,39;41,34;-;606,53;352,19;701,46;6759,20;-;-;610,53;385,56;-;-;-;-;-;-;-;1196,04;-;1123,63;-;2454,67;-;-;3297,15;463,47;355,56;-;-;5289,69;-;-;1679,77;630,53;-;484,81;459,47;503,66;-;864,28;2991,58;619,67;455,47;1582,52;-;104724,10
"350740 Borborema";-;-;-;-;-;-;-;59071,49;-;-;-;-;16006,97;1918,74;1799,34;-;-;3378,51;-;-;8018,71;1010,80;5905,02;622,53;677,70;175,12;4027,24;1038,11;849,50;4548,23;22812,77;1094,06;7160,14;1859,98;524,81;4035,46;1497,35;12020,53;11763,11;642,59;561,08;1576,98;467,47;-;1178,65;622,53;-;12601,98;12588,95;944,28;499,47;671,59;475,47;1387,18;-;1787,34;8143,43;5904,48;3183,91;6060,42;791,51;3105,34;1169,62;4264,94;1648,62;399,15;9152,53;16326,82;3006,52;3509,24;3065,28;1845,95;689,67;3865,88;-;18557,27;5270,92;11930,87;500,44;6123,78;7022,51;160,12;1256,51;-;9045,72;-;503,12;1385,98;2440,43;4994,45;1884,14;7065,87;5187,14;1832,58;2302,92;807,65;3070,79;208,46;3369,50;-;7470,38;175,12;-;1552,95;17155,33;1069,82;689,16;-;8865,51;3317,18;1163,94;6001,36;902,94;1934,30;5522,64;-;434696,89
"350745 Borebi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1719,28;-;695,20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;247,75;430,87;-;-;-;891,63;-;520,07;-;-;-;-;-;-;-;-;-;-;40403,30;175,12;-;-;-;-;-;-;-;-;307,35;685,11;520,07;-;-;-;-;2443,35;-;-;-;385,40;603,31;-;-;-;-;-;183,12;-;985,35;1256,15;-;-;-;-;-;-;-;2453,07;-;6941,78;-;-;-;-;-;-;-;-;-;-;3779,49;-;7292,42;2436,99;75356,18
"350750 Botucatu";-;-;-;-;-;-;-;-;-;-;2835,30;53690,19;53126,11;14401,83;48967,33;57962,46;54177,29;12889,91;3112,03;47590,55;11636,79;28741,44;98715,45;66369,75;101879,05;54414,40;18576,12;26094,92;11127,82;40046,57;49409,61;47561,34;61050,60;20334,38;57941,37;20967,13;32174,29;26538,55;51165,54;80262,30;24864,57;68400,52;48699,12;33182,47;23184,71;38877,65;18495,72;33291,10;16930,06;89309,45;63276,57;48519,81;115692,97;52596,59;36673,22;65833,44;152309,42;77322,95;49563,82;61919,63;60661,09;48932,45;101713,31;65629,90;121892,60;101769,56;59948,76;38958,30;72296,16;152882,97;27108,31;84484,79;38526,14;57118,02;91250,98;116923,19;77286,34;68469,68;78511,03;68849,39;69513,45;133585,38;85120,09;78356,36;105786,33;100825,37;77784,97;177384,09;149268,57;182701,24;107873,17;64218,11;72147,71;116416,94;112767,90;118678,69;88097,90;56194,55;89968,84;122874,38;167637,39;57566,49;89830,82;90109,64;36352,83;71622,23;90977,58;72873,13;79283,79;86881,55;163611,79;93013,11;51876,97;67929,97;34214,76;10260,77;7279524,04
"350760 Bragança Paulista";-;-;-;-;-;-;-;-;-;-;1481,79;52095,89;4046,63;43786,03;45951,20;47556,80;44608,27;7703,26;52193,82;52443,45;69272,48;18532,37;75471,37;18081,63;40074,46;18128,06;26877,70;35682,04;34383,48;33566,19;26199,36;22905,94;35298,41;28498,96;16450,50;9588,21;27988,75;22212,82;38385,17;23432,57;74061,15;88072,21;33238,76;36384,65;22205,20;32770,19;16803,53;35826,05;61216,57;18860,25;59797,61;62212,44;30741,86;51056,42;41307,58;15895,42;11249,28;80708,60;81189,62;32581,52;14664,24;68306,52;45183,24;29739,81;69181,78;91087,86;56045,84;56474,33;27225,42;45341,75;30270,22;31171,37;66268,63;28949,03;8249,33;44644,38;68417,49;6998,01;52302,91;30904,91;47167,68;54330,94;117828,27;26401,51;70868,34;53796,25;53779,34;50602,82;75812,44;119269,95;38590,76;29435,62;21029,36;76598,22;35783,29;20516,26;29213,85;66995,30;60777,23;21415,60;29872,68;54531,00;26257,27;58518,95;57739,43;34942,40;14006,02;75447,05;41562,17;56505,26;72356,03;47068,86;79708,98;15458,98;54737,07;12780,14;4532208,91
"350770 Braúna";-;-;-;-;-;-;-;-;-;-;-;-;11196,04;10280,43;-;-;1032,45;71,67;-;-;-;-;3025,43;-;-;-;-;-;-;-;1143,14;-;2506,61;-;37097,27;-;-;21034,62;646,86;-;2259,59;-;837,47;54219,58;789,65;3047,49;2948,46;5082,30;175,12;6221,46;-;-;-;1345,03;-;-;-;525,57;-;-;-;-;-;14490,21;-;2587,19;-;-;239,75;-;-;-;-;-;-;471,29;-;5036,95;-;50,00;-;-;-;2598,73;-;-;-;-;-;-;-;4506,56;-;-;-;-;2286,94;-;-;-;-;-;-;-;-;-;-;-;1476,46;764,07;779,23;-;3601,67;-;1616,53;-;205991,82
"350775 Brejo Alegre";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2434,12;-;3460,79;13092,07;-;-;-;-;-;-;-;-;1498,03;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3329,78;4276,79;451,47;12864,36;-;4014,14;159,12;-;-;-;10369,74;-;-;-;-;-;-;-;-;-;1226,96;-;-;-;-;-;-;339,18;-;-;885,06;-;-;8064,26;-;-;-;-;-;-;-;-;-;12436,59;-;-;-;-;-;-;-;-;-;-;7970,37;-;-;-;-;-;-;-;-;-;-;86872,83
"350780 Brodowski";-;-;-;-;-;-;-;-;-;-;-;7507,32;7106,28;1112,63;4504,93;12113,57;7023,73;8414,92;11519,59;9831,51;10318,17;4549,39;5620,28;35242,97;9448,00;2158,53;-;3098,81;3834,90;6212,82;8886,93;2847,58;15060,21;20070,82;44126,80;1603,50;1279,66;9004,20;1492,59;3158,31;6455,60;4238,32;4304,11;17890,57;2930,27;7925,54;1017,78;1529,66;-;9970,48;1564,47;3693,88;7324,26;118660,45;34128,12;1329,49;4678,70;25222,64;4655,33;53041,39;40463,03;7818,73;1433,23;8056,88;871,73;3797,48;2373,63;2390,90;2483,66;4483,44;6178,21;12377,64;5031,65;183,32;1380,41;8838,44;1342,29;4067,75;6000,15;1419,90;5591,88;4415,39;12942,49;7649,00;980,67;11068,22;18212,77;51673,35;10314,74;14838,74;1306,79;-;4723,30;5024,51;11534,59;1899,89;20455,62;17426,63;747,37;1710,67;29626,23;3621,55;2243,06;3615,56;2608,93;926,91;6774,26;5961,75;5095,33;7134,06;5413,21;5373,59;1503,77;1226,06;1240,20;-;973583,57
"350790 Brotas";-;-;-;-;-;-;-;-;-;-;-;-;598,53;17104,79;-;2556,87;831,82;3221,89;3808,76;-;-;5885,75;-;-;-;119,17;2517,34;768,28;646,53;422,15;2268,29;1022,42;872,15;-;6550,81;1222,07;11919,22;711,19;3948,77;-;-;2239,87;46899,00;3681,99;8940,33;-;638,53;-;611,07;95,17;4185,19;-;876,36;4751,05;199,51;270,29;2642,03;422,87;622,53;9215,00;27524,19;3888,07;3252,81;598,53;6860,38;1969,78;-;6612,73;-;5271,10;527,30;-;-;5169,50;20221,04;12823,77;17420,36;4908,07;-;1397,25;30277,79;6277,97;10394,04;548,09;2079,02;3939,90;-;3433,13;5010,32;1309,74;1927,03;-;14586,20;4610,24;676,80;592,26;2506,44;4161,97;12507,77;5292,78;6155,65;1079,49;19730,57;3161,31;2931,31;22040,62;-;878,28;7416,46;-;25797,49;5664,92;1770,97;3563,04;520,07;457,82;483031,96
"350800 Buri";-;-;-;-;-;-;-;-;-;-;-;7954,69;-;-;-;-;-;-;1850,34;-;25767,99;1521,27;-;364,89;751,64;-;2184,41;29715,40;-;18898,71;-;44112,18;13294,13;1631,99;375,19;1167,21;-;675,96;2314,70;625,16;-;11066,27;8103,71;35261,08;57387,46;1159,77;10435,93;-;18839,23;1698,79;3602,35;12185,53;6608,65;1407,24;-;-;36525,80;434,31;8160,32;1166,35;-;451,47;-;14519,82;436,16;3879,64;-;1583,74;849,02;183,12;1364,97;941,56;1513,45;-;165,47;-;-;937,74;-;4486,83;-;695,97;6080,22;318,24;-;-;-;8217,55;1288,34;-;-;9282,75;1536,17;2345,62;4884,91;22923,78;7435,00;14827,07;14827,25;15735,16;9711,57;1021,45;10140,89;800,20;5075,87;650,56;12130,12;13982,23;2261,54;832,78;6949,19;1779,29;6742,59;-;1187,39;-;582225,34
"350810 Buritama";-;-;-;-;-;-;-;-;-;-;-;12875,18;11005,16;4822,25;5444,05;175,12;-;56510,87;21218,74;8414,33;-;1339,96;7857,80;3116,98;-;26736,30;2955,28;43909,30;-;-;14730,41;3718,72;-;183,12;5747,87;5501,54;28668,07;-;-;21011,56;175,12;484,39;-;-;-;1464,25;7490,41;1149,35;-;-;4243,57;3164,80;710,90;175,12;3705,04;789,65;451,47;23797,82;175,12;797,65;1946,55;1274,56;-;988,77;4628,67;-;183,12;-;2191,43;1609,41;175,12;-;1479,60;6086,11;7473,12;14126,66;5380,53;403,00;7994,00;793,47;172,31;175,12;5265,79;31307,56;10016,34;-;8091,83;694,53;885,65;6263,48;1045,61;-;-;-;2276,50;805,65;614,53;-;52406,39;1409,44;6508,52;3493,82;24458,65;35512,98;5001,79;11425,37;-;2203,59;1663,95;48906,25;4627,27;10913,69;32727,84;1060,08;-;1447,00;702832,92
"350820 Buritizal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;105,10;214,72;-;2988,44;-;183,32;-;-;-;-;-;-;-;1936,96;-;-;598,53;-;-;-;-;663,26;-;71,17;-;701,36;-;183,32;625,16;3751,97;-;-;-;-;-;3326,35;-;-;3487,88;703,63;-;-;625,16;-;-;-;-;-;3406,53;-;-;3996,80;-;-;-;3683,49;-;-;-;941,88;-;-;3077,54;-;-;-;1280,34;-;-;-;-;454,07;-;-;-;-;-;-;-;167,12;641,23;-;459,47;-;-;-;10188,25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48463,05
"350830 Cabrália Paulista";-;-;-;-;-;-;-;-;-;-;-;21560,45;-;-;-;159,12;-;-;1843,71;159,12;159,12;451,47;3756,10;159,12;-;505,46;3338,42;622,53;-;622,53;159,12;326,24;1496,44;159,12;41,34;-;-;763,53;319,75;159,12;-;497,43;-;-;-;-;-;-;-;-;41,34;-;-;-;-;-;-;-;66,49;-;-;-;-;-;41,34;-;-;-;-;-;-;-;-;4237,00;-;-;-;998,37;1884,40;-;1437,68;-;451,47;749,84;-;3873,53;-;-;-;598,53;374,95;-;4866,14;-;-;630,53;-;-;-;-;1400,66;-;540,26;-;826,51;451,47;-;1291,77;-;467,47;111,25;2330,02;-;1219,27;1728,72;-;67878,25
"350840 Cabreúva";-;-;-;-;-;-;-;-;-;-;-;135,72;1386,73;12018,79;1909,88;12542,32;1950,26;-;-;2141,61;19042,16;7589,46;2176,50;1968,73;755,08;451,85;1688,71;4793,58;6422,00;-;10778,41;546,64;6898,66;-;22188,97;2418,57;-;3225,85;6404,48;1094,14;15854,62;16628,80;21449,47;25200,59;506,49;2417,36;19364,33;6763,72;-;16862,29;9890,29;-;3789,89;16317,21;9282,44;10170,73;13967,51;2464,63;2994,74;13406,87;3531,31;3677,20;4987,31;17379,52;2935,48;19083,50;2931,65;5085,17;1456,51;2369,53;3173,26;3903,04;5167,77;1421,90;5517,93;1120,28;853,36;10034,47;7177,48;2654,04;16199,00;2080,15;-;30819,89;22966,88;10447,12;2310,40;477,84;1248,02;3867,67;929,62;8842,36;4074,37;6482,72;524,69;18223,36;5227,93;5422,92;538,00;1619,74;5647,34;4380,89;3386,71;2209,37;5123,20;13444,55;24640,81;3090,80;8055,34;8488,55;4495,37;3703,14;1456,87;11047,28;10560,68;1627,23;695982,60
