 Morbidade Hospitalar do SUS - por local de residência - São Paulo
Valor total por Município e Ano/mês atendimento
Lista Morb  CID-10: Outras tuberculoses respiratórias, Restante de tuberculose respiratória, Outras neopl malig órg respirat e intratorácicos, Outras doenças do trato respiratório superior, Outras doenças do aparelho respiratório, Outros transt respiratórios orig período perinatal
Período:Jan/2012-Ago/2020
"Município";"2008/Jan";"2008/Jul";"2009/Jul";"2009/Set";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"350090 Altair";-;-;-;-;-;-;-;-;-;-;19886,92;-;-;-;-;830,20;520,99;-;623,87;480,87;-;-;619,87;-;-;-;-;16180,91;1727,87;544,37;-;-;758,87;23703,30;-;-;25599,28;4612,90;1220,32;-;-;3673,87;480,87;1691,78;1147,90;17547,52;550,72;-;-;528,62;-;-;3218,31;480,87;568,37;-;-;-;6377,86;-;-;-;744,88;-;520,87;-;-;601,23;-;1095,29;-;480,87;5982,43;-;-;-;-;530,27;-;18384,63;-;-;-;-;-;-;-;-;-;-;-;-;-;16683,97;625,22;504,87;488,99;25250,71;-;-;-;-;-;-;-;-;723,46;-;-;-;1003,11;-;-;-;-;-;207198,03
"350100 Altinópolis";-;-;-;-;-;-;-;-;-;-;-;1331,09;-;31836,93;4140,15;6395,17;635,03;10723,54;3259,36;4661,28;357,66;499,90;8984,99;-;6922,39;11687,70;11809,02;-;1210,07;3693,54;3632,78;30781,61;2153,45;544,76;4127,00;679,25;-;19900,78;6715,94;2470,00;889,77;9115,72;921,24;3277,75;-;12060,66;778,72;1766,29;3155,72;8904,89;29585,37;-;2015,90;3660,90;11593,01;185,83;18011,44;6009,85;1419,27;1975,52;20445,07;3422,37;3467,59;1596,77;-;490,45;3868,30;8791,19;29829,18;21923,15;1148,68;961,74;52,22;1219,77;18313,74;-;931,95;4183,30;5700,38;2391,70;-;-;-;9529,77;1180,87;2272,74;880,36;187,10;1095,46;5407,56;1823,41;18389,82;29511,44;1685,84;20474,80;16495,54;35371,05;1159,25;499,90;42575,35;3404,55;33350,48;996,76;713,09;9076,44;611,04;3576,81;499,90;771,17;2063,51;34801,01;2070,73;2284,67;1822,39;-;682,30;708483,90
"350110 Alto Alegre";-;-;-;-;-;-;-;-;-;9193,16;-;-;-;-;-;-;-;-;-;-;-;-;1776,66;-;-;-;-;921,03;6490,22;635,03;-;-;448,87;2211,37;-;-;-;-;-;-;-;-;47,27;4536,31;-;-;-;-;635,03;480,87;-;-;-;-;-;-;856,09;-;948,60;-;758,87;3833,90;815,76;-;-;-;671,03;-;-;-;-;-;-;-;-;-;-;-;-;-;488,87;1777,97;-;1236,32;8872,44;-;-;-;407,88;-;-;-;-;-;-;1111,88;-;-;-;-;-;-;-;14409,11;-;1021,04;-;-;164,92;-;-;-;9875,60;651,03;-;-;75277,13
"350115 Alumínio";-;-;-;-;-;-;-;-;-;-;-;40,38;848,35;1219,98;-;-;-;-;-;262,54;707,41;-;-;-;-;-;1967,83;-;-;561,03;-;-;-;-;-;10069,98;-;-;-;11281,75;-;1226,33;955,08;391,44;4046,88;11372,97;-;3142,85;4831,28;29372,88;-;55,27;-;-;-;-;-;-;-;-;16487,72;-;-;-;15360,03;2653,95;867,46;881,18;16734,82;-;-;318,54;-;-;-;1240,59;5015,22;163,10;-;-;-;-;2044,63;-;-;-;872,08;-;-;-;2578,88;302,54;2213,44;-;1596,16;-;-;-;-;1835,72;2687,28;1168,91;-;2608,75;-;-;8018,33;-;-;8580,52;494,88;21828,76;278,54;-;-;4443,19;203629,45
"350120 Álvares Florence";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2620,33;-;-;-;-;-;-;568,29;262,54;1100,52;1898,57;1771,18;-;-;-;-;-;-;-;-;-;-;-;-;-;1652,98;-;10425,63;-;848,97;12818,85;-;-;544,59;-;-;-;-;-;-;-;-;1330,70;7007,30;3947,34;-;-;4074,19;-;-;-;-;-;18941,65;-;448,28;-;11812,14;2498,33;-;-;5949,29;4511,44;9310,21;-;14757,07;-;-;972,49;393,80;-;-;-;1946,53;-;3072,96;-;-;18364,91;4079,30;647,26;4854,82;115,69;14859,51;2064,23;-;47,27;-;170519,16
"350130 Álvares Machado";-;-;-;-;-;-;-;-;-;-;-;2463,40;1224,21;12501,28;7510,13;8447,95;-;2021,99;1944,80;1078,45;-;8619,50;11331,51;2220,46;3271,75;17573,98;6078,08;10107,67;3275,43;3811,18;7093,40;5812,57;610,88;15297,50;1560,28;16896,79;262,54;11791,93;3146,19;2052,64;605,63;25619,62;4687,57;-;4028,30;14834,78;-;-;5152,41;1208,01;-;4474,93;598,82;23933,21;1744,92;1071,54;3165,62;-;11116,30;1355,98;3665,02;-;-;1956,51;635,03;1638,14;7903,29;16204,57;12883,12;21051,42;3214,39;9470,74;3316,07;2820,45;-;4548,50;4995,33;4425,96;4710,53;3192,03;8603,79;5124,32;5333,38;843,81;2088,50;575,57;7695,49;5198,75;529,99;661,71;4009,74;5112,59;6910,23;2719,31;9085,02;2916,19;-;569,07;7824,72;7636,45;2374,01;4555,73;3163,89;-;9238,53;1963,87;4289,82;-;1949,31;44,22;4192,63;1187,89;7890,37;4833,27;12541,70;4035,31;523934,41
"350140 Álvaro de Carvalho";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6066,12;-;-;-;1062,74;-;-;-;-;379,38;-;-;13506,67;-;8426,14;-;-;-;-;-;-;9588,49;40,38;-;1134,78;-;-;-;-;4503,67;3732,33;-;-;-;-;28921,40;-;-;-;5660,35;8825,99;-;-;2618,61;1932,57;-;481,41;802,37;1350,40;983,40;-;-;-;-;-;-;-;8880,07;-;5410,31;47,27;274,09;-;2948,48;1487,27;61,62;-;4574,99;2737,16;602,07;-;-;-;-;-;5430,49;124,38;14899,09;1418,98;5971,27;2057,30;1852,50;1545,27;-;-;-;1973,88;-;-;-;-;-;162313,69
"350150 Alvinlândia";-;-;-;-;-;-;-;-;-;-;-;-;-;9882,86;-;-;-;-;-;-;-;-;-;-;-;3900,94;262,54;-;-;-;-;1130,20;-;-;-;-;-;-;-;-;-;1012,45;-;-;-;-;1111,88;393,66;-;7490,93;-;12022,47;-;-;-;-;-;-;3662,62;-;-;-;2272,10;262,54;-;-;-;699,84;1166,82;-;-;-;4045,04;-;-;-;262,54;-;262,54;2853,23;262,54;-;-;-;-;-;1113,44;-;-;-;-;23580,29;-;262,54;721,30;-;-;-;-;-;-;-;-;-;-;2318,98;2845,26;-;-;-;262,54;-;-;-;-;177,62;84239,71
"350160 Americana";-;-;-;-;-;-;-;16690,78;33947,82;55029,78;49152,97;27674,04;64741,39;72385,90;61491,87;34250,59;130862,99;138264,15;118787,84;145716,62;73878,26;152665,50;28748,69;68598,90;51917,25;97260,30;54230,14;123679,17;136621,49;104061,58;22670,34;84072,17;43917,93;35356,76;20285,74;79818,85;130407,00;25495,67;117037,19;56754,05;48784,70;52332,46;12186,07;21229,47;44444,26;43019,67;11882,13;36538,47;28376,34;36950,39;33964,17;28143,26;22193,41;36763,46;52761,60;28437,08;35719,34;29357,26;22767,24;49995,92;10606,01;64268,66;18916,21;48876,85;24393,06;13243,40;31048,53;28281,35;37782,39;31833,61;11386,09;39244,98;75878,00;33692,62;11464,64;24680,85;29327,56;14618,68;14426,09;68327,54;33683,01;57911,52;32677,98;30020,52;19931,28;61483,07;49211,64;42594,21;121887,53;17167,23;106287,95;41828,40;43646,40;55250,57;43007,37;37414,44;40766,15;4730,95;40611,25;19862,59;28472,12;75257,69;51432,73;57992,20;48669,59;21114,35;69788,36;81831,37;51000,82;23982,94;31613,42;9462,47;73031,13;32194,74;2992,32;2489,25;5325917,10
"350170 Américo Brasiliense";-;-;-;-;-;-;11080,63;3935,56;-;754,82;25112,72;4723,22;-;1267,45;-;9380,26;3064,17;-;-;2162,61;2421,36;-;1878,73;-;-;-;-;-;-;9609,22;-;2636,42;6886,90;8522,82;1058,67;-;525,99;12794,87;4917,58;27593,23;8466,15;8408,13;525,99;2218,58;1355,87;1203,44;19128,03;12426,05;2419,76;12063,13;3809,40;3473,37;3563,53;11544,28;4083,82;8917,20;4647,48;6090,46;6915,69;2628,41;-;44,22;8467,46;19513,74;4020,75;4933,47;2937,89;2129,72;5180,39;7558,01;5011,47;7243,71;2978,73;19098,01;1556,58;21129,24;9053,33;1755,92;824,60;3119,57;7314,77;8075,13;19196,26;76,40;2149,18;16613,56;17732,00;20382,64;11740,00;1503,26;6249,07;9261,77;2083,77;4312,94;8493,76;-;15339,47;14831,16;6728,79;659,03;3532,37;3010,07;14473,86;1647,82;5562,59;103,39;6462,37;1840,33;8781,53;-;738,30;7571,79;8368,77;11613,82;19195,38;-;656418,16
