 Produção Ambulatorial do SUS - Brasil - por local de residência
Valor apresentado por Município e Ano/mês atendimento
Período:2015-2017
"Município";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"Total"
"210455 Governador Edison Lobão";12,47;1756,24;3094,79;42960,62;27590,90;31551,16;30183,73;33612,54;34814,54;28681,92;29952,16;34949,82;33512,54;34834,16;33089,45;30400,01;35649,64;37343,19;33642,89;39334,93;39829,85;38966,01;40734,11;33233,66;43126,37;58501,82;37548,38;37954,27;38773,06;39553,87;43566,18;37118,46;56692,51;57492,27;42385,12;47560,89;58295,35;50693,61;56696,82;1435690,31
"210460 Governador Eugênio Barros";-;-;6,97;18892,87;25132,41;23290,53;20662,37;26945,09;20479,97;22985,93;26313,15;24640,07;19836,40;26103,91;18729,84;21523,88;18783,50;23144,47;19636,29;20106,83;24563,84;24290,82;22614,20;29876,06;27681,10;39690,04;35031,36;28820,40;27797,32;20859,62;26940,73;25183,81;20810,49;23738,31;33903,82;29064,11;33134,34;40654,04;28223,12;920092,01
"210462 Governador Luiz Rocha";-;-;-;8381,97;7914,67;8295,90;8527,30;13808,86;10541,34;11325,82;18713,94;12851,32;8548,56;17336,00;14480,47;15663,33;10692,72;22339,71;15785,27;14426,61;16985,17;27004,02;15696,75;13425,54;13122,95;11326,12;12802,15;11882,61;9717,12;11760,13;11571,61;9253,43;9553,36;10332,55;9564,76;11478,25;12778,28;15500,28;18293,76;471682,63
"210465 Governador Newton Bello";-;-;28,54;3371,22;3329,10;4469,86;8734,91;15968,75;12720,14;6083,37;14927,55;3134,50;3082,57;6243,80;1384,64;3320,90;4021,08;26744,22;2373,94;2518,37;16244,70;2229,31;3464,64;8319,62;46091,17;16081,69;19922,57;3456,21;17951,50;18355,75;27674,47;14089,31;14068,31;14556,50;7290,80;3786,37;20516,34;16219,83;20102,40;412878,95
"210467 Governador Nunes Freire";-;-;7,30;18553,48;16810,00;39671,54;31525,68;24182,74;25356,79;46109,90;27284,52;34166,33;46822,67;28152,49;24283,97;43340,93;35920,60;32979,13;22268,08;27587,72;23157,21;25489,14;43382,47;21547,53;18719,07;14050,80;15611,00;13907,31;27566,82;34321,04;23588,02;16800,44;26106,86;38286,79;26409,24;32148,67;44635,02;33072,97;83966,27;1087790,54
"210470 Graça Aranha";-;7,30;-;7577,90;7968,48;8049,49;8754,02;13909,04;9051,04;8547,89;10700,60;7784,26;7497,49;7423,70;7812,04;9798,39;12884,33;12017,58;6029,16;9604,51;9628,97;19348,74;13098,04;11383,72;7987,88;7078,13;7521,73;10600,94;8790,72;6179,67;6305,86;6937,67;9992,42;10209,78;11869,84;9199,45;6156,08;12239,61;7137,99;337084,46
"210480 Grajaú";37,41;749,51;2948,95;182027,28;227709,40;276137,93;223655,10;213899,59;221361,94;174486,52;203040,99;336167,56;211362,15;248381,54;227571,49;178940,40;237742,14;294235,39;276296,41;289704,97;239984,45;207132,51;318036,72;255592,11;215579,18;184348,76;85772,01;310379,10;366448,83;742271,19;630999,08;114907,83;550790,75;542885,07;100358,27;91452,46;968037,03;818671,65;702233,59;11472337,26
"210490 Guimarães";-;-;-;9021,12;7102,51;9902,80;6131,79;5706,19;7005,26;12794,58;6002,38;4692,64;14828,37;6616,59;8780,75;4200,89;6212,88;6604,22;6268,77;6277,95;7727,31;10324,93;18267,75;10937,20;8930,95;12286,63;11268,13;12565,79;23986,32;22739,06;14792,79;10166,24;11214,26;15420,66;11112,91;11087,67;15693,33;10664,63;11157,50;378493,75
"210500 Humberto de Campos";-;-;-;13657,16;8453,54;9678,48;6466,42;3527,08;15458,10;11293,41;8407,64;6264,85;7217,27;8969,05;8763,45;15263,65;14269,06;13574,03;22158,65;16566,79;18160,85;11939,75;11506,16;13150,82;21891,97;17808,94;14689,23;16500,88;12691,90;13977,03;13065,10;26210,94;10555,52;11865,23;24347,08;18502,30;22078,74;19283,03;26286,46;514500,56
"210510 Icatu";-;-;-;10809,54;11008,24;12848,34;9687,56;7849,65;11007,93;7768,36;4208,41;6574,13;16808,29;13030,38;9760,10;18807,59;18239,17;18169,79;21384,17;25013,16;31371,13;35090,54;28314,12;25005,36;29264,90;30863,11;19687,50;28499,78;30945,96;28597,75;41902,65;38078,53;44193,46;39220,16;40660,44;43469,71;40616,81;37878,28;31429,74;868064,74
"210515 Igarapé do Meio";-;-;28,87;22994,29;21081,60;26730,69;25914,52;27770,69;25586,54;35931,53;28228,96;24072,88;22833,47;23465,79;23899,64;29782,72;24831,34;25291,97;23507,35;32812,02;27776,30;30759,35;33140,68;27217,60;26888,79;25165,96;30498,60;29196,44;27077,94;41697,52;19736,10;21126,58;21506,67;24026,65;20415,96;21934,92;31787,44;20345,81;26112,62;951176,80
"210520 Igarapé Grande";-;37,95;-;18459,87;16000,21;20160,20;17497,60;17494,44;22486,83;13937,55;24509,91;21298,96;21989,36;23535,71;32847,43;16452,32;16164,53;15305,87;22425,70;17740,86;15442,57;25423,45;16472,42;16990,24;19625,17;11837,36;14313,81;30022,72;23962,60;28230,40;24041,99;56230,83;40490,23;32439,39;42153,75;29450,08;30510,38;65777,22;29001,99;890761,90
"210530 Imperatriz";1309,73;33283,54;125939,36;1405379,78;1304220,94;1437101,98;1319463,05;1287617,94;1429476,54;1357619,18;1299649,47;1271882,36;1183642,97;1272403,86;1146710,79;1095774,57;1259703,06;1521519,98;1431547,96;1355526,85;1575752,11;1528012,71;1640533,78;1673646,61;1605497,00;1688280,47;1380182,98;1477252,49;1499669,90;1513702,72;1466966,02;1475592,68;1561259,02;1602420,77;1484945,02;1399340,42;1573141,71;1452521,04;1437873,92;51576365,28
"210535 Itaipava do Grajaú";12,47;31,17;556,75;13244,85;17104,19;14872,97;17056,35;23743,98;23725,69;24805,51;29186,15;26461,77;27294,18;25314,40;26147,42;23981,69;23256,50;26803,33;25101,26;24099,82;29093,21;36080,11;22309,98;27813,30;37901,28;31365,84;22173,57;34622,90;20489,78;23228,15;35295,30;35768,71;38350,38;26760,82;27725,21;32019,61;28565,23;24387,77;35200,56;961952,16
"210540 Itapecuru Mirim";-;-;-;89248,87;83919,97;101638,00;113567,76;107488,78;102643,66;93902,64;112164,06;98553,16;102593,69;125495,51;112614,28;111124,66;113827,45;109871,81;106430,81;109327,00;116558,03;132867,01;100292,97;102796,61;111942,16;94712,19;100022,42;132709,78;92356,74;94998,98;91764,93;117106,91;90479,76;78875,10;102428,83;110195,11;110233,81;110867,83;123140,70;3808761,98
"210542 Itinga do Maranhão";-;799,99;1094,57;61352,56;51303,91;60613,21;58108,81;50545,60;46180,83;51047,00;53198,65;50234,42;46724,10;33510,43;39315,70;52990,05;43920,63;56130,55;55392,11;53991,19;47730,48;50005,91;63701,09;55331,39;53137,50;73495,04;51814,71;52767,15;48290,51;62429,46;54608,96;60461,08;72936,56;72386,75;72319,41;28543,65;32480,44;18033,07;33169,22;1870096,69
"210545 Jatobá";-;-;97,30;11773,31;11005,77;11768,73;8858,47;19674,13;9485,02;9186,77;17463,50;12361,48;15146,94;4197,92;10130,81;10122,23;8870,07;9477,51;16386,02;10309,18;11755,79;24429,51;6168,54;13627,60;17889,51;7867,78;3476,48;19065,84;3782,02;12849,15;14059,62;13349,19;21103,35;11155,29;13209,57;12848,70;7159,27;5790,99;20460,63;436363,99
"210547 Jenipapo dos Vieiras";-;-;192,00;11267,95;11867,56;13516,09;5911,53;7712,91;15284,75;12529,77;15285,78;21100,15;21006,18;19201,34;19371,57;22858,60;28514,83;17969,48;18274,21;17078,98;20622,17;24116,57;10716,25;7877,90;10309,17;7070,76;8902,79;18648,41;12167,14;16551,83;30639,19;12610,16;18211,10;18886,32;11756,07;20180,47;23498,39;24536,53;28358,38;604603,28
"210550 João Lisboa";12,47;795,20;4763,14;37628,02;32277,02;37740,02;40829,69;43146,64;41174,38;40967,51;41155,90;51240,70;50409,35;49713,55;39586,59;42066,72;44207,28;60788,84;48864,27;35853,84;47791,41;52552,18;65681,38;56781,28;68459,54;65844,20;62902,42;61695,11;59162,73;61491,94;66294,29;58923,03;60378,77;65064,25;59406,53;54882,50;77835,03;57716,57;78013,11;1924097,40
"210560 Joselândia";-;-;13,94;21871,57;19664,75;20549,63;21517,70;19506,71;23738,52;30240,77;22488,98;25705,14;28414,81;19832,76;24793,51;18213,92;23461,24;16592,40;16084,00;15215,50;15138,43;20012,76;14581,16;21036,49;18075,14;20252,37;20228,41;18177,67;17805,80;17404,98;23467,73;18844,77;23248,56;24765,06;24676,94;20848,31;25014,07;34838,27;22103,98;768426,75
"210565 Junco do Maranhão";-;-;14,60;4916,16;4324,16;5723,40;5676,05;2384,66;1996,36;6178,03;2226,68;1823,67;5070,36;2338,80;2523,64;5212,68;2190,30;3669,91;5179,75;17192,65;5127,74;3503,42;12206,98;1861,86;3788,21;6086,88;5343,67;8832,01;17947,07;4859,61;5200,21;7180,12;4772,58;5443,88;5741,35;10791,54;5298,38;11969,92;13863,50;218460,79
"210570 Lago da Pedra";-;7,30;7,30;80741,36;76629,10;79856,91;113296,39;118263,15;93266,93;94499,19;117965,09;107758,05;93207,41;114390,90;110290,54;107770,68;122041,03;129147,25;126247,91;124281,66;170683,09;143926,65;164182,77;142244,76;136037,19;133205,18;144976,42;115276,12;139945,21;141911,91;145783,16;137028,50;143482,42;147896,74;140337,06;136180,39;168190,08;176114,86;192308,76;4629379,42
"210580 Lago do Junco";-;-;24,20;8691,40;9269,98;9922,29;19904,38;21867,92;15548,28;14838,42;20607,04;14243,06;15329,98;20585,36;20708,89;16909,05;23335,49;15788,39;18539,55;16678,16;28566,28;14943,68;18012,83;19479,87;9510,90;9555,58;15722,00;11482,60;9799,12;6799,74;17890,54;7725,70;6580,21;14249,67;8191,99;6622,07;11681,07;6376,14;6949,59;512931,42
"210594 Lago dos Rodrigues";-;-;-;6605,70;3549,34;16942,05;10679,21;9492,96;20118,82;11682,62;15036,99;26783,72;21066,15;11615,99;14131,43;13167,37;19546,26;18587,33;24664,39;13594,12;14935,13;21547,21;16610,37;20652,06;22618,05;19775,22;21293,54;31394,27;18724,12;19987,81;19473,99;33879,12;23688,65;17094,78;27821,58;23445,86;23475,38;23369,89;17887,41;674938,89
"210590 Lago Verde";-;-;501,75;12664,06;10414,63;18143,79;9011,35;12183,35;13756,95;8033,47;18495,90;29194,95;29722,86;18015,77;21503,39;22316,64;18131,46;17114,91;26273,74;26218,96;22370,78;30283,25;16448,31;18794,56;27171,41;21379,06;21359,47;40056,45;26498,34;29739,68;24152,41;31798,71;20930,76;26431,93;22080,91;28906,98;27725,10;27230,50;28710,56;803767,10
"210592 Lagoa do Mato";-;-;180,00;7618,52;1029,44;2691,94;16654,97;5551,36;5344,06;11358,67;7327,53;4405,15;12599,73;6421,45;4172,03;3606,69;14548,96;3829,11;6873,83;5705,56;18274,07;56118,53;20179,21;20070,17;4328,06;5872,97;13448,56;6170,16;5097,57;23948,21;6978,12;5723,84;10381,17;24162,95;10517,30;9281,16;28772,27;7389,27;29326,22;425958,81
"210596 Lagoa Grande do Maranhão";-;-;-;24400,54;21191,01;16961,10;14640,95;16149,83;16905,90;48450,32;30527,83;34639,27;31980,10;25845,10;32951,17;30928,17;25924,30;25917,48;21543,86;26023,09;26361,20;19261,15;25329,78;19597,00;21629,56;20120,93;22228,05;25290,51;19822,62;24049,50;25401,16;27123,86;25420,17;30493,44;26360,41;33130,47;27845,70;58908,94;35097,69;958452,16
"210598 Lajeado Novo";-;-;172,90;14523,12;10381,54;14361,92;11061,93;12581,26;12511,57;13059,08;11272,41;15454,60;9063,54;9894,23;9657,79;8481,98;8014,40;14841,68;10690,92;9214,59;14968,84;9796,45;6070,80;11230,19;8185,07;9587,39;18183,51;7732,22;6522,01;8795,06;10269,45;7298,44;11801,23;9445,22;9547,00;9815,63;12789,99;14561,81;10966,41;392806,18
"210600 Lima Campos";-;-;7,30;36064,34;30969,09;41839,32;35670,26;33466,83;36030,12;51198,03;44168,30;54327,11;60308,03;45390,41;34446,83;30681,76;58169,93;46958,05;26508,60;40265,76;48341,67;42484,96;35022,98;45773,22;42589,04;41022,54;46914,41;43833,83;58714,78;47933,86;50833,15;48967,02;55939,85;63128,76;51317,76;51309,76;60967,76;51538,84;49508,67;1642612,93
"210610 Loreto";-;326,19;94,57;1570,85;2157,04;2583,32;3086,28;2523,49;1796,21;2837,90;2187,61;2086,13;2139,45;2313,22;3112,45;2510,01;4293,15;11706,98;7699,70;6870,07;8990,90;3221,94;7909,85;6573,30;8629,55;6206,55;8037,22;7835,04;8525,91;6142,94;11155,99;7227,59;7211,23;7782,94;7151,82;5835,91;19207,57;19114,91;7363,30;226019,08
"210620 Luís Domingues";-;64,00;-;159,58;1412,92;2846,93;527,03;333,00;1570,00;4607,84;270,61;493,02;3488,57;408,72;726,16;6134,16;342,70;392,08;172,80;3396,76;757,25;468,41;7165,00;436,13;1778,86;10213,74;2419,56;773,42;9123,37;901,07;2587,29;4071,82;3423,39;17188,98;3485,45;8371,74;3291,81;2421,84;12202,15;118428,16
"210630 Magalhães de Almeida";-;-;-;15494,75;14336,90;15941,19;23538,59;17747,78;12758,83;18790,15;18729,13;20844,31;26801,95;17684,62;16272,40;25518,46;17119,86;13522,35;17807,74;15111,63;13675,89;19359,34;10940,24;12804,72;14077,80;25326,97;15873,41;17775,32;25571,13;9859,11;7460,52;16613,39;31436,34;9782,88;9925,65;23277,59;9555,42;20191,21;31854,09;633381,66
"210632 Maracaçumé";-;-;-;8528,64;8387,96;18554,33;6710,56;6498,37;4094,87;14250,68;6131,48;8407,27;15838,57;4265,45;10766,33;22120,99;14408,82;8620,50;9076,03;12414,27;16864,57;17543,65;23764,37;12480,95;10846,32;12982,51;8890,72;6768,11;19030,86;13498,94;9747,61;8239,39;9857,52;19937,06;11630,74;27010,70;20300,78;14570,21;20069,33;463109,46
"210635 Marajá do Sena";-;-;-;185,72;227,28;-;692,03;295,45;129,07;451,71;510,39;21,57;152,02;279,60;282,03;537,33;2452,74;1390,11;2904,16;3059,59;3052,65;2539,05;8268,12;6514,61;9076,44;2889,89;4677,76;2616,77;3204,71;2898,04;2392,23;2726,10;2978,95;3008,76;3337,69;673,39;656,24;2061,95;550,27;77694,42
"210637 Maranhãozinho";-;18,55;770,53;25513,11;24708,04;26337,47;26489,76;26239,25;28436,46;39276,59;26549,21;28539,92;34814,78;29228,00;19384,37;29163,53;23824,02;28965,26;30178,81;49146,03;24409,22;23148,21;37829,40;56638,04;29075,20;22120,31;13243,98;14570,13;23294,18;21869,06;8304,79;6596,01;13955,97;34797,82;11805,29;13153,91;52263,72;39894,23;18650,96;963204,12
"210640 Mata Roma";69,30;69,30;138,60;19033,22;18787,88;15090,12;23652,16;18453,44;13280,79;16996,70;7527,53;30424,69;30205,85;23885,00;25524,68;32962,37;23894,85;22633,68;6569,65;9890,07;28636,26;16508,92;28041,65;43024,70;38397,31;29666,85;29531,35;27463,62;73451,99;53231,96;26207,34;37286,31;32080,26;19484,89;26496,01;40404,43;23485,79;21019,13;17971,50;951480,15
"210650 Matinha";-;-;14,27;18532,04;21287,27;22241,97;19222,51;22417,21;14947,36;23914,00;22396,96;18047,95;23534,05;24810,20;22863,94;23529,63;37584,21;24052,61;30895,54;38210,13;36663,08;29611,96;22434,39;34579,88;17046,35;15113,30;17594,59;17531,45;20360,01;25269,71;32056,91;17224,24;15177,75;21451,93;36215,16;30039,60;27060,34;41878,54;23913,17;889724,21
"210660 Matões";-;6,97;-;32562,44;38085,37;26893,05;27513,12;29472,86;33706,72;35621,44;35353,64;40284,50;41710,57;74470,62;35065,71;35755,99;33333,37;37886,91;44895,29;50317,54;38829,29;37470,80;39682,45;44321,24;48817,24;63295,89;39898,07;42824,51;38525,79;54964,27;34043,60;30857,50;30882,64;47904,45;31111,74;28194,04;38609,26;49972,31;28781,09;1421922,29
"210663 Matões do Norte";-;-;570,10;3797,26;5735,84;8824,81;16230,66;2782,78;3126,24;5411,71;13373,03;5785,90;12134,48;10759,06;11865,71;11585,07;15571,26;17906,53;12468,73;10015,52;13847,23;24675,46;15208,76;11923,99;22425,88;8399,93;7834,79;16722,05;5714,44;8974,39;10216,56;29311,10;12603,73;10335,01;24666,49;13051,16;12842,28;20678,88;5378,86;442755,68
"210667 Milagres do Maranhão";-;633,60;2646,00;6628,19;5594,42;3958,00;9879,17;2038,04;1700,00;3659,01;2908,95;827,69;6950,20;1091,97;1267,30;2404,78;3105,65;1176,15;7043,02;350,32;2911,85;4632,04;432,44;3478,14;425,60;9121,11;175,09;7411,30;4186,36;180,00;722,72;1113,86;3801,31;262,94;127,32;2127,58;1264,64;579,92;2196,62;109013,30
"210670 Mirador";-;21,57;97,30;16685,00;13827,10;8650,27;19298,53;10444,63;17039,82;22605,34;22891,64;20265,15;21253,28;24938,17;28299,33;27573,25;35924,06;33726,89;28493,82;30780,08;35094,93;41780,50;43966,21;44452,11;34698,59;29295,18;15519,23;8053,95;9290,56;16634,93;13484,34;14462,54;16236,40;25480,58;23689,21;26507,81;38613,99;15154,00;37321,41;872551,70
"210675 Miranda do Norte";-;-;-;19774,91;13900,70;20101,77;26204,33;24945,26;24489,80;26611,51;19283,42;26388,38;29324,17;24366,52;30787,37;28950,96;33426,18;36046,05;32498,72;25001,52;27733,39;34508,74;28973,16;22926,93;47800,86;27534,61;32023,24;42081,90;25520,43;31621,43;41839,04;57351,98;36348,11;30549,15;32141,77;30272,21;45185,80;52586,10;41858,83;1130959,25
"210680 Mirinzal";-;-;-;10060,19;11889,02;16320,08;13251,02;12782,84;13697,95;15688,23;18111,28;15434,87;22075,60;22492,89;18813,52;24556,68;21027,76;20684,95;24751,45;31709,25;25811,84;19437,77;38047,07;19642,62;26477,88;26766,45;18359,53;10591,31;22953,67;26008,67;21722,20;21005,07;25130,46;27728,49;26453,75;32713,99;19777,36;25564,92;21975,95;769516,58
"210690 Monção";-;6,97;899,92;9652,67;8956,48;15906,87;14610,20;13642,89;12748,03;18856,97;26535,23;30499,76;28670,09;43950,82;29261,98;45967,00;34276,75;29837,61;39917,74;58066,69;58522,31;48902,32;31178,23;50869,67;37632,05;32525,87;26941,19;40827,54;29857,88;43373,64;29329,74;31131,26;40645,19;49626,46;45760,12;42998,43;51723,47;43622,28;39025,19;1236757,51
"210700 Montes Altos";12,47;913,77;847,61;11899,37;9320,18;13148,74;11668,85;12259,65;10015,57;12171,51;11801,21;12155,01;15926,80;11291,52;8358,53;11533,70;14877,17;19694,16;13173,41;14768,94;15283,85;18984,70;19952,47;15527,32;19435,21;22158,60;20217,07;16083,25;15778,98;14040,76;18052,15;17133,36;20057,38;18200,66;17075,62;20486,17;23756,55;28755,29;16169,14;572986,70
"210710 Morros";-;-;-;25177,48;26054,61;44682,30;21698,10;31817,80;19479,69;16349,52;16688,68;22389,17;21696,57;16812,96;22110,04;29232,59;24703,62;25548,09;23004,46;25119,66;22618,33;27403,87;18474,77;23899,25;32052,17;33662,40;24714,90;19608,79;13619,97;21932,57;17771,05;21095,61;25856,08;25586,44;22275,48;32263,32;27958,35;30049,05;31830,67;885238,41
"210720 Nina Rodrigues";-;6,97;55,56;11313,08;16315,37;20548,21;21746,45;18344,64;13336,85;15037,50;14952,63;12967,75;19502,85;16195,38;14624,31;21489,56;24660,68;31692,02;24506,53;23845,03;18354,44;34778,97;18669,18;21039,41;28992,87;19909,89;17028,22;15005,86;10406,80;17905,78;22452,08;29264,73;7806,24;6619,69;9537,84;11776,13;4928,71;6346,97;16167,10;638132,28
"210725 Nova Colinas";-;123,44;212,92;1918,91;4069,91;1574,65;2168,48;2337,33;890,71;630,30;669,67;2303,23;1711,70;724,50;701,72;847,83;3676,60;14741,77;5193,53;3968,39;4029,44;8182,82;1883,81;1577,64;1938,04;2482,64;1670,99;2723,71;1109,53;1605,81;1428,77;2345,21;3564,56;3989,05;3832,36;4185,36;11599,79;4309,92;3133,26;114058,30
"210730 Nova Iorque";-;-;-;7132,28;6761,73;8470,63;15104,74;9718,15;9554,70;11571,47;8131,27;9667,33;8199,87;16898,17;8527,27;9062,35;15022,11;7146,63;7599,05;9315,13;13855,33;14676,27;10134,45;13435,79;11915,09;7166,49;12849,43;13405,88;17986,64;14356,63;7595,53;5837,09;7612,29;14368,63;6845,60;7507,82;15168,82;10370,86;33039,16;406010,68
"210735 Nova Olinda do Maranhão";-;-;-;20603,80;24525,81;14286,99;9682,37;8549,63;9452,08;14261,68;8491,10;6154,25;21699,48;10660,96;10079,14;15138,67;9972,86;10264,49;8740,47;17157,02;14806,31;12458,37;26141,89;12443,42;12933,61;21306,69;14746,64;16486,49;14045,26;20518,22;16116,99;12398,93;9515,26;18567,20;6671,26;7129,72;17625,32;9367,66;13126,37;496126,41
"210740 Olho d'Água das Cunhãs";-;-;225,37;26730,18;28110,64;34403,86;24817,64;23324,99;33250,03;24810,83;24227,16;27406,70;21295,18;21520,94;26895,71;21883,89;20303,95;25414,27;28146,05;17279,84;21710,84;30195,11;25218,21;22367,68;33257,86;26215,68;46129,56;26608,11;30042,91;28742,85;29418,00;44489,79;33243,64;28057,79;33522,09;48815,90;38024,21;29066,94;38886,03;1044060,43
"210745 Olinda Nova do Maranhão";-;-;-;10148,37;5362,93;11716,28;5293,25;9657,47;5014,93;10215,86;16618,17;8940,66;12461,15;30118,02;11858,94;8953,94;21312,88;7863,94;10347,82;9008,49;22126,42;10513,81;10051,72;17544,00;16291,28;5844,77;19109,26;13756,52;13691,78;12774,41;23314,07;15038,04;8907,30;8059,78;28871,00;11280,47;12275,01;27925,12;7035,07;479302,93
"210750 Paço do Lumiar";239,66;45,00;10052,34;325280,17;320295,76;329021,43;315453,31;303606,65;279297,28;350044,59;388450,52;326254,04;349740,51;350083,33;348143,42;372381,42;345755,88;349245,56;372564,41;491529,21;468080,83;455745,29;443338,31;527375,10;500155,27;498051,46;476241,48;425668,91;414554,39;430615,21;411189,99;451046,13;408208,53;465139,47;482667,62;500312,04;510143,99;495751,42;473800,18;14765570,11
"210760 Palmeirândia";-;-;-;12985,66;13655,91;8176,07;8738,68;8828,41;10001,28;6021,86;6003,26;8446,64;9706,53;11579,14;12204,18;13740,32;17172,04;14813,10;15460,56;12737,45;17832,43;20032,47;21648,48;29117,07;16044,24;16463,37;17924,33;17587,50;13227,06;17429,43;27786,68;13054,03;12396,49;14182,76;24891,69;22844,24;23395,06;21114,80;13761,68;551004,90
"210770 Paraibano";-;-;186,97;50322,23;50632,31;54073,33;39962,04;29080,11;35625,85;36051,29;50657,27;51213,55;49465,86;60174,55;56016,10;46672,81;56475,80;63082,75;57210,98;57261,06;61582,39;66536,42;73328,98;81912,13;59727,81;65071,97;79170,13;70688,29;56687,34;75435,86;60221,89;72165,76;75426,86;82955,73;76630,99;75164,80;96172,12;72357,17;88080,91;2233482,41
"210780 Parnarama";-;-;60,15;52253,55;66072,00;52625,61;45067,41;66468,96;51084,23;53595,09;48377,54;53223,18;57812,93;44131,89;56567,85;46918,47;48859,74;54077,62;50341,87;65845,30;52998,51;58763,20;81109,05;60655,56;53552,73;60191,13;48195,17;46384,13;65541,66;72999,68;49755,69;56896,57;64814,36;74558,27;71759,65;80908,04;76014,97;56012,80;69192,74;2113687,30
"210790 Passagem Franca";-;-;90,00;8934,32;6147,50;7063,46;21709,93;10587,13;14339,89;18749,92;23240,73;13467,47;30773,92;14381,98;16738,97;16512,77;29301,14;14702,66;17108,09;16663,77;36725,82;17434,71;18196,64;65783,63;24098,62;19060,53;30183,69;17105,43;11139,83;40395,32;23678,33;22728,97;21920,80;46824,15;26176,69;24142,65;32328,60;19260,64;31398,74;809097,44
"210800 Pastos Bons";-;14,60;141,97;23007,83;22554,19;22003,40;28759,27;22753,11;19697,23;25257,72;28519,88;29866,73;30820,11;29972,68;33856,92;26403,11;34156,98;28716,59;31561,05;27590,74;33324,84;23003,35;14863,37;16426,54;19024,00;22169,33;25344,13;17604,91;26761,42;38300,02;28205,15;26988,74;30020,98;32466,22;28306,33;35111,81;32691,62;26612,92;48737,78;991617,57
"210805 Paulino Neves";-;220,46;-;324,55;24622,43;18979,12;25852,20;26795,47;29941,49;10505,89;25957,79;25203,88;30655,54;32307,22;30631,20;40241,15;19691,17;10886,71;41392,62;34864,18;38813,12;35876,60;38366,47;18120,70;20905,87;42026,40;24256,52;49796,17;42134,10;47207,50;40923,28;45780,64;36374,15;55533,93;58409,41;31947,63;49371,87;44219,31;50598,80;1199735,54
"210810 Paulo Ramos";6,97;-;27,88;28655,58;21717,10;30492,47;24622,57;26847,74;29450,10;21344,69;26736,89;27703,66;24262,66;22155,27;23113,22;22934,29;28236,64;21251,06;27299,06;28894,35;27977,01;32426,89;36670,99;27080,33;29709,44;20540,98;22453,06;29434,30;16969,44;26313,47;20451,43;40364,54;18170,61;16434,84;21771,03;32721,29;25019,05;23149,81;32138,07;935548,78
"210820 Pedreiras";-;420,97;6,97;119717,89;128780,12;147141,41;139745,65;131891,89;156045,60;156979,88;147969,47;162508,45;151535,17;145776,10;154548,18;138073,79;164312,27;142541,70;175534,28;174368,53;189272,29;194983,36;179696,80;162092,87;187363,42;149141,59;161681,18;156063,37;180891,25;187104,15;185151,10;185475,31;168591,87;150961,67;175788,31;162308,36;171706,84;210018,43;176157,88;5872348,37
"210825 Pedro do Rosário";-;6,97;45,00;8571,77;6604,71;3180,01;7993,81;3217,79;3084,24;3030,99;2426,73;4619,25;3361,82;2188,04;12312,89;6871,70;3323,02;7465,16;5561,24;9526,21;4090,14;7055,02;12766,71;11806,58;5578,83;9203,64;9104,69;5731,85;15224,23;6982,87;5656,19;9093,07;9112,32;7474,92;9760,64;13266,22;18579,66;13278,72;17458,67;284616,32
"210830 Penalva";-;-;1458,06;17457,12;21870,71;19610,33;20216,32;21079,00;23167,67;18170,28;23905,93;20492,46;30669,70;40465,05;24205,64;24189,80;35480,78;28853,88;22116,31;32934,00;27390,43;25493,79;28293,17;37538,11;23552,70;30202,20;35015,40;29260,41;26597,52;40993,04;50367,83;44709,92;23085,01;33220,93;35012,67;26797,67;31408,95;42316,54;33170,70;1050770,03
"210840 Peri Mirim";-;-;-;14455,38;15305,10;17806,42;20170,52;17725,06;19391,26;27927,78;27133,38;26248,16;34023,50;24615,88;25258,49;31503,69;26218,49;27912,62;28586,92;22403,92;23772,74;27876,67;27695,81;27134,84;23693,44;26370,60;14596,29;13383,65;21752,04;21568,24;22969,77;24758,16;23832,74;23296,72;20542,10;20643,07;27294,28;18302,44;26858,23;843028,40
"210845 Peritoró";-;6,97;644,42;25100,48;29037,07;43485,95;41977,46;41046,70;30248,07;26055,14;49468,77;30674,49;37254,91;44705,74;38452,48;36427,18;44846,09;41455,62;38149,10;41611,95;51480,72;34357,43;42983,08;49885,63;59530,68;42598,15;58059,83;41084,17;40239,63;49390,15;52627,69;58157,23;54392,24;50486,61;67760,21;50221,51;47198,56;58180,72;42234,20;1591517,03
"210850 Pindaré-Mirim";-;7,30;35,51;62024,15;48882,52;49717,92;42636,90;41434,54;39411,50;51396,35;49062,58;41423,84;49704,96;49352,81;52291,41;56892,95;49330,62;57792,92;54755,60;52334,16;55838,73;49255,06;51755,88;53641,22;58757,26;57127,35;61174,50;69090,02;54717,38;77844,40;62258,93;69522,48;53340,96;70916,03;52307,75;56962,84;60647,54;55507,90;55849,59;1975004,36
