 Produção Ambulatorial do SUS - Brasil - por local de residência
Valor apresentado por Município e Ano/mês atendimento
Período:2015-2017
"Município";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"Total"
"110092 Chupinguaia";-;135,00;270,00;25982,63;24119,12;19310,37;18846,88;18476,56;27738,24;23134,32;25000,14;29812,70;24472,62;28355,26;24511,27;20712,71;21080,70;25518,45;27474,38;24926,11;21833,03;24333,56;30528,14;26232,46;23405,03;19779,42;15001,99;14748,78;28461,17;22714,16;25808,92;33814,50;20460,45;25600,59;14581,05;20063,71;22566,93;26980,96;23829,12;850621,43
"110006 Colorado do Oeste";-;315,00;295,00;82563,75;70513,10;58848,10;71986,71;60258,47;74380,80;74992,02;81325,98;64890,87;62334,63;70610,21;77986,79;68578,11;68792,46;81642,03;68917,56;60728,08;77974,94;52498,78;83061,92;89797,89;65280,41;58758,35;71761,57;84156,65;54358,35;72729,37;76962,87;94645,12;121418,89;139218,09;106895,43;78653,81;85129,76;74497,99;137747,27;2825507,13
"110007 Corumbiara";-;90,00;405,00;29035,14;21279,79;16706,21;34736,32;26054,61;25619,25;24293,01;19586,45;17995,86;22454,02;26222,63;20669,52;20526,82;23937,92;24155,51;19895,09;24252,30;16784,01;15357,17;15132,48;29946,37;33576,44;26221,34;18971,10;22719,45;25019,63;30775,51;29778,99;29650,28;44389,38;27700,58;33844,52;29861,85;34530,95;20740,14;26080,86;908996,50
"110008 Costa Marques";-;-;-;37198,29;34592,98;32357,63;29032,09;36711,92;19511,29;37890,80;18790,39;16559,95;24326,31;11812,53;27312,37;21953,58;19791,65;37184,34;20869,54;12025,57;24518,03;21317,63;22767,40;24852,17;18669,83;21249,63;32547,37;33426,61;17430,65;22749,59;28214,14;38128,92;24201,91;22996,13;36116,95;27433,46;22367,11;19017,88;14820,11;910746,75
"110094 Cujubim";-;-;-;18160,03;14282,96;28996,24;20864,93;25494,15;34740,18;32757,53;34667,34;23368,62;37657,26;34789,71;43048,54;36515,20;42904,94;61512,99;42070,85;44628,75;52813,14;46840,97;67462,72;68035,55;38532,87;41524,58;50041,35;44711,50;51059,68;66326,77;155897,68;69470,78;58474,33;78286,33;69109,96;50217,93;63396,33;45683,13;55433,18;1749779,00
"110009 Espigão D'Oeste";80,00;-;7,30;176579,10;127637,71;152926,98;147552,18;134783,15;165298,67;127149,57;177032,44;126929,44;122513,49;134823,11;182497,42;93706,86;108981,13;181695,90;128876,19;139495,20;143293,30;109004,47;138987,42;202615,76;136671,25;156539,18;141110,80;132204,20;128817,02;127661,01;126167,82;134276,92;103544,17;138074,44;112985,19;117196,31;107821,96;151180,38;126406,46;4963123,90
"110100 Governador Jorge Teixeira";-;-;16,18;24376,80;15703,63;13918,87;17686,78;16669,88;23856,87;19440,72;23116,32;23156,05;17099,85;15897,39;16458,51;18393,68;19148,69;22612,07;19174,73;17277,16;17023,20;26494,43;22034,78;26251,28;36256,29;26453,47;19495,53;21925,67;21296,62;28684,84;19550,28;16060,50;23211,97;23389,35;25007,06;22965,71;17174,23;16340,49;25564,44;759184,32
"110010 Guajará-Mirim";-;-;6,74;116851,71;143941,95;142296,97;124106,80;124933,49;113037,04;153223,84;144294,95;123948,76;128712,44;149945,62;183243,47;128739,03;129194,91;177937,56;148550,16;155065,66;165044,88;146789,42;137326,20;179481,94;136745,42;173354,43;207064,32;206100,42;184122,78;158659,73;164010,35;166277,53;138748,47;153182,97;152229,07;120302,16;143150,75;123206,96;142641,50;5386470,40
"110110 Itapuã do Oeste";-;-;-;20029,68;29587,20;28943,71;25643,04;22095,27;23452,84;19092,19;21192,39;21189,01;12360,19;14527,13;30569,74;10177,77;17308,38;13496,63;13655,77;11376,22;12943,17;18141,63;21357,00;16970,97;16191,10;19748,18;20642,06;17011,58;13565,46;17053,96;30022,49;22781,30;28097,57;19483,73;22111,07;26356,86;32287,46;25778,78;25883,26;741124,79
"110011 Jaru";-;-;1800,01;220495,41;247158,57;232586,96;207416,66;176280,86;204670,65;258460,58;215952,99;183109,49;166652,47;214890,09;229305,14;193940,69;192332,35;267913,94;211206,77;231351,88;231624,50;220564,38;230147,92;239988,45;240723,09;183952,89;221726,83;201470,98;150662,96;205332,01;245920,58;214018,18;173029,16;246608,88;219270,35;192815,45;200221,58;183713,82;289828,86;7747146,38
