 Morbidade Hospitalar do SUS - por local de residência - São Paulo
Óbitos por Município e Ano/mês atendimento
Lista Morb  CID-10: Outras tuberculoses respiratórias, Restante de tuberculose respiratória, Outras neopl malig órg respirat e intratorácicos, Outras doenças do trato respiratório superior, Outras doenças do aparelho respiratório, Outros transt respiratórios orig período perinatal
Período:Jan/2012-Ago/2020
"Município";"2008/Jan";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"350450 Avaré";-;-;-;-;-;-;2;2;3;2;1;3;3;-;1;1;2;1;2;1;1;2;4;1;1;1;-;2;-;1;1;-;2;-;2;2;1;1;-;-;2;1;2;1;-;1;-;3;1;-;2;3;2;1;1;2;3;-;1;2;-;-;1;1;1;-;-;1;-;-;3;4;-;1;1;1;-;1;3;3;2;1;3;-;2;1;1;1;1;-;1;-;1;1;1;-;-;1;1;-;-;-;-;-;1;1;-;1;1;-;117
"350460 Bady Bassitt";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;2;-;-;-;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"350470 Balbinos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350480 Bálsamo";-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350490 Bananal";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;17
"350500 Barão de Antonina";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;10
"350510 Barbosa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350520 Bariri";-;-;-;-;-;-;1;2;1;-;1;-;1;-;2;3;-;1;1;1;1;-;1;-;-;-;2;2;-;-;1;-;-;1;-;-;-;-;1;-;1;2;-;-;1;1;1;1;-;-;1;2;1;-;1;-;1;1;2;2;1;-;-;1;3;-;2;-;1;2;2;-;2;-;-;3;-;-;-;-;1;-;2;-;-;1;1;1;-;1;-;1;2;1;-;1;1;2;1;1;1;-;-;1;3;1;1;-;2;2;86
"350530 Barra Bonita";-;-;-;-;-;1;1;-;1;-;-;2;1;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;-;1;-;-;2;-;-;1;-;-;-;-;1;-;1;-;1;-;-;1;-;1;1;2;1;-;2;1;-;1;1;2;2;1;-;1;2;3;1;-;1;1;2;-;1;-;3;-;2;3;1;6;1;1;-;2;2;-;1;2;2;-;-;-;-;-;-;1;-;3;2;1;-;1;-;82
"350535 Barra do Chapéu";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"350540 Barra do Turvo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"350550 Barretos";-;-;-;-;-;2;4;1;2;2;7;4;1;6;10;3;4;4;1;3;-;3;7;2;2;1;1;4;4;2;5;6;3;1;4;1;3;2;2;6;7;4;9;3;4;1;4;-;3;-;6;3;2;2;4;-;4;4;5;3;4;-;3;1;5;5;1;1;-;1;2;1;3;1;-;-;-;3;3;-;2;3;1;2;1;1;1;1;1;1;2;-;4;2;-;1;2;-;1;2;1;-;2;1;2;1;4;-;1;-;255
"350560 Barrinha";-;-;-;-;-;-;1;-;1;-;2;1;-;-;-;1;-;-;1;-;1;-;2;-;-;1;-;-;-;1;-;-;-;1;2;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;2;-;-;1;-;1;-;1;-;2;-;1;1;-;-;1;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2;-;-;-;-;-;38
"350570 Barueri";-;-;-;3;4;4;5;2;6;4;5;2;2;2;4;5;2;6;7;5;3;5;3;6;4;2;3;1;3;4;5;1;6;2;4;4;3;3;3;4;6;4;2;2;9;3;2;3;6;5;2;8;3;4;5;4;5;6;5;6;5;5;3;3;2;3;1;2;2;4;2;2;1;3;2;2;5;5;5;8;6;9;3;6;8;4;4;6;5;5;4;2;7;5;5;3;2;5;4;5;6;1;5;2;4;5;4;5;4;6;432
"350580 Bastos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;1;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;-;1;-;-;-;-;16
"350590 Batatais";-;-;-;-;-;-;-;2;1;-;2;2;-;1;1;1;2;-;1;3;1;2;2;1;2;2;-;1;-;2;1;4;-;1;3;1;3;2;-;3;-;-;1;-;-;2;1;2;1;-;1;-;1;1;-;1;-;-;-;1;-;1;-;1;3;2;3;-;1;-;4;1;3;-;1;-;-;-;-;1;1;-;4;1;1;1;3;-;1;-;-;-;-;1;-;1;2;-;-;-;-;1;2;1;2;1;2;-;-;-;105
"350600 Bauru";-;-;-;-;-;1;1;4;4;4;4;5;2;5;3;2;2;-;1;1;3;-;4;2;2;1;-;1;4;2;2;5;2;2;6;4;4;4;3;9;3;3;3;5;4;4;4;5;3;3;1;2;3;9;4;3;2;3;2;5;4;1;2;3;4;6;1;1;3;4;6;5;5;6;5;8;4;6;2;2;7;3;1;6;5;5;6;6;2;6;4;6;5;6;4;5;3;4;7;8;6;4;3;7;6;7;7;10;8;1;406
"350610 Bebedouro";-;-;-;-;-;1;-;-;-;-;4;-;3;-;2;-;1;1;1;1;1;2;1;1;1;-;4;2;1;1;1;1;3;-;2;2;3;2;4;3;1;3;2;1;7;3;5;5;3;6;2;-;3;2;3;2;1;1;2;1;-;1;1;-;-;2;1;1;-;1;1;-;-;1;-;1;-;2;-;-;-;2;-;-;-;-;1;-;1;1;1;-;-;-;2;1;1;-;-;-;-;1;-;-;2;-;1;1;-;1;130
"350620 Bento de Abreu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;4
"350630 Bernardino de Campos";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;1;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;1;-;1;1;-;1;-;-;-;-;1;1;-;1;1;-;-;-;-;1;1;-;1;1;1;-;-;-;-;-;-;-;2;-;1;-;-;1;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;33
"350635 Bertioga";-;-;-;-;-;1;-;1;1;1;-;1;2;1;2;-;-;-;-;1;2;2;1;1;2;1;-;1;-;1;1;2;1;1;-;4;-;1;-;-;-;-;2;-;1;1;2;1;-;2;2;-;1;1;1;1;1;1;2;-;1;-;2;-;-;1;-;-;2;-;3;-;-;-;1;1;1;2;-;-;-;1;2;1;1;2;1;-;-;-;1;1;-;1;1;-;1;-;-;-;-;-;3;2;2;-;3;1;2;-;91
"350640 Bilac";-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;8
"350650 Birigui";-;-;-;-;1;-;1;-;4;-;2;-;-;1;2;-;1;3;2;1;1;3;1;4;2;1;-;1;1;1;-;2;1;1;-;2;2;2;1;2;-;1;1;3;3;1;4;1;1;2;-;-;2;3;-;4;1;2;-;-;2;-;2;-;-;-;1;4;1;4;1;2;-;-;8;4;-;-;-;4;1;3;-;3;2;2;-;2;3;1;3;1;1;2;3;1;3;4;-;2;1;2;1;2;1;3;1;1;2;1;160
"350660 Biritiba-Mirim";-;-;-;-;-;-;-;2;2;1;2;-;1;-;-;-;1;-;-;2;-;-;1;-;-;-;-;1;-;1;1;1;1;-;-;-;1;2;-;-;-;-;-;-;2;1;-;-;-;-;-;-;1;1;-;1;1;1;1;1;-;1;-;-;1;-;-;-;-;2;-;1;2;-;-;-;1;-;1;1;-;-;1;2;4;-;-;-;-;-;-;2;-;2;1;1;-;3;-;2;-;-;-;1;-;-;-;1;1;1;62
"350670 Boa Esperança do Sul";-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
"350680 Bocaina";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;1;-;-;1;-;-;1;-;-;-;-;-;-;1;1;1;1;1;-;-;-;-;-;-;3;-;-;-;29
"350690 Bofete";-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;14
"350700 Boituva";-;-;-;-;2;-;-;-;1;-;1;1;-;-;-;-;1;1;-;-;-;1;-;-;1;1;-;-;2;-;-;3;1;-;1;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;1;-;-;-;1;-;-;-;3;-;-;-;-;1;-;-;-;-;1;1;-;1;1;1;-;-;-;-;1;-;-;2;-;-;-;-;-;1;1;3;2;1;3;-;-;-;-;1;-;2;1;1;-;1;-;1;-;-;1;2;55
"350710 Bom Jesus dos Perdões";-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;1;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;2;-;-;-;1;-;1;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;1;-;1;-;1;-;-;-;1;1;-;-;3;30
"350715 Bom Sucesso de Itararé";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350720 Borá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350730 Boracéia";-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;1;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;14
"350740 Borborema";-;-;-;-;-;-;-;1;1;-;-;1;-;-;1;-;-;-;1;-;-;1;1;-;-;2;-;-;1;-;-;-;1;1;-;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;2;1;1;-;1;-;1;1;-;2;-;1;-;-;-;1;-;-;-;-;1;-;1;-;1;1;-;-;-;2;1;-;-;-;1;-;-;-;1;-;-;-;1;1;-;-;-;1;1;-;-;-;2;-;41
"350745 Borebi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350750 Botucatu";-;-;-;-;-;1;2;-;2;2;1;-;-;2;1;1;2;1;1;1;2;1;2;1;1;3;1;2;-;-;1;-;-;4;2;4;2;3;-;3;3;-;1;3;3;1;1;2;5;1;3;-;4;1;3;7;2;8;4;3;2;-;-;5;4;5;1;3;1;3;5;1;1;1;4;4;2;2;2;2;3;4;1;2;5;5;2;3;-;2;2;2;4;2;2;2;-;1;2;3;3;1;-;2;6;6;4;3;1;-;225
"350760 Bragança Paulista";-;-;-;-;1;1;1;2;3;2;4;1;5;2;2;-;7;4;1;1;2;2;1;4;3;-;2;1;2;2;2;2;1;1;2;4;2;3;1;2;-;2;3;2;3;3;5;3;-;1;1;2;3;3;1;4;4;2;4;5;3;8;3;3;2;3;2;2;1;7;5;2;5;3;2;3;4;3;2;3;4;1;3;-;1;2;2;3;3;2;2;4;4;-;4;1;3;5;5;5;-;1;4;3;6;2;3;2;3;2;273
"350770 Braúna";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;9
"350775 Brejo Alegre";-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"350780 Brodowski";-;-;-;-;-;1;-;1;1;1;1;-;1;-;1;-;1;-;-;-;-;-;-;2;-;-;1;-;-;-;-;1;-;-;-;1;-;1;-;1;-;-;-;-;1;1;1;1;-;-;-;1;-;-;-;1;-;2;1;-;-;-;-;-;1;2;1;-;-;1;-;-;-;1;-;-;-;1;-;-;-;1;1;1;1;-;-;-;1;1;-;1;-;-;-;1;-;-;-;-;-;1;-;2;-;-;-;-;-;-;42
"350790 Brotas";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;1;1;-;-;1;-;-;-;-;-;-;-;1;1;2;1;-;-;-;1;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;1;1;-;1;-;-;1;1;-;-;-;-;1;-;-;1;1;-;-;-;29
"350800 Buri";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;1;-;-;-;1;2;-;-;1;-;-;-;-;1;-;2;-;1;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;1;-;-;2;-;-;-;1;2;-;-;1;-;-;-;-;-;31
"350810 Buritama";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;14
"350820 Buritizal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350830 Cabrália Paulista";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350840 Cabreúva";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;1;-;-;1;-;-;1;-;-;1;1;-;2;-;2;-;2;-;-;-;-;1;-;-;2;-;-;1;-;-;-;-;-;-;1;-;1;-;-;2;-;1;-;2;-;-;2;-;-;-;-;-;1;1;1;1;-;-;1;-;2;3;-;1;-;1;-;-;-;1;-;-;-;-;1;2;-;1;1;-;1;-;1;-;-;49
"350850 Caçapava";-;-;-;-;-;1;-;1;2;-;2;2;-;1;1;-;1;1;-;-;1;2;1;-;-;-;-;2;-;-;1;1;-;-;-;-;2;1;2;-;-;-;1;-;-;-;-;2;1;3;1;1;-;2;-;-;3;2;1;-;1;1;3;1;2;-;2;1;-;1;1;2;3;1;2;-;1;1;-;-;-;1;2;-;2;-;1;-;1;1;1;2;-;2;-;-;1;4;-;-;-;1;-;-;2;2;1;1;-;1;91
"350860 Cachoeira Paulista";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;1;-;-;1;-;1;-;1;-;-;-;-;-;-;-;1;1;-;-;1;1;2;-;1;2;2;27
"350870 Caconde";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;1;-;-;2;1;2;-;22
"350880 Cafelândia";-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;16
"350890 Caiabu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;8
"350900 Caieiras";-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;2;1;1;1;1;-;-;-;1;-;2;-;-;1;1;1;-;-;-;1;1;1;1;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;1;3;-;1;1;1;2;-;1;-;-;1;-;1;-;-;-;1;2;-;1;1;1;-;-;1;1;-;1;1;1;1;2;-;-;1;55
"350910 Caiuá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;1;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"350920 Cajamar";-;-;-;-;-;-;-;-;3;-;1;3;3;1;1;3;3;2;1;-;-;1;4;2;3;1;2;4;5;-;1;2;-;-;5;2;1;1;1;2;3;-;-;-;-;-;-;2;1;-;-;2;3;2;-;2;-;2;-;2;-;-;-;-;-;-;-;2;-;-;-;3;1;1;1;2;1;-;1;3;2;-;-;2;-;2;-;1;1;-;2;1;1;-;-;-;-;-;-;-;-;2;-;-;2;1;2;2;2;-;115
"350925 Cajati";-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;-;1;-;-;-;-;1;1;1;-;-;-;-;-;1;-;1;-;-;1;1;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;1;1;-;1;1;-;-;-;2;1;-;-;-;-;-;-;-;1;-;-;1;1;-;1;-;2;-;-;-;-;-;-;-;1;-;-;2;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;1;-;-;1;36
"350930 Cajobi";-;-;-;-;-;-;-;-;-;-;-;-;3;-;2;-;1;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;3;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;1;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;30
