 Produção Ambulatorial do SUS - Brasil - por local de residência
Valor apresentado por Município e Ano/mês atendimento
Período:Jan-Ago/2020
"Município";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"150215 Canaã dos Carajás";6,30;92,40;163,33;131450,20;108093,22;154247,07;59589,16;64382,99;127899,98;103443,15;40500,75;789868,55
"150220 Capanema";-;1360,00;6402,34;388273,04;383611,40;366114,20;196117,48;226876,64;261135,36;320356,00;154758,39;2305004,85
"150230 Capitão Poço";-;64,71;750,25;258729,47;211309,27;212180,80;161011,84;191595,35;203138,17;85402,74;75181,69;1399364,29
"150240 Castanhal";-;30,00;8634,94;989229,70;1019708,09;832003,65;784881,13;712967,42;784928,00;872217,35;908105,79;6912706,07
"150250 Chaves";-;6,97;-;3961,93;3904,10;3865,46;3958,51;4513,74;3837,69;3325,79;5121,99;32496,18
"150260 Colares";-;-;117,34;23298,84;21726,35;21165,57;11433,92;12201,66;26061,95;17707,71;17757,16;151470,50
"150270 Conceição do Araguaia";-;-;854,20;133368,26;129898,96;118659,31;105587,09;120528,11;149064,10;109857,73;91651,59;959469,35
"150275 Concórdia do Pará";45,00;-;159,39;46514,78;47048,23;46645,18;27485,79;24726,06;27784,03;28069,83;35855,23;284333,52
"150276 Cumaru do Norte";-;-;112,66;22373,23;18909,81;21779,25;12144,02;12162,24;12751,64;15852,81;17053,91;133139,57
"150277 Curionópolis";10,00;191,70;38485,80;244810,90;328576,73;268227,74;327731,77;289431,18;278216,35;755446,85;31810,90;2562939,92
"150280 Curralinho";-;-;489,77;18529,25;22181,94;11381,75;8393,95;5051,20;9954,19;10172,24;17223,64;103377,93
"150285 Curuá";-;-;-;16209,87;6193,39;9388,95;5136,70;18060,67;17463,87;12232,75;18102,68;102788,88
"150290 Curuçá";-;-;339,15;61334,86;59440,15;55070,34;50103,01;45573,08;50120,72;52938,05;47344,83;422264,19
"150293 Dom Eliseu";-;-;328,59;105711,54;91363,38;98370,77;88797,75;84289,49;81989,06;90900,64;91136,32;732887,54
"150295 Eldorado do Carajás";22,60;379,60;345,89;70105,56;43552,72;46514,63;41887,87;31420,59;31652,10;31783,18;43038,29;340703,03
"150300 Faro";-;-;-;2514,05;4352,45;4997,59;3357,07;3655,61;3184,26;2994,31;2853,11;27908,45
"150304 Floresta do Araguaia";-;-;-;25525,90;33761,46;25777,53;26752,00;21639,33;29126,40;24510,21;23738,94;210831,77
"150307 Garrafão do Norte";-;-;1112,87;55656,26;51062,72;52685,19;40090,64;36200,07;38599,47;47899,35;37537,95;360844,52
"150309 Goianésia do Pará";-;225,00;1193,37;60026,86;71823,86;32610,71;34188,28;27783,76;30319,42;40313,36;33582,56;332067,18
"150310 Gurupá";-;7,30;232,30;57315,26;53749,56;57062,07;8831,40;13115,55;14616,97;25102,85;19489,51;249522,77
