 Produção Ambulatorial do SUS - Brasil - por local de residência
Valor apresentado por Município e Ano/mês atendimento
Período:Jan-Ago/2020
"Município";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"251200 Pocinhos";9640,40;9912,24;1982,21;77330,70;77371,85;60183,28;66645,64;71195,90;64654,34;59950,08;68594,62;567461,26
"251203 Poço Dantas";51,12;85,20;55,46;16102,57;17512,57;8134,39;10293,39;10304,26;11706,66;9895,01;6598,84;90739,47
"251207 Poço de José de Moura";-;-;2017,22;10888,69;12329,22;5195,63;16699,13;6555,31;12515,29;13283,11;4418,51;83902,11
"251210 Pombal";-;234,57;1586,92;323405,60;304081,34;218030,03;114598,13;108987,45;131111,16;172548,88;197234,00;1571818,08
"251220 Prata";79,75;79,75;229,75;14782,07;6291,56;6275,52;7391,51;5030,29;5357,87;5671,91;10375,75;61565,73
"251230 Princesa Isabel";-;301,50;690,75;91928,18;73170,15;51327,00;36374,40;33424,49;39875,33;44332,24;51149,28;422573,32
"251240 Puxinanã";751,00;2442,25;3234,54;27158,87;23532,68;28792,69;17212,69;21862,11;16536,93;16253,45;15551,37;173328,58
"251250 Queimadas";15619,15;20694,19;24046,59;210370,54;190682,26;193516,61;177296,76;180010,49;171099,97;183285,38;165983,31;1532605,25
"251260 Quixabá";-;48,48;675,00;2837,23;2163,13;2528,46;3690,21;4378,94;1152,50;1931,56;3549,60;22955,11
"251270 Remígio";1530,50;1729,70;3691,65;49369,40;46379,01;43865,90;45451,33;43014,55;32560,51;54632,65;49836,28;372061,48
"251274 Riachão";-;-;202,12;7423,70;10062,59;11345,42;9091,81;9803,34;5863,53;14480,56;7489,08;75762,15
"251275 Riachão do Bacamarte";800,00;800,00;-;11473,77;6512,84;5963,27;5101,82;4221,67;3073,52;2602,67;6199,35;46748,91
"251276 Riachão do Poço";-;20,00;317,02;27479,74;17310,45;22014,58;12743,11;22507,23;21367,99;24418,96;26938,91;175117,99
"251278 Riacho de Santo Antônio";-;-;90,00;4511,55;3565,14;4254,42;7542,22;8949,15;3740,88;4824,47;6475,43;43953,26
"251280 Riacho dos Cavalos";-;-;20,96;18104,57;9928,01;13113,36;17415,55;23212,48;21655,53;27370,94;29958,33;160779,73
"251290 Rio Tinto";169,44;596,42;5848,33;119691,60;110590,21;104333,82;76588,25;83225,24;72136,96;90017,08;115085,72;778283,07
"251300 Salgadinho";-;301,50;301,50;14724,78;14463,50;10675,11;13987,44;11378,02;6156,85;13802,17;6771,36;92562,23
"251310 Salgado de São Félix";-;71,66;613,83;34078,34;28764,21;33910,61;23328,02;14018,31;29220,74;32853,63;24650,87;221510,22
"251315 Santa Cecília";1401,50;1432,34;3861,78;22072,13;35191,31;13814,37;11025,66;12301,47;15015,00;8790,20;9813,38;134719,14
"251320 Santa Cruz";75,71;-;415,33;30262,32;38290,56;24693,95;21037,97;25982,07;27855,48;31244,79;29457,81;229315,99
"251330 Santa Helena";-;-;-;21687,54;19373,01;20305,44;21313,74;20942,59;21551,97;31255,35;32385,98;188815,62
"251335 Santa Inês";-;1549,50;1534,50;8107,45;13939,79;16794,20;5394,03;6411,19;5282,90;7514,91;4333,64;70862,11
"251340 Santa Luzia";-;16,78;7002,75;44407,46;47189,92;49611,31;45664,77;27825,59;29310,18;29942,19;53725,76;334696,71
"251370 Santa Rita";279,06;3715,63;66249,53;763568,61;684833,77;690498,83;465415,47;511807,27;510265,39;653838,17;613582,82;4964054,55
"251380 Santa Teresinha";-;-;500,00;25384,30;21307,07;21781,65;22595,40;25821,23;24488,08;26990,22;31285,54;200153,49
"251350 Santana de Mangueira";-;-;45,00;17341,25;30819,55;23957,51;10396,71;11496,45;11070,04;18239,98;8735,01;132101,50
"251360 Santana dos Garrotes";-;-;1080,00;15159,78;27046,56;6191,24;15781,16;4757,33;4500,61;4391,52;3801,47;82709,67
"251385 Santo André";301,50;391,25;381,25;31719,99;23106,55;18059,81;17032,90;13295,58;12389,20;11776,68;20180,66;148635,37
"251392 São Bentinho";-;-;326,85;20838,97;8074,45;13512,70;11947,48;4952,38;10790,21;9497,31;5453,53;85393,88
"251390 São Bento";-;346,30;2150,87;252849,74;78938,00;80166,63;67011,27;64609,59;54963,93;81133,90;47691,35;729861,58
"251396 São Domingos";-;23,70;142,28;23667,78;14427,63;9010,64;9546,80;6206,75;14889,64;14459,86;5304,97;97680,05
"251394 São Domingos do Cariri";79,75;80,02;79,75;1169,20;3139,96;5415,62;2889,90;2890,04;2810,52;2691,77;5323,47;26570,00
"251398 São Francisco";-;16,30;302,45;3493,09;23280,51;4785,57;3983,87;8601,94;7522,72;16109,16;19044,81;87140,42
"251400 São João do Cariri";391,25;388,55;395,52;17053,24;9957,32;11857,41;19262,50;9334,89;9233,35;8708,53;11254,14;97836,70
"250070 São João do Rio do Peixe";-;301,50;3167,05;41730,78;60945,52;56266,39;55461,28;57793,72;44734,06;46485,57;54319,63;421205,50
"251410 São João do Tigre";1701,50;1701,50;342,90;12873,75;5693,32;15319,65;14303,51;15591,24;15566,84;15917,94;15246,43;114258,58
"251420 São José da Lagoa Tapada";-;2082,08;1898,14;14616,47;34674,35;16800,51;12723,12;16756,67;12828,70;12525,27;19365,57;144270,88
"251430 São José de Caiana";-;-;-;5975,89;23096,78;9728,35;4749,87;12148,01;4267,77;22327,41;4754,59;87048,67
"251440 São José de Espinharas";-;-;880,70;10199,31;2304,36;1269,74;1896,77;3352,77;1080,72;7086,70;11446,02;39517,09
"251450 São José de Piranhas";-;64,78;48,48;39295,82;37202,80;47629,25;43631,57;45052,55;42225,24;37394,47;38510,66;331055,62
"251455 São José de Princesa";-;-;-;6831,35;4926,19;12688,61;1899,85;6,35;372,64;1536,35;696,78;28958,12
"251460 São José do Bonfim";-;-;45,00;8472,82;3459,05;1309,06;9252,59;7940,46;13160,10;13519,09;7701,89;64860,06
"251465 São José do Brejo do Cruz";-;-;2277,00;9500,96;8627,91;11433,66;1220,55;1333,73;8864,51;2738,74;3553,57;49550,63
"251470 São José do Sabugi";-;-;51,00;9552,45;17415,86;16208,51;15146,76;9221,55;12184,49;10501,74;24136,56;114418,92
"251480 São José dos Cordeiros";-;116,75;64,37;6840,94;6095,88;3767,66;3963,08;3694,94;4759,08;3114,99;6541,44;38959,13
"251445 São José dos Ramos";-;58,48;512,48;29987,74;24848,17;18739,38;5619,14;5152,48;6325,90;6806,09;5241,52;103291,38
"251490 São Mamede";51,12;404,20;5180,85;34580,80;32364,39;30944,16;27147,82;32642,94;30700,44;43810,88;41258,53;279086,13
"251500 São Miguel de Taipu";-;88,50;182,36;40369,26;24720,86;30408,80;21169,01;26704,68;24053,92;26498,26;22937,71;217133,36
"251510 São Sebastião de Lagoa de Roça";13614,65;11691,89;11281,82;57298,19;52369,32;40667,65;37608,65;35517,01;38248,40;42915,24;50192,53;391405,35
"251520 São Sebastião do Umbuzeiro";603,00;610,30;603,00;37716,90;22762,82;15812,72;4665,37;8571,56;18424,42;13737,87;9078,83;132586,79
"251540 São Vicente do Seridó";-;244,77;202,09;33690,94;20030,07;30180,11;21926,05;38154,00;27180,61;34683,57;28065,80;234358,01
"251530 Sapé";91,86;488,28;5424,01;142616,50;157022,76;152360,65;106791,92;122858,36;111797,56;120934,74;121486,51;1041873,15
"251550 Serra Branca";984,25;1001,59;15918,05;91360,23;62203,68;68952,98;66373,28;80693,79;54891,89;58759,92;48957,68;550097,34
"251560 Serra da Raiz";-;-;257,76;12773,83;8608,21;7057,42;6851,96;5737,37;6656,57;10812,05;5658,23;64413,40
"251570 Serra Grande";-;10,00;-;10712,25;13816,57;8742,95;2988,07;6023,11;3119,81;9399,55;8460,68;63272,99
"251580 Serra Redonda";79,75;89,75;79,75;19066,24;18744,51;18551,97;14048,77;16066,25;14041,36;16523,06;21479,79;138771,20
"251590 Serraria";-;10,00;-;26425,09;25871,50;24075,22;12637,42;11648,93;12781,10;9061,61;1955,88;124466,75
"251593 Sertãozinho";38,59;20,00;72,19;11823,89;10976,73;11998,05;13405,45;8964,39;7844,28;6221,93;10649,34;82014,84
"251597 Sobrado";-;110,04;397,13;14469,32;26349,35;12259,69;7213,57;8826,33;6473,07;11315,05;16787,97;104201,52
"251600 Solânea";1681,25;647,10;2003,68;93055,80;77630,10;60811,30;76263,27;76280,32;50256,45;69564,56;96817,32;605011,15
"251610 Soledade";923,61;1307,41;1731,56;66940,90;54056,77;47891,30;65660,43;61271,62;61119,00;45613,34;50376,72;456892,66
"251615 Sossêgo";-;-;-;17355,84;9006,18;12635,00;8859,83;11867,31;8031,80;15744,38;9093,31;92593,65
"251620 Sousa";42,99;1267,54;24554,72;329084,48;501706,87;342584,97;241620,60;293889,90;338685,72;373870,08;412011,82;2859319,69
"251630 Sumé";2379,07;2379,07;2086,34;93964,06;80761,07;69947,14;61570,86;89142,67;96644,21;70151,47;83436,71;652462,67
"251640 Tacima";223,76;10,00;120,63;26834,89;21021,45;26560,80;20281,00;26795,81;21462,26;24693,55;21227,61;189231,76
"251650 Taperoá";3476,07;3190,30;1985,71;91222,11;62734,02;65351,73;66212,39;62601,82;63292,92;80128,89;68310,82;568506,78
"251660 Tavares";-;16,88;441,00;37345,98;37350,30;20992,23;10461,16;12113,47;16885,88;35375,63;20651,00;191633,53
"251670 Teixeira";-;89,75;754,75;32721,59;23032,23;20751,38;27770,23;30233,26;28602,78;29870,30;30110,27;223936,54
"251675 Tenório";-;-;-;44329,59;15647,23;9270,84;13842,13;5497,22;6006,94;8258,95;8036,22;110889,12
"251680 Triunfo";48,48;-;10898,25;48738,18;51480,41;45160,27;39363,36;40542,42;50366,36;50218,71;58287,52;395103,96
"251690 Uiraúna";-;6,30;11630,03;51057,67;60404,46;40674,63;39161,51;39109,01;34871,99;43405,55;44664,62;364985,77
"251700 Umbuzeiro";461,00;478,55;1275,20;21056,22;26957,90;33678,39;13023,87;13112,18;13983,71;18909,94;10532,58;153469,54
"251710 Várzea";1252,82;1183,07;1252,82;5526,30;9674,74;7373,12;3768,97;5187,57;4153,39;6477,59;11171,75;57022,14
"251720 Vieirópolis";1173,07;1173,07;1599,24;23892,80;35887,32;26034,68;25176,74;30892,97;23552,33;22191,06;26330,37;217903,65
"250550 Vista Serrana";-;-;-;7207,90;7238,10;3018,82;4487,20;804,44;1744,25;1667,48;3220,18;29388,37
"251740 Zabelê";-;-;-;29301,42;1363,62;8025,44;1732,65;1291,84;7509,37;1557,53;6168,47;56950,34
"260005 Abreu e Lima";1565,12;10562,70;15447,55;503939,05;518705,43;458234,85;385063,08;401337,09;399944,37;495945,04;502109,83;3692854,11
"260010 Afogados da Ingazeira";145,44;1869,68;5382,67;290335,65;284613,38;260923,15;163069,32;180843,39;183226,11;218456,59;233605,15;1822470,53
"260020 Afrânio";-;147,60;970,88;65208,50;63796,19;55311,54;36231,94;33570,87;43190,94;43057,18;27126,96;368612,60
"260030 Agrestina";48,48;72,72;335,85;63107,25;81569,15;73624,32;61509,78;49989,61;56092,64;62984,08;53867,45;503201,33
"260040 Água Preta";145,44;2575,52;4536,60;122058,55;111138,45;121899,74;116412,94;105583,87;91468,93;106931,32;113038,35;895789,71
"260050 Águas Belas";7467,92;242,40;8496,41;145045,76;112635,29;103282,63;72996,52;73443,35;71966,40;100561,29;108689,45;804827,42
"260060 Alagoinha";186,96;309,87;6633,37;35270,90;40315,94;43277,26;43777,50;37609,81;33823,04;42301,63;43226,12;326732,40
"260070 Aliança";403,92;414,99;7433,74;183215,85;192242,30;157422,38;115929,60;119190,02;122740,63;149041,52;127318,67;1175353,62
"260080 Altinho";48,48;96,96;511,12;38228,65;45131,60;49724,41;37957,63;38589,83;38630,93;44254,37;49367,21;342541,19
"260090 Amaraji";48,48;4653,07;6306,66;86331,94;80913,33;92669,98;68325,80;66945,25;64836,90;72359,49;81738,98;625129,88
"260100 Angelim";-;98,31;279,39;35013,70;33906,58;14088,92;9799,15;8844,80;6227,33;6144,00;12208,27;126610,45
"260105 Araçoiaba";99,60;828,40;1109,91;75197,96;58757,17;56408,27;41914,26;41881,25;41586,67;50863,27;56093,58;424740,34
"260110 Araripina";80,88;1107,90;4036,43;170640,40;161078,24;169878,79;174604,65;159874,62;168847,56;176989,30;153463,30;1340602,07
"260120 Arcoverde";193,92;4398,83;16016,82;442344,20;427984,07;370086,51;251435,98;276422,39;286497,86;340866,09;317415,97;2733662,64
"260130 Barra de Guabiraba";-;48,44;1917,75;46712,19;45103,79;45907,34;42221,69;40468,58;42724,39;47746,31;46714,76;359565,24
"260140 Barreiros";374,49;2897,63;6319,84;174401,05;153627,09;158101,06;143041,69;136001,08;135810,56;164038,59;167729,00;1242342,08
"260150 Belém de Maria";242,40;878,93;2035,42;40027,00;42251,34;27662,52;30242,00;24525,99;19540,93;36805,54;18253,82;242465,89
"260160 Belém do São Francisco";32,40;379,20;2139,01;59932,70;60202,30;63766,11;55856,75;49258,68;57601,65;53451,62;58565,04;461185,46
"260170 Belo Jardim";716,76;3446,49;9927,86;175080,47;261974,55;251312,50;214012,34;206913,67;252201,58;240066,26;251241,72;1866894,20
"260180 Betânia";48,48;124,38;1240,39;32501,51;45334,91;49908,97;22375,43;22912,21;29222,24;30759,13;29423,90;263851,55
"260190 Bezerros";436,32;1902,40;6902,40;171412,67;222687,40;266365,87;185100,61;188345,49;183301,31;183927,04;194255,09;1604636,60
"260200 Bodocó";-;-;675,20;91367,06;98689,46;109443,93;71072,29;75151,27;84984,81;94326,67;78495,74;704206,43
"260210 Bom Conselho";48,48;1548,54;5569,51;127909,32;111300,09;110735,74;74051,21;64812,24;67802,92;87077,78;75329,63;726185,46
"260220 Bom Jardim";145,44;380,73;2369,24;128018,33;145808,69;131400,06;96261,72;98790,70;112322,85;133297,58;126408,69;975204,03
"260230 Bonito";193,92;381,24;15962,72;156654,95;187480,00;187609,14;101623,53;101382,02;90888,47;112247,65;150596,98;1105020,62
"260240 Brejão";48,48;97,30;759,56;63310,85;43746,11;38449,18;42661,53;32009,57;26707,53;30949,33;29603,98;308343,42
"260250 Brejinho";162,48;413,50;3025,00;45150,98;44026,26;37543,54;32213,14;36995,79;33971,41;41726,26;34767,11;309995,47
"260260 Brejo da Madre de Deus";48,48;3128,97;10752,88;109845,38;139064,12;106149,50;92302,30;100976,66;94633,77;103892,32;121877,20;882671,58
"260270 Buenos Aires";48,48;145,44;520,41;72576,13;81049,41;72537,92;60709,09;54885,43;58527,40;61319,08;71014,48;533333,27
"260280 Buíque";193,92;5121,85;6140,89;191100,18;173288,36;161842,00;134177,40;124447,02;142754,45;149481,07;133701,33;1222248,47
"260290 Cabo de Santo Agostinho";1839,18;8429,30;28841,61;1127454,93;1161865,35;997203,61;824692,23;824619,94;887663,40;1117674,81;1122999,52;8103283,88
"260300 Cabrobó";55,78;114,85;1230,26;88034,48;77567,89;82720,02;70361,35;61731,17;70049,43;71129,11;66564,51;589558,85
"260310 Cachoeirinha";96,96;93,48;658,39;74483,13;66263,51;43748,62;34837,01;32839,24;38361,59;36477,00;41675,85;369534,78
"260320 Caetés";48,48;138,48;3052,27;119200,76;122679,58;108685,13;71793,45;60126,50;64788,42;67309,78;74948,21;692771,06
"260330 Calçado";-;145,44;179,02;40353,37;39828,16;34302,76;27211,66;31748,46;37195,47;35238,22;39042,08;285244,64
"260340 Calumbi";96,96;6997,00;6693,78;29440,11;34608,97;31060,10;32954,05;32721,05;40879,99;43719,80;19043,35;278215,16
"260345 Camaragibe";2531,52;6074,81;26999,10;1260379,89;922056,76;818702,70;631113,68;595327,48;678342,50;829856,11;836466,97;6607851,52
"260350 Camocim de São Félix";32,40;145,44;983,80;46329,06;53506,77;48157,79;43389,22;44189,02;35921,28;43084,94;49043,77;364783,49
"260360 Camutanga";-;24,00;551,18;18909,75;23664,82;27366,47;15429,14;16426,02;16186,34;18142,70;18820,59;155521,01
"260370 Canhotinho";96,96;72,48;5433,91;108050,42;112677,78;96260,61;86853,31;81202,50;75572,11;75312,25;65436,31;706968,64
"260380 Capoeiras";145,44;238,92;2245,62;48364,06;49224,69;40459,69;31190,21;30234,66;30558,68;35479,96;37576,56;305718,49
"260390 Carnaíba";34,08;363,60;1438,71;113311,74;116110,26;134816,90;82463,82;75849,42;71322,92;74467,10;92619,85;762798,40
"260392 Carnaubeira da Penha";96,96;96,96;4042,35;28996,74;20885,55;12829,10;10496,71;9483,55;11617,33;14913,75;11883,58;125342,58
"260400 Carpina";801,16;1386,62;8598,40;421656,64;424189,56;400471,98;355579,35;335429,11;344369,65;392083,21;411520,80;3096086,48
"260410 Caruaru";4075,44;2871,92;13310,31;1979419,38;1760582,50;1605046,93;1280528,82;1184238,67;1246814,52;1392225,05;1467324,31;11936437,85
"260415 Casinhas";48,48;233,00;11472,08;43237,88;38365,18;35110,59;21627,92;21731,17;24952,42;32574,33;19012,21;248365,26
"260420 Catende";307,92;3201,98;15920,68;140504,37;125861,71;126110,48;102481,54;95858,84;98398,06;116382,60;98234,90;923263,08
"260430 Cedro";48,48;-;268,75;47964,25;46428,49;41967,35;16198,00;17991,87;31978,64;16428,21;17656,56;236930,60
"260440 Chã de Alegria";96,96;145,44;1491,28;63435,97;57430,15;62566,23;46436,91;49206,46;52264,78;59787,79;62114,91;454976,88
"260450 Chã Grande";235,30;169,86;1732,36;111020,90;90044,20;99650,28;62659,36;76796,50;75134,52;81522,45;81896,28;680862,01
"260460 Condado";48,48;169,68;1962,01;97796,72;93809,39;88980,87;80111,60;76468,46;71490,10;95060,74;87278,95;693177,00
"260470 Correntes";98,88;255,48;1540,88;47505,08;36251,93;26501,94;20347,13;22932,13;21356,58;25099,60;23859,80;225749,43
"260480 Cortês";96,96;817,25;885,55;71711,71;48268,87;52335,62;56051,13;39052,72;41768,01;45403,56;33432,56;389823,94
"260490 Cumaru";48,48;581,76;3467,18;55120,16;54910,81;45604,75;42104,40;43144,65;37939,12;47928,55;47106,86;377956,72
"260500 Cupira";96,96;106,52;1748,11;47809,73;76194,22;83357,70;54729,93;53948,26;64277,81;73349,47;62938,32;518557,03
"260510 Custódia";775,68;858,59;7046,54;162568,26;161236,99;138925,58;90124,14;96744,11;92896,84;110530,92;84254,78;945962,43
"260515 Dormentes";-;72,72;76,05;73965,29;67430,62;68329,65;55363,81;49527,15;55173,53;52790,94;42497,35;465227,11
"260520 Escada";193,92;3387,30;10878,08;343843,20;312805,12;301382,12;282925,82;255537,81;246708,94;276833,62;281061,07;2315557,00
"260530 Exu";-;72,72;48,48;82206,65;83803,96;68893,27;65776,27;64183,47;71247,33;47366,75;37570,76;521169,66
"260540 Feira Nova";145,44;402,99;762,18;103357,51;98429,11;95119,68;64287,04;65591,40;67418,43;75802,62;76299,22;647615,62
"260545 Fernando de Noronha";-;24,24;144,00;58719,60;54602,18;57441,23;11036,49;4401,45;4497,73;13494,48;17266,12;221627,52
"260550 Ferreiros";74,31;114,75;344,84;40508,52;43983,29;45293,33;38426,39;37332,56;36705,60;35017,37;31390,11;309191,07
"260560 Flores";96,96;121,20;3392,94;64911,61;67275,63;61980,22;32691,40;36610,98;41333,10;69437,57;54997,96;432849,57
"260570 Floresta";96,96;231,83;5850,53;114784,09;114260,46;103221,43;75274,14;78767,88;87624,72;98502,82;92401,66;771016,52
"260580 Frei Miguelinho";145,44;251,04;1015,25;46537,24;78131,33;50547,04;53890,83;50083,66;46326,05;53827,63;53065,74;433821,25
"260590 Gameleira";145,44;2660,03;2324,11;84980,92;77956,84;81258,50;73468,92;67691,51;76391,78;86839,51;98516,29;652233,85
"260600 Garanhuns";436,32;1241,19;21041,59;661645,02;576380,97;577838,23;386758,54;369716,88;410927,81;459583,77;408079,44;3873649,76
"260610 Glória do Goitá";201,92;373,34;1762,78;118464,28;101815,17;97876,59;76755,76;75231,26;86514,31;96734,52;100039,82;755769,75
"260620 Goiana";1115,04;1294,31;7004,46;299309,79;287847,40;296524,89;250454,71;258561,47;250770,15;277074,43;272833,73;2202790,38
"260630 Granito";48,48;-;413,67;8931,29;8220,18;11100,72;6524,24;6433,05;6678,28;9444,55;10812,92;68607,38
"260640 Gravatá";276,48;2107,05;12208,41;372550,66;389202,51;419817,69;303402,40;295805,64;322020,10;323929,98;317125,66;2758446,58
"260650 Iati";153,44;200,04;3374,30;66687,71;64432,92;64518,39;47280,34;47661,00;50585,70;66073,27;56371,27;467338,38
"260660 Ibimirim";-;190,57;670,83;95657,17;86101,16;86610,29;56288,17;53065,66;57411,11;68695,63;70925,58;575616,17
"260670 Ibirajuba";-;24,24;2947,56;17510,34;28679,56;21638,53;23634,56;20812,74;20855,17;25000,71;26036,81;187140,22
"260680 Igarassu";803,28;1314,24;13004,17;508636,98;476916,79;471888,54;389693,98;373570,61;390128,96;427278,47;427121,51;3480357,53
"260690 Iguaracy";266,60;130,76;397,75;57703,52;59928,16;53477,10;45193,14;37785,34;35593,63;43814,58;42260,14;376550,72
"260760 Ilha de Itamaracá";193,92;169,68;1304,03;66689,59;61839,60;73517,58;65960,94;53476,92;61255,66;77633,19;72274,17;534315,28
"260700 Inajá";48,48;254,25;1210,27;45138,68;47570,06;41130,95;36969,38;35245,03;26578,97;32933,51;28983,85;296063,43
"260710 Ingazeira";-;-;347,33;10289,88;8269,33;11528,33;18164,69;5178,82;13143,14;10420,23;19476,39;96818,14
"260720 Ipojuca";439,92;2173,51;6988,73;419259,61;408451,56;374706,46;301648,03;283064,85;310684,92;369182,02;359144,44;2835744,05
"260730 Ipubi";209,72;7,30;1780,15;86642,20;79933,07;80243,53;75796,72;74813,39;83345,06;67642,94;68290,26;618704,34
"260740 Itacuruba";96,96;218,12;773,53;13875,94;12930,64;15639,24;10723,86;18044,63;15629,74;11962,12;13704,17;113598,95
"260750 Itaíba";32,40;150,13;1719,27;116260,33;111278,03;84596,03;67719,82;78509,29;78088,59;82593,82;75144,71;696092,42
"260765 Itambé";48,48;114,24;4755,85;50797,43;76255,20;89025,27;80046,58;63590,96;66680,25;60240,24;51388,62;542943,12
"260770 Itapetim";-;54,48;4401,80;53546,14;57912,82;33402,44;29076,98;29546,08;33341,07;34957,48;42797,15;319036,44
"260775 Itapissuma";387,84;5853,12;10253,28;138187,41;118085,21;120767,00;93728,32;89278,56;87165,10;107663,96;110598,37;881968,17
"260780 Itaquitinga";48,48;200,01;6009,52;83183,79;80472,66;84172,66;60762,70;65753,79;60367,51;70227,34;71222,00;582420,46
"260790 Jaboatão dos Guararapes";9635,19;24744,69;127101,44;4812398,95;4370782,44;4044277,95;2916879,13;2891168,18;3132505,09;3820908,06;4123198,99;30273600,11
"260795 Jaqueira";-;820,25;842,07;35923,97;34066,03;42743,11;33718,62;43123,20;35482,36;45657,60;24630,49;297007,70
"260800 Jataúba";48,48;236,33;729,88;43689,68;60915,21;67771,04;56773,10;50720,55;47817,91;55172,28;53925,63;437800,09
"260805 Jatobá";48,48;6,97;176,92;48089,55;53659,59;38080,45;30003,70;25411,42;29348,12;33412,66;27799,00;286036,86
"260810 João Alfredo";153,44;290,64;25890,87;127578,40;103998,70;93998,36;79634,07;91348,04;79384,83;87157,44;95565,86;785000,65
"260820 Joaquim Nabuco";193,92;3001,04;3108,28;61743,84;45417,72;36750,25;30468,76;26759,23;34094,16;35676,65;36596,08;313809,93
"260825 Jucati";-;152,47;3678,94;36336,35;32756,21;27930,17;37379,86;27184,66;27512,73;22033,37;35054,84;250019,60
"260830 Jupi";339,36;238,92;3694,77;81250,67;66745,52;59236,89;55160,39;43878,40;49722,23;60823,66;69729,05;490819,86
"260840 Jurema";-;48,48;1607,12;43919,56;41714,27;52519,88;40719,15;36911,58;43268,99;50824,88;46998,63;358532,54
"260850 Lagoa de Itaenga";96,96;165,04;1358,78;119518,19;106079,06;100483,64;85020,54;77787,23;82416,15;98095,26;97643,44;768664,29
"260845 Lagoa do Carro";132,00;209,76;3840,62;83452,91;64817,31;80743,69;66825,68;53214,09;55262,68;66685,00;61932,75;537116,49
"260860 Lagoa do Ouro";-;-;871,73;73498,26;48401,83;39107,28;21849,63;20689,04;19976,73;20046,18;17454,56;261895,24
"260870 Lagoa dos Gatos";48,48;806,25;918,47;36220,99;50958,34;52189,04;57112,07;47190,60;45066,19;48255,20;40358,74;379124,37
"260875 Lagoa Grande";48,48;76,09;199,51;73158,48;38798,89;33891,14;19061,44;19954,25;37173,81;24962,97;25583,43;272908,49
"260880 Lajedo";104,96;211,20;10694,68;159916,64;169060,10;148045,10;116482,44;112516,34;122253,65;133720,21;146969,31;1119974,63
"260890 Limoeiro";324,96;1344,91;7207,27;390645,85;349881,35;309199,58;295355,42;261487,35;253104,00;348671,17;337874,42;2555096,28
"260900 Macaparana";96,96;466,07;4700,69;98788,86;97494,46;87897,13;75848,74;63629,81;71008,26;70691,97;71133,39;641756,34
"260910 Machados";8,00;-;525,85;43683,32;53169,89;33058,35;45081,17;36254,53;32915,58;33518,59;36662,38;314877,66
"260915 Manari";51,12;14275,13;1024,98;46484,26;45894,54;39363,92;48358,78;37880,35;36617,40;38446,59;49699,48;358096,55
"260920 Maraial";48,48;398,11;9913,50;35874,74;36825,65;35640,61;32814,64;32626,08;31698,31;32709,76;32058,17;280608,05
"260930 Mirandiba";290,88;120,12;242,40;50764,27;48471,66;31696,66;18068,09;19830,88;22687,81;18090,15;22922,86;233185,78
"261430 Moreilândia";-;-;-;12844,73;14255,56;11241,71;18648,24;8572,70;9382,79;9836,48;10485,76;95267,97
"260940 Moreno";460,56;1267,19;5031,29;326714,43;303467,62;254132,77;218236,41;195178,18;223146,11;268902,57;266352,49;2062889,62
"260950 Nazaré da Mata";242,40;256,07;5199,67;170223,29;161549,23;131916,08;114147,17;114335,87;117004,52;149075,80;139646,23;1103596,33
"260960 Olinda";4733,52;17476,94;68377,39;2628278,37;2372218,51;2279979,58;1867396,09;1807371,78;2008363,98;2176731,87;2185180,92;17416108,95
"260970 Orobó";145,44;148,44;4416,27;74539,20;79592,81;46025,16;29457,62;31823,54;33172,90;37128,39;59909,68;396359,45
"260980 Orocó";48,48;-;226,19;39816,58;35512,68;34690,67;15625,28;17325,82;18718,71;14325,21;17494,51;193784,13
"260990 Ouricuri";48,48;13,94;1342,70;178680,15;172948,52;193447,51;142626,59;143214,72;166183,15;157480,62;179522,75;1335509,13
"261000 Palmares";339,36;6748,87;19198,26;300402,14;342735,01;304537,23;253661,63;286321,20;278859,28;299262,62;255733,42;2347799,02
"261010 Palmeirina";96,96;96,96;1203,04;28435,77;18729,72;20942,73;18467,11;13246,63;9817,87;15382,32;13444,94;139864,05
"261020 Panelas";-;319,68;2711,58;54879,76;72896,70;55014,42;37826,97;34786,38;54732,66;64227,47;76564,69;453960,31
"261030 Paranatama";48,48;77,40;1297,37;47963,43;40820,43;35894,59;36106,45;30352,25;27981,46;36008,12;36870,04;293420,02
"261040 Parnamirim";48,48;339,36;2466,80;78688,29;72556,63;87391,52;43501,27;42283,20;40515,72;38181,23;55336,75;461309,25
"261050 Passira";347,36;8008,68;12331,60;99071,30;99503,37;90142,62;57300,91;73538,47;77671,39;88451,39;72750,03;679117,12
"261060 Paudalho";436,32;5348,46;17929,48;317265,07;289074,36;264298,09;194990,41;183945,72;206176,87;253736,15;244601,33;1977802,26
"261070 Paulista";3780,75;10638,43;323774,55;2101697,68;2100839,01;1904542,90;1421675,24;1379729,75;1373308,43;1832664,39;1735882,67;14188533,80
"261080 Pedra";48,48;488,46;772,25;49852,54;53138,85;51855,17;44194,70;36911,87;37426,16;52502,23;45859,38;373050,09
"261090 Pesqueira";515,88;1426,56;81362,17;331123,34;278024,81;274532,73;224459,03;197113,09;230718,21;232657,17;208055,78;2059988,77
"261100 Petrolândia";97,96;521,78;730,68;176820,24;157717,90;155579,81;122620,03;110043,07;108304,80;131808,51;112583,93;1076828,71
