 Morbidade Hospitalar do SUS - por local de residência - São Paulo
Internações por Município e Ano/mês atendimento
Lista Morb  CID-10: Outras tuberculoses respiratórias, Restante de tuberculose respiratória, Outras neopl malig órg respirat e intratorácicos, Outras doenças do trato respiratório superior, Outras doenças do aparelho respiratório, Outros transt respiratórios orig período perinatal
Período:Jan/2012-Ago/2020
"Município";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"350090 Altair";-;-;-;-;-;1;-;-;-;-;2;1;-;1;1;-;-;1;-;-;-;-;3;1;1;-;-;1;1;-;-;1;2;1;-;-;1;1;1;2;2;1;-;-;1;-;-;1;1;1;-;-;-;3;-;-;-;1;-;1;-;-;1;-;2;-;1;2;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;1;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;52
"350100 Altinópolis";-;-;-;-;-;-;2;-;2;1;2;1;4;1;2;1;1;3;-;1;2;5;-;2;3;1;4;2;2;3;2;-;2;2;2;2;3;1;1;-;3;1;2;2;1;1;-;2;3;4;1;3;4;3;4;2;4;2;3;-;1;4;4;7;3;2;2;1;3;5;-;2;4;4;2;-;-;-;4;2;3;3;1;2;6;2;3;7;4;5;2;9;2;1;4;7;3;2;2;3;2;4;1;1;4;4;3;3;2;-;2;252
"350110 Alto Alegre";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;3;1;-;-;1;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;1;-;-;-;-;-;-;1;-;1;-;1;2;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;2;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3;-;1;-;-;1;-;-;-;1;1;-;-;35
"350115 Alumínio";-;-;-;-;-;-;1;1;1;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;2;-;-;-;-;-;1;-;-;-;2;-;1;1;1;1;2;-;2;2;3;-;1;-;-;-;-;-;-;-;-;3;-;-;-;1;1;1;1;2;-;-;1;-;-;-;1;1;1;-;-;-;-;1;-;-;-;1;-;-;-;3;1;3;-;1;-;-;-;-;1;3;1;-;1;-;-;2;-;-;2;1;4;1;-;-;2;66
"350120 Álvares Florence";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;1;1;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;1;1;-;-;1;-;-;-;-;-;-;-;-;1;2;1;-;-;1;-;-;-;-;-;1;-;1;-;2;1;-;-;2;1;1;-;2;-;-;3;1;-;-;-;3;-;2;-;-;2;1;1;2;1;1;2;-;1;-;51
"350130 Álvares Machado";-;-;-;-;-;-;1;2;1;3;4;-;3;2;1;-;2;4;3;2;3;3;4;3;2;2;3;1;4;2;2;1;1;3;3;1;6;4;-;4;5;-;-;3;3;-;2;1;5;4;3;2;-;1;2;3;-;-;3;1;3;4;2;7;6;2;5;3;2;-;1;4;4;3;6;3;3;3;1;3;1;3;7;1;1;3;3;2;3;5;4;-;1;4;2;3;3;2;-;4;1;2;-;4;1;4;1;4;3;6;2;263
"350140 Álvaro de Carvalho";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;2;-;1;-;-;-;-;-;-;1;1;-;1;-;-;-;-;1;1;-;-;-;-;1;-;-;-;1;2;-;-;1;2;-;1;1;1;1;-;-;-;-;-;-;-;1;-;3;1;1;-;1;1;1;-;1;2;1;-;-;-;-;-;2;1;1;2;4;1;3;2;-;-;-;2;-;-;-;-;-;53
"350150 Alvinlândia";-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;2;-;1;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;1;1;-;-;-;1;-;-;-;1;-;1;3;1;-;-;-;-;-;1;-;-;-;-;2;-;1;1;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;1;-;-;-;-;1;33
"350160 Americana";-;-;1;2;6;9;11;13;20;20;21;38;42;30;24;14;11;14;17;16;17;22;33;36;29;19;20;21;23;12;19;23;18;13;16;18;26;10;17;18;15;7;15;15;7;12;12;13;12;10;10;12;15;12;11;7;10;10;13;10;11;13;14;12;11;10;13;17;9;9;8;15;11;12;23;12;10;8;14;7;14;15;17;18;13;22;21;15;9;13;9;17;5;18;12;14;15;17;12;18;13;15;9;12;14;12;8;11;16;4;3;1597
"350170 Américo Brasiliense";-;1;1;-;1;2;2;-;3;-;4;3;-;-;2;4;-;1;-;-;-;-;-;-;2;-;4;3;5;1;-;1;3;1;3;4;2;1;2;3;1;1;3;2;3;2;1;1;3;3;2;3;2;2;2;-;1;1;4;3;1;2;2;3;2;2;3;1;6;3;1;3;2;1;1;3;2;2;1;2;4;6;7;4;1;2;5;2;4;5;-;7;5;4;1;2;2;5;1;2;1;1;2;4;-;2;2;5;5;5;-;238
"350180 Américo de Campos";-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;1;1;-;1;-;-;1;1;2;-;-;-;-;2;-;-;1;-;-;-;1;-;-;1;4;-;-;1;-;-;1;1;-;1;1;1;-;-;-;1;2;-;-;-;1;-;-;1;-;-;1;1;-;-;-;-;1;1;-;1;-;1;-;1;1;1;1;2;1;-;-;-;1;-;-;1;2;1;1;-;-;-;1;1;2;-;-;-;1;-;-;1;2;2;1;61
"350190 Amparo";-;-;-;-;-;-;3;4;4;4;5;3;1;8;4;5;5;2;7;7;3;7;4;10;3;10;4;5;3;5;5;3;4;8;-;5;5;5;2;8;5;4;3;5;6;9;1;5;5;7;10;8;5;6;5;3;2;6;6;6;6;5;9;4;6;3;7;10;8;12;4;8;6;6;5;7;2;4;5;5;1;8;5;4;4;3;9;1;4;5;4;2;5;2;4;6;4;3;4;6;3;7;7;7;5;7;5;7;3;2;3;530
"350200 Analândia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;1;1;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;2;-;-;1;-;-;2;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;20
"350210 Andradina";-;-;-;-;-;3;3;10;7;3;6;7;10;7;9;10;12;10;5;8;9;6;10;5;11;8;5;7;11;8;8;7;2;4;12;11;10;7;7;9;6;5;3;4;8;10;8;7;4;6;2;9;9;4;6;4;3;14;11;8;8;5;6;7;12;-;3;5;9;6;3;4;3;9;8;2;8;5;4;9;5;6;10;11;9;12;10;7;8;7;9;8;7;4;8;9;7;6;3;3;4;2;4;7;4;7;2;4;7;13;1;718
"350220 Angatuba";-;-;-;-;-;-;-;1;-;3;2;6;3;3;2;7;4;2;3;3;2;7;3;5;3;4;3;1;4;5;-;1;2;-;2;6;3;2;2;2;1;1;1;1;-;2;3;1;2;3;-;4;3;2;3;2;1;3;3;2;6;1;2;3;5;2;2;2;2;1;1;3;3;1;1;4;5;2;-;1;2;-;2;1;-;-;1;1;3;2;2;1;1;1;1;1;5;3;1;1;1;1;3;2;1;3;3;4;5;1;-;234
"350230 Anhembi";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2;-;3;-;1;1;2;2;2;2;2;1;1;-;-;2;1;1;1;1;2;1;2;1;-;-;-;-;-;1;2;-;-;-;-;-;2;-;-;-;-;1;2;3;3;5;1;3;-;3;2;2;1;-;1;6;-;1;1;2;1;-;1;-;1;1;1;-;3;1;2;2;1;1;5;1;3;4;2;2;1;2;1;-;1;-;2;1;-;1;3;-;1;-;-;120
"350240 Anhumas";-;-;-;-;-;-;-;3;-;-;-;-;1;1;1;-;-;-;-;1;-;-;2;-;-;1;-;-;-;-;-;-;-;1;-;-;2;-;1;-;-;-;-;-;-;2;-;-;1;-;1;-;1;1;-;-;-;1;4;2;-;2;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;1;-;-;1;-;2;-;-;-;-;-;-;-;-;1;-;-;1;-;1;1;-;-;-;-;-;-;-;1;-;-;-;1;42
"350250 Aparecida";-;-;-;-;-;-;1;6;2;2;4;2;1;1;4;-;2;1;1;1;4;2;1;2;4;10;4;2;4;5;2;4;3;6;7;5;8;4;3;3;3;3;4;7;2;2;2;-;-;2;5;3;1;1;4;4;2;1;6;3;7;6;-;5;10;3;4;3;1;1;5;4;3;2;5;3;2;1;2;3;-;1;3;1;1;4;8;4;1;3;2;4;7;5;3;4;7;3;3;4;5;2;6;5;-;5;2;3;4;3;1;340
"350260 Aparecida d'Oeste";-;-;-;-;-;-;-;-;-;2;1;1;1;-;-;1;-;-;-;1;-;1;-;3;-;-;2;2;1;-;-;-;2;3;-;-;1;-;1;-;-;-;1;-;1;-;1;1;1;-;-;1;-;2;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;1;1;-;1;-;-;-;-;-;-;-;1;-;1;-;-;2;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;1;-;-;-;48
"350270 Apiaí";-;-;-;-;-;-;-;2;1;1;1;-;4;4;4;2;2;3;-;1;1;2;1;2;2;1;4;-;2;1;-;-;3;1;3;1;-;4;-;1;1;2;3;-;1;2;-;-;3;1;1;3;4;1;-;5;1;1;-;3;1;2;1;2;-;6;-;1;1;-;1;2;4;1;3;1;2;2;4;-;3;2;1;2;1;4;2;6;-;5;1;2;4;1;5;4;1;1;1;3;1;1;-;-;1;1;-;4;4;2;1;184
"350275 Araçariguama";-;-;1;-;-;-;-;1;-;1;1;-;1;1;1;1;-;-;1;2;1;2;1;4;1;-;-;1;1;1;1;1;1;1;1;2;-;2;-;-;-;4;3;1;-;-;1;-;-;1;2;-;-;-;2;4;2;1;6;-;-;2;1;2;1;2;3;-;-;1;1;-;2;-;-;-;-;1;2;-;-;-;1;-;-;-;1;2;3;3;5;4;-;1;2;2;1;-;3;2;1;1;2;-;2;1;2;1;3;4;1;125
"350280 Araçatuba";-;-;-;-;-;4;10;16;20;22;23;19;17;20;18;18;25;18;14;15;10;20;18;20;12;18;20;16;13;16;18;16;25;17;20;22;26;21;22;18;21;13;23;16;16;26;18;23;28;13;18;17;22;13;22;13;16;18;21;14;17;15;8;16;8;21;20;16;19;20;12;26;7;20;28;20;31;12;12;23;20;20;24;18;23;21;21;16;18;18;17;16;15;20;13;22;17;21;21;16;19;22;15;16;22;16;12;20;11;14;8;1901
"350290 Araçoiaba da Serra";-;-;-;-;-;-;2;4;2;1;-;3;-;1;-;2;1;3;2;-;-;-;3;-;1;2;1;2;-;2;-;2;-;-;3;1;1;1;-;-;3;1;1;-;2;-;-;-;1;-;1;-;-;2;2;2;1;1;2;-;2;-;6;-;2;1;-;1;1;2;-;1;2;-;-;-;1;-;-;1;-;2;-;3;3;2;3;1;1;2;-;1;1;1;-;-;-;4;3;1;2;3;1;2;1;4;9;8;1;7;3;148
"350300 Aramina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;1;1;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;2;-;-;3;1;-;-;1;1;1;-;-;2;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;2;1;1;-;-;-;-;1;34
"350310 Arandu";-;-;-;-;-;-;-;1;-;-;2;-;-;-;1;1;-;-;-;-;1;-;-;1;1;-;1;-;-;1;-;-;-;-;-;1;-;1;1;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;1;1;-;-;-;-;-;1;2;2;3;3;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;2;2;1;-;1;1;-;2;-;-;49
"350315 Arapeí";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;3;2;-;-;-;-;1;-;1;1;-;-;-;-;14
"350320 Araraquara";-;3;3;5;7;8;8;15;7;11;9;19;11;14;9;12;9;11;6;6;9;12;13;18;8;13;7;10;17;9;9;17;6;2;16;18;20;14;6;11;16;12;12;11;17;9;7;17;12;17;17;19;15;9;13;9;9;10;16;13;16;10;6;10;6;9;14;11;11;16;3;12;7;13;18;10;10;10;11;9;16;15;18;16;20;10;17;22;14;20;12;15;11;12;6;11;15;15;14;16;15;14;19;14;9;17;20;20;15;22;17;1357
"350330 Araras";-;-;-;-;-;-;2;10;7;5;9;10;12;6;5;10;9;10;6;8;4;8;12;17;10;9;6;11;9;6;9;7;4;6;5;10;10;6;16;13;5;5;8;16;12;9;10;7;9;11;8;10;7;9;16;16;6;5;3;9;11;4;14;5;4;7;6;8;5;10;9;8;12;8;7;7;11;4;7;6;7;9;11;6;2;9;7;7;4;8;5;7;6;18;10;9;8;13;5;8;12;4;12;14;7;15;13;13;7;10;6;893
"350335 Arco-Íris";-;-;-;-;-;-;-;-;-;1;1;-;-;-;2;-;1;-;-;-;-;-;-;-;-;1;1;2;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;2;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;1;30
"350340 Arealva";-;-;-;-;-;-;-;1;2;1;-;-;-;3;1;-;-;1;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;1;1;-;2;-;1;-;-;1;1;-;1;1;-;1;-;-;1;1;-;1;-;2;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2;3;-;-;2;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;2;-;-;3;-;46
"350350 Areias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;1;1;-;1;1;-;-;-;1;2;-;1;-;-;-;-;-;-;1;-;-;-;-;21
"350360 Areiópolis";-;-;-;-;-;-;-;2;1;-;1;2;1;1;2;-;1;1;1;-;1;-;-;1;-;1;2;-;-;-;1;4;-;1;-;2;1;3;-;2;-;1;2;-;-;1;1;1;1;-;-;1;-;-;1;3;1;-;-;1;2;-;1;1;2;1;-;2;3;2;1;3;-;2;-;-;-;-;2;-;3;1;-;1;1;1;3;1;3;2;1;2;2;4;1;1;-;-;-;3;-;1;1;-;1;-;2;1;1;1;-;106
"350370 Ariranha";-;-;-;-;-;-;-;1;1;-;-;2;1;3;1;-;1;-;1;-;1;-;2;2;-;-;1;-;1;-;-;-;2;1;-;2;2;1;-;-;-;1;1;1;-;-;1;-;1;3;-;1;-;1;2;-;-;-;2;-;-;1;-;1;-;1;2;-;-;1;2;3;-;-;1;-;2;-;-;1;2;1;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;4;-;4;-;2;-;-;1;1;2;2;-;-;1;79
"350380 Artur Nogueira";-;-;-;-;1;-;2;1;4;2;5;2;6;6;4;1;3;4;3;6;10;3;7;3;4;8;3;1;4;1;4;2;-;-;3;5;1;1;3;4;2;2;1;1;3;1;4;4;-;3;1;1;-;3;-;2;1;4;4;2;3;4;1;3;4;8;2;4;2;3;4;5;7;2;1;4;5;1;4;1;3;-;7;5;4;3;3;6;7;6;3;1;3;2;3;3;6;6;1;2;5;3;-;1;1;6;2;5;4;2;1;328
"350390 Arujá";-;-;-;-;-;2;1;4;4;9;3;5;5;5;3;3;3;2;-;5;6;3;3;10;5;3;6;9;4;-;2;3;4;5;2;1;4;2;4;6;7;3;7;5;4;5;1;6;4;4;7;6;7;9;2;5;3;4;10;3;2;-;7;3;1;2;3;3;6;3;2;3;3;4;7;8;12;3;9;5;5;5;7;5;6;5;7;5;4;5;6;3;3;3;3;10;4;10;6;10;8;8;8;3;4;5;4;5;10;4;1;496
"350395 Aspásia";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;14
"350400 Assis";-;-;-;-;-;-;-;7;5;7;6;2;10;11;10;6;6;3;5;9;6;8;7;12;10;12;4;7;8;10;6;5;6;4;6;7;11;5;8;11;9;12;3;6;4;9;10;6;12;12;4;9;9;9;7;4;5;10;13;13;4;8;13;13;4;13;8;12;7;10;8;11;9;10;8;7;5;7;4;9;5;13;18;11;15;9;10;9;11;8;10;12;4;6;10;6;7;6;9;2;5;5;9;5;7;9;7;6;3;10;7;830
"350410 Atibaia";-;-;-;-;-;1;3;3;9;7;7;14;10;10;7;7;6;8;13;12;14;8;8;7;12;16;6;7;6;11;11;6;6;7;8;7;8;4;11;10;7;10;5;9;9;10;7;9;8;4;8;9;8;8;4;6;3;12;12;11;7;9;6;6;5;10;8;5;12;10;6;8;4;13;10;10;12;11;12;8;8;14;10;8;12;14;11;7;11;4;7;6;4;7;11;13;8;16;11;14;12;9;10;11;12;6;12;11;10;9;6;925
"350420 Auriflama";-;-;-;-;-;-;1;1;3;2;-;1;6;-;2;2;-;1;1;-;2;-;1;1;1;-;1;1;1;-;-;1;1;-;1;1;2;2;3;-;2;2;2;1;2;2;3;1;1;1;1;-;1;2;-;2;1;3;-;1;2;-;1;-;1;-;2;1;2;-;-;5;3;2;1;2;1;-;1;-;1;4;-;-;-;4;2;1;2;3;2;-;1;-;1;-;2;2;2;-;-;2;1;1;1;2;2;1;-;1;1;130
"350430 Avaí";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;2;-;-;-;-;1;1;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;2;-;1;-;-;1;-;-;-;1;-;-;-;-;2;-;-;1;-;-;1;-;-;1;1;2;-;-;-;-;-;-;-;-;2;-;2;2;1;-;33
