 Produção Ambulatorial do SUS - Brasil - por local de residência
Valor apresentado por Município e Ano/mês atendimento
Período:2018-2019
"Município";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"Total"
"150808 Tucumã";-;-;-;92691,32;78167,97;81676,65;86327,88;95770,93;91410,70;93693,26;98026,80;107772,68;256898,88;110894,81;98752,70;104322,10;96387,61;78200,62;105650,84;51131,85;108287,71;108318,47;110715,57;108790,77;119630,84;109207,76;120469,21;2513197,93
"150810 Tucuruí";-;91,90;334,80;345847,53;330937,86;413758,17;399995,82;410650,38;365997,25;332733,13;478501,53;816053,20;567262,02;452510,56;428755,16;480622,61;545271,62;565543,31;657375,46;516398,85;566206,06;508987,82;524042,83;503557,97;615695,27;602515,31;599679,54;12029325,96
"150812 Ulianópolis";-;119,82;141,97;96819,77;95707,30;101075,66;97528,33;102480,62;118608,54;106081,07;102414,33;108783,58;110290,73;109517,57;121012,13;102554,12;131831,41;130653,48;141393,19;133942,45;130251,12;118486,25;126072,65;114658,73;120470,91;118052,00;111152,59;2750100,32
"150815 Uruará";-;52,30;516,62;86841,92;115819,22;173356,50;123766,17;108907,15;185080,18;50676,23;175104,61;138548,02;170009,07;115734,26;129643,43;96394,09;166427,15;75427,54;169057,64;169138,91;179792,71;154789,50;222604,65;192685,84;194116,22;191130,34;194154,31;3579774,58
"150820 Vigia";-;404,86;234,69;136824,62;108137,26;126891,61;128298,49;133283,04;134578,99;134025,29;147731,66;137440,42;130155,71;138461,13;125665,60;141514,61;145590,20;147370,80;154812,44;155126,02;136766,33;142839,09;106280,90;203831,60;134908,11;145353,18;145937,49;3342464,14
"150830 Viseu";-;45,00;303,06;86650,41;90146,33;96110,80;105466,31;155353,81;146321,76;133012,26;113032,09;134290,36;122251,13;108296,68;121291,91;95612,88;109028,01;111845,71;101428,85;86677,13;91712,96;89623,68;99831,36;93711,63;90381,90;92021,38;92546,29;2566993,69
"150835 Vitória do Xingu";-;5286,26;6856,44;26139,69;22496,72;27041,98;33487,61;32135,87;31938,46;32045,72;46750,49;36917,63;42750,11;39981,08;37427,84;41991,55;40368,03;28834,72;34590,71;25227,29;26305,61;57092,09;44559,81;42061,40;58948,77;36080,52;37279,41;894595,81
"150840 Xinguara";-;-;-;98028,41;100616,96;117852,19;171197,19;136721,08;133292,80;126835,71;149236,65;151300,33;270237,86;162468,92;122375,56;154402,74;161225,84;238198,89;151804,42;182564,74;160103,99;99743,51;159283,55;187345,39;167762,07;175648,57;171199,54;3749446,91
"150000 Município ignorado - PA";-;-;-;97,44;-;37,95;-;-;-;-;-;-;-;-;24,20;-;-;-;27,50;-;-;-;-;-;23,16;32,40;268,75;511,40
"160010 Amapá";-;317,97;76,00;1941,42;2925,35;6056,33;7221,46;4683,75;1525,99;2964,41;5841,81;3822,59;7630,71;4372,51;4464,01;7298,82;12233,74;11249,16;7374,76;4109,31;2200,24;3177,29;6027,82;10388,48;6479,61;6601,67;5448,20;136433,41
"160020 Calçoene";1884,15;1402,50;-;2805,37;5390,91;6980,50;3769,84;9610,68;7511,45;8081,36;9123,11;16171,46;10310,44;6357,59;1564,24;835,31;1990,93;289,11;757,56;1464,12;12061,86;5923,84;3167,82;1118,06;4083,48;9922,41;1862,54;134440,64
"160021 Cutias";2937,00;874,50;-;78,74;1440,15;6237,72;3725,23;2998,42;7428,27;5602,26;13410,06;8380,50;7144,34;5191,37;5651,56;4620,39;7604,29;5877,81;3855,61;2976,40;4600,81;4762,88;14553,43;8663,54;4687,72;3515,60;3424,43;140243,03
"160023 Ferreira Gomes";6939,34;5841,00;536,25;1586,64;3278,43;6103,65;2406,49;2657,68;2148,87;9521,74;5887,07;5510,82;13636,63;7491,56;3963,43;5102,17;10067,54;2999,40;2943,05;343,21;4213,35;10271,89;2382,98;11988,37;8241,01;8820,66;5110,03;149993,26
"160025 Itaubal";24,75;528,00;684,75;492,32;103,75;2816,97;5503,46;134,36;9277,92;4850,85;2945,84;9771,65;2572,60;563,01;1799,67;507,05;1696,33;134,36;3611,29;4134,82;1419,83;11436,77;2618,74;168,34;1982,32;350,80;1003,94;71134,49
"160027 Laranjal do Jari";13936,25;2748,73;4544,98;28174,56;24045,47;41195,62;44644,46;34668,80;38604,35;31181,27;43505,81;32980,95;34651,31;60412,31;42276,33;36180,50;48153,37;36723,49;40114,05;38421,13;43182,97;38220,70;53164,66;43882,32;40193,13;41842,44;44973,91;982623,87
"160030 Macapá";572468,35;701692,45;521501,43;1497465,14;1070819,43;1873773,51;1743862,14;1476190,27;1655374,52;1751836,25;1943336,42;1814610,59;2097435,45;2078603,22;1919998,05;2040098,26;1912538,88;1778906,32;1959721,00;1838045,92;1587721,80;1653598,99;1970192,42;2012526,49;1845286,05;1888419,37;1477939,82;44683962,54
"160040 Mazagão";3090,65;8762,65;7050,62;17822,30;14503,56;28496,74;11959,28;8313,73;15795,36;19020,85;41702,74;15505,82;21515,11;18942,44;11919,06;17346,01;22721,13;22180,26;34720,22;28922,82;26214,21;42713,50;24440,83;32969,29;13644,94;25746,73;32897,35;568918,20
"160050 Oiapoque";70,05;4071,47;-;6618,63;4185,99;13100,24;6331,69;8623,66;9136,42;12784,12;18255,02;14851,38;17711,37;14257,44;12550,34;10902,57;5271,92;7739,85;5669,93;6387,18;6509,82;6946,52;6373,50;5871,83;5071,26;5640,85;11558,35;226491,40
"160015 Pedra Branca do Amapari";792,00;-;5270,47;2822,02;6820,48;4632,83;12109,20;5622,14;3153,53;3494,77;3358,29;3546,85;6559,51;10968,12;6824,20;5525,02;1660,54;2220,65;4217,28;407,45;3068,87;2998,96;351,16;1587,19;13672,38;7090,52;5867,05;124641,48
"160053 Porto Grande";2071,25;3462,50;4009,50;22597,40;13784,58;27459,58;26125,61;28216,99;21537,25;28056,25;31120,01;24862,48;15880,67;12937,46;17131,84;27169,73;12167,68;10990,24;16726,91;11187,78;12790,33;14630,30;16436,51;27020,71;11898,25;14718,39;8741,32;463731,52
"160055 Pracuúba";2112,00;3514,50;-;1779,97;287,90;6522,82;373,70;228,63;3151,57;103,47;-;77,55;111,81;80,40;3579,30;282,50;105,60;86,50;96,87;105,15;6836,09;92,37;6520,05;3699,00;3402,00;621,44;652,45;44423,64
"160060 Santana";120119,45;153633,65;96974,33;263205,24;221230,10;422028,66;307937,51;282131,44;293454,14;350321,68;358406,42;357747,82;439570,66;431266,44;353930,96;387607,25;345332,98;310604,48;418556,94;404824,92;403202,44;421481,23;393961,21;408684,50;355916,93;361580,58;327135,81;8990847,77
"160005 Serra do Navio";-;5164,50;-;742,53;2412,46;2913,62;4367,45;2830,00;4199,01;2994,90;3149,52;3163,02;3738,24;8395,45;3009,61;4366,26;4774,72;3514,50;2631,45;31,50;545,79;748,42;92,61;1561,51;684,76;10719,79;1516,43;78268,05
"160070 Tartarugalzinho";6249,00;1254,00;1611,60;363,31;1491,40;5735,32;4951,39;1211,09;2886,30;6822,00;6245,46;907,69;4367,81;1548,62;1023,84;15405,90;8777,24;4916,11;2977,96;10405,85;2613,53;2590,43;11132,23;6208,95;6615,55;4020,04;10285,90;132618,52
"160080 Vitória do Jari";1171,50;1315,54;3984,75;1331,52;654,99;3640,61;8015,22;4033,99;10200,29;4612,11;5804,49;1233,56;3998,55;7965,08;2709,19;9876,85;4756,87;5105,36;6527,36;6864,80;6437,12;4917,31;7895,52;8115,95;11186,09;12173,05;9349,10;153876,77
"160000 Município ignorado - AP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11,00;-;-;-;-;-;23,16;-;-;-;-;-;34,16
"170025 Abreulândia";-;-;144,00;4338,41;4891,29;4319,54;3469,57;4568,03;6788,39;8638,27;9688,74;2943,10;8450,47;5356,97;4433,15;5516,15;3666,38;3766,26;3842,10;4895,93;9336,48;3673,93;7593,05;6381,12;5934,54;5196,03;7570,96;135402,86
"170030 Aguiarnópolis";-;29,47;-;19290,41;19975,77;20659,58;21604,62;19594,63;20886,46;23694,12;17184,94;17280,62;28057,23;19138,90;15388,22;16516,81;25294,78;20195,98;16319,76;23568,35;15342,37;24751,15;22910,62;18236,73;31719,29;27060,84;27449,46;512151,11
"170035 Aliança do Tocantins";-;-;244,27;20536,68;15986,04;22878,31;22151,33;16885,66;17448,16;13683,16;17562,53;11188,40;10156,54;7769,72;9845,06;5277,40;6529,82;7703,98;16241,06;14879,17;11168,02;17404,92;16141,81;8009,55;10897,57;17181,12;8114,47;325884,75
"170040 Almas";-;-;1344,00;10000,68;9985,81;10185,92;8833,06;10114,36;14362,94;9396,28;11288,81;8712,83;10098,97;10420,54;10786,59;5539,95;13196,07;13640,89;11126,12;13359,64;11385,38;11436,03;11307,77;15424,49;8661,68;11425,13;15886,18;267920,12
"170070 Alvorada";-;-;135,00;29785,10;28656,14;30281,35;28556,54;30510,51;34549,69;36765,59;32537,88;34265,71;45309,18;32511,99;29211,89;28382,74;28254,78;45207,39;34218,78;36616,90;42540,07;41994,54;34960,70;38526,30;48094,89;42304,30;43472,51;857650,47
"170100 Ananás";-;270,00;45,00;21003,75;22366,48;23785,87;24734,29;24094,26;22773,52;19682,70;20476,74;26567,37;20734,82;21705,27;30305,01;30504,05;31894,11;28526,26;22490,54;24223,12;21514,75;29255,65;34462,02;28666,34;34513,77;35920,45;38414,32;638930,46
"170105 Angico";-;-;-;17145,70;7436,59;8183,48;4644,63;4229,67;9074,95;4121,63;4837,56;5192,17;5985,97;3561,57;13487,61;8792,74;5131,48;7419,37;4325,08;9016,98;5137,93;5846,56;7046,81;8631,63;6838,88;8923,06;3844,36;168856,41
"170110 Aparecida do Rio Negro";-;483,16;207,00;14304,20;12177,17;15639,31;14196,15;17299,96;16360,69;13326,73;24209,41;11779,73;12833,46;15749,95;14045,92;12918,17;16728,53;15528,72;12454,64;12637,87;20910,57;19046,39;17435,01;19738,16;17856,39;15154,82;11045,80;374067,91
"170130 Aragominas";-;45,00;321,00;10366,44;6502,21;8899,91;11114,82;10552,04;11270,84;10240,82;8871,58;13206,65;9109,39;8390,08;9129,31;14396,73;9700,62;16902,63;17576,29;17838,65;25209,57;12830,48;13206,54;23371,19;23361,18;21965,27;14854,08;329233,32
"170190 Araguacema";-;-;-;7218,45;8868,17;6618,71;4883,19;4318,70;5846,30;5156,87;7839,55;9684,22;10241,86;14175,95;9522,71;9428,55;12928,64;10463,74;10841,96;10290,80;9778,78;10320,68;11144,06;10195,31;13613,55;16467,16;14945,21;234793,12
"170200 Araguaçu";4,67;-;-;14487,93;13990,11;13519,88;14112,07;14143,12;15886,02;16414,22;22042,35;13534,02;15593,77;15920,21;12117,04;11796,72;10418,19;12834,23;17565,48;18105,98;14017,77;14573,85;21021,29;25601,46;17993,49;20233,57;19253,55;385180,99
"170210 Araguaína";-;2475,00;8518,16;792172,22;794417,53;874319,67;893485,89;958418,33;900331,31;865161,82;954131,93;1019445,31;1033666,92;958051,72;946875,95;941249,19;1049978,34;1080136,71;1019566,37;1321612,38;1066591,54;1218445,94;1189401,41;1238612,96;1286085,57;1257483,18;1149629,05;24820264,40
"170215 Araguanã";-;225,00;96,00;11304,77;10745,55;20642,26;16568,46;11437,94;10525,68;11588,77;15869,03;19082,41;17551,93;18074,24;16447,93;17356,75;13343,67;17419,64;23630,63;21386,86;18398,03;22808,94;18738,20;23506,61;28809,25;22277,64;27733,91;435570,10
"170220 Araguatins";-;7,30;181,30;38692,54;42988,97;57485,98;48165,78;47005,84;40910,30;58032,16;55376,07;56341,56;47780,87;49337,76;53693,85;56831,71;52029,03;52097,89;61872,86;67839,17;65679,78;74922,79;90358,82;104446,68;93804,42;77875,05;50127,51;1443885,99
"170230 Arapoema";96,80;135,00;444,00;11759,80;11005,28;18913,16;19715,28;22312,84;26471,62;28787,92;27224,07;29957,50;32181,97;21226,10;21006,98;13263,76;15482,03;15973,40;14035,78;18658,12;24853,38;23042,93;24073,60;30283,08;28221,95;21076,11;23526,69;523729,15
"170240 Arraias";-;-;135,00;7913,39;10313,21;16157,96;9972,97;5229,91;8393,97;6944,59;5607,55;6825,92;11149,15;8105,14;10769,19;53795,66;32556,38;10953,16;16859,93;20257,10;25741,39;17351,18;21994,48;14013,75;15654,66;17741,17;12715,77;367152,58
"170255 Augustinópolis";31,18;44,01;177,74;65990,08;63770,86;83007,54;70319,75;53913,39;71090,63;58650,97;73493,37;61849,94;62927,80;47952,79;53959,05;52409,96;84126,70;41818,20;46399,77;77398,98;54559,98;54338,11;56302,86;78907,33;83660,49;86460,54;78918,03;1562480,05
"170270 Aurora do Tocantins";-;-;72,00;835,35;843,63;2261,16;717,78;2024,12;1571,25;1772,43;2859,88;2610,65;1002,13;2364,21;1092,96;3242,27;1297,05;1412,16;2304,39;2671,58;7526,59;7102,56;7327,32;2799,92;1261,99;1469,86;463,41;58906,65
"170290 Axixá do Tocantins";24,20;29,34;75,97;19270,81;17407,65;20591,86;28516,61;25912,37;21674,26;26349,50;33420,98;31642,11;32482,51;29435,40;30189,35;27437,30;28861,61;28233,50;32931,48;33585,10;37978,68;40739,17;50581,99;32205,25;33392,85;32761,28;31202,06;726933,19
"170300 Babaçulândia";-;495,00;120,00;15320,08;15518,42;16459,68;14747,91;16834,67;23608,79;21228,48;21451,87;27220,42;24948,39;23791,97;14307,05;21129,08;20419,28;24647,88;27980,48;26714,33;37213,86;40658,06;25660,21;29185,63;42390,66;26326,63;19389,46;577768,29
"170305 Bandeirantes do Tocantins";-;-;378,00;6853,02;8881,04;13687,22;15671,62;6954,80;9042,17;8556,64;9677,98;10108,11;7864,90;12458,50;14106,53;8053,29;11280,57;10110,54;9069,19;10155,32;5418,55;6264,35;6961,57;8310,79;7038,14;7538,62;5773,31;220214,77
"170307 Barra do Ouro";-;45,00;72,00;6529,28;3253,50;1706,76;4241,00;7303,22;11424,85;8115,80;7099,72;7035,35;9016,47;6382,82;7035,41;6114,38;7003,72;3295,81;2330,23;2469,62;2559,46;1927,08;1767,79;2597,13;2696,88;3564,45;4100,98;119688,71
"170310 Barrolândia";-;-;186,30;23421,08;33083,78;40325,65;32186,60;38964,90;44749,53;12631,21;14873,91;35156,23;41757,76;39689,64;40510,04;32702,71;29729,44;40764,08;49365,57;41757,25;45200,50;34270,30;51538,56;42272,84;27767,03;22378,05;33282,93;848565,89
"170320 Bernardo Sayão";-;90,00;24,00;3866,39;3114,95;3320,01;4825,43;10272,35;5742,25;5497,02;18133,75;15590,63;9119,94;7528,15;5275,13;8686,57;7163,48;4159,36;20682,05;10904,32;11229,30;9522,97;9563,84;14931,60;9137,74;8505,61;8576,56;215463,40
"170330 Bom Jesus do Tocantins";-;-;24,20;9522,52;17243,40;6245,17;5671,36;9276,57;5285,08;7112,41;6481,75;5454,59;9966,61;6608,32;4681,25;11210,02;11193,59;3929,72;7911,01;4166,38;4292,17;4320,22;10159,03;5134,36;5299,55;5829,17;6083,38;173101,83
"170360 Brasilândia do Tocantins";-;-;45,00;4013,12;5812,88;11043,91;6577,30;7599,25;8371,67;7269,88;9606,60;8211,62;6988,24;8227,40;4475,22;4846,21;5076,62;5452,91;5487,84;6901,48;4378,52;5094,54;6173,41;6058,05;5222,32;4731,80;5401,86;153067,65
"170370 Brejinho de Nazaré";-;-;-;19421,43;18870,65;20300,60;21516,68;16932,22;19615,59;16953,24;20890,17;19535,85;18869,38;16214,93;15525,61;17572,38;22169,55;25862,35;27303,26;28982,15;19880,28;23533,54;27670,00;22598,83;21004,25;20621,36;19363,45;501207,75
"170380 Buriti do Tocantins";-;180,00;154,23;30464,90;28734,83;34384,91;20680,61;21950,47;24071,06;21429,84;46522,66;23158,03;25141,77;20728,97;20478,25;21279,24;23826,63;22309,96;17656,02;24955,71;20080,73;25554,60;22066,08;30279,73;27948,20;27610,91;25943,21;607591,55
"170382 Cachoeirinha";-;-;48,00;6895,77;10814,64;11153,46;7764,50;8952,43;9040,67;9258,50;11226,99;11579,00;10593,59;14627,43;9639,17;17469,49;16695,53;9898,62;8785,47;11157,33;5416,20;6828,54;7606,85;9254,12;13332,78;6829,85;6779,02;241647,95
"170384 Campos Lindos";-;45,00;-;1872,76;2067,00;2457,08;2672,61;7638,01;6438,14;1152,06;2286,95;2682,11;2922,19;2643,07;2533,19;4163,29;2536,77;4458,87;2956,95;7679,08;1844,54;8822,69;2154,64;4224,24;2271,96;2647,56;1523,91;82694,67
"170386 Cariri do Tocantins";-;-;392,00;13367,84;10259,23;8622,30;10303,03;12690,77;10105,00;9190,53;8925,39;10321,25;9957,35;9005,50;14731,11;11934,66;11375,78;12284,06;16426,13;9770,60;10514,77;9664,63;12155,13;13104,14;13166,46;14365,14;9962,37;272595,17
"170388 Carmolândia";-;-;-;10616,58;4673,15;13545,07;11659,24;8152,80;3862,62;3921,88;5466,62;11879,54;10524,15;9071,05;7637,27;14175,11;15385,82;15490,28;10129,36;16823,67;13805,02;19866,50;13324,06;15384,08;17918,83;14334,93;13543,05;281190,68
"170389 Carrasco Bonito";-;-;-;8629,81;7808,59;8964,96;9646,92;11822,77;11340,07;6759,48;3414,75;5045,28;11862,21;4535,63;8219,52;8823,79;14965,03;6142,29;3044,88;6823,53;7073,12;6963,23;14674,55;8411,60;10720,86;10373,19;10012,04;206078,10
"170390 Caseara";-;-;190,65;1804,07;1568,38;5240,59;4988,56;9023,46;4765,06;7026,49;9902,45;10479,52;7610,37;5803,33;3813,06;5946,10;6991,24;10184,70;5843,44;5486,30;3671,19;5393,92;4468,01;5992,49;6385,35;4432,86;4471,36;141482,95
"170410 Centenário";-;-;-;1168,70;1465,87;207,84;197,59;157,91;113,00;1455,44;1759,70;61,00;1287,18;661,27;702,97;3949,19;677,97;850,42;1210,72;1148,61;700,19;2797,13;1080,80;7218,71;1772,10;1931,89;794,67;33370,87
"170510 Chapada da Natividade";-;300,00;573,00;8001,04;3610,01;1734,54;1665,26;1780,66;1376,38;7472,52;3513,11;4080,94;8184,41;6354,79;999,53;2146,51;4832,74;9267,46;2636,87;9034,36;3999,66;3307,63;4609,85;9878,17;3952,94;6695,81;1700,66;111708,85
"170460 Chapada de Areia";-;-;-;5088,42;6302,69;4414,99;7712,91;5709,20;1121,73;5124,19;6624,30;5812,76;7480,51;8421,05;7331,12;5464,98;2552,40;1600,45;2902,65;2739,30;2372,91;6414,06;2364,86;7645,11;1293,88;2373,34;2361,67;111229,48
"170550 Colinas do Tocantins";-;360,00;911,00;99390,37;87911,54;120183,26;104521,43;95559,34;91246,55;112571,74;101733,88;120087,98;108338,83;105269,54;99387,26;110136,44;94215,71;96406,77;99100,59;105009,89;118167,28;108147,04;131830,85;96326,84;132020,23;82254,98;96862,16;2517951,50
"171670 Colméia";-;-;366,38;22648,63;25413,21;24175,29;31422,83;30059,10;24030,06;37936,32;35022,85;24050,11;30478,10;33171,86;38055,98;38475,79;61842,23;44495,10;36604,20;40156,31;26347,60;29935,62;27333,54;29833,75;36883,75;39345,56;41427,37;809511,54
"170555 Combinado";-;-;-;1878,49;3530,70;2289,04;1892,53;2967,48;3342,41;3620,79;4837,36;1494,78;5408,86;4173,37;14472,42;16494,62;18094,21;13972,78;15735,79;14895,06;15497,22;5310,38;2364,89;7774,54;7198,35;4249,01;7637,82;179132,90
"170560 Conceição do Tocantins";-;-;48,00;1073,40;3263,29;3445,88;3540,10;7030,38;5344,33;4595,54;4289,89;2961,95;3532,02;3030,86;5500,79;3314,80;4608,73;4090,55;6562,14;4736,65;2588,62;3061,85;1846,34;2635,19;3251,13;2932,94;1788,76;89074,13
"170600 Couto Magalhães";-;135,00;196,65;6222,89;8546,62;7686,12;11725,50;14507,21;12048,32;11677,73;7854,15;9168,90;9402,78;9367,27;6554,48;9784,66;11814,11;9148,55;14232,20;13294,63;28306,83;14808,80;23178,13;22557,65;36682,47;23680,65;22726,87;345309,17
"170610 Cristalândia";-;-;570,55;13772,53;10697,65;14506,39;12586,44;17496,48;14410,09;20721,39;11866,62;14439,60;17872,56;19258,34;17633,93;18129,11;28908,28;28139,59;19992,82;14000,82;26448,15;22654,48;17010,60;17728,85;27755,59;22943,47;32896,95;462441,28
"170625 Crixás do Tocantins";-;-;72,00;4014,23;3409,90;3591,13;3414,36;3909,58;3131,16;2733,74;3509,13;3530,39;4204,58;4005,03;4374,02;3603,24;3022,31;3684,67;4708,31;3753,54;7934,65;3671,31;3292,39;4997,91;4118,95;4162,63;7287,33;98136,49
"170650 Darcinópolis";150,00;90,00;559,00;29197,84;21932,67;19833,68;28038,29;32110,78;22717,69;18415,90;22592,28;23413,53;18274,36;22763,95;18650,76;22564,06;19335,08;24738,02;16318,16;28868,43;23947,80;29916,36;24624,63;21759,93;19746,39;21758,12;21490,77;553808,48
"170700 Dianópolis";-;-;264,34;28549,49;26705,43;34749,69;34234,33;50183,78;31780,89;29936,55;35082,56;30642,46;44799,10;40211,89;35818,36;29974,46;45944,46;38074,56;39277,40;45331,97;34631,24;47471,94;41630,04;49438,48;40024,47;35827,60;33119,22;903704,71
"170710 Divinópolis do Tocantins";32,40;-;597,00;10166,76;8174,02;12199,80;10279,40;15969,48;16751,56;13269,49;17986,22;13293,43;25204,87;12807,15;17775,45;22274,06;12226,11;14281,52;28679,67;17362,50;17198,96;18421,57;18317,08;22203,76;28843,25;25490,90;30495,42;430301,83
"170720 Dois Irmãos do Tocantins";-;-;312,00;7598,77;9097,61;13462,56;16555,18;13371,32;16593,98;9976,36;12416,43;11987,39;15353,46;16481,54;11111,54;15702,47;10214,17;10356,11;9177,78;8698,52;15808,64;12172,75;12926,98;11125,81;14688,51;10988,58;10489,77;296668,23
"170730 Dueré";-;-;-;7232,30;16433,20;19510,49;22423,19;24712,44;25398,47;11321,68;12919,15;24045,04;22841,19;27225,89;24615,94;18518,72;26737,41;13553,50;9427,08;22810,50;13494,74;20163,56;13268,42;19538,41;34139,37;14530,48;19439,19;464300,36
"170740 Esperantina";14,67;-;38,47;35398,72;33556,67;37022,11;65525,68;50627,50;33215,98;38277,34;48844,27;47671,57;41521,31;34293,54;48248,41;37301,84;38379,64;37145,03;29220,06;36342,09;38963,38;43141,32;34945,31;34527,96;41437,33;32570,83;26797,20;945028,23
"170755 Fátima";-;300,00;69,00;8887,80;7880,85;8896,57;7593,85;8990,10;9134,58;8717,65;8565,64;7953,44;10975,41;14167,28;5666,61;5284,78;5623,95;6682,35;4861,64;4598,51;5214,63;4741,24;5019,21;5452,26;5942,86;4787,93;4970,37;170978,51
"170765 Figueirópolis";-;-;-;3885,84;19733,29;11325,61;16148,28;21709,19;21652,79;21472,84;20006,46;12038,45;17602,77;5834,79;13186,80;16779,38;14471,91;10300,28;10517,48;8919,90;11515,99;7211,32;5105,21;20631,96;12109,46;9265,19;10680,71;322105,90
"170770 Filadélfia";15,15;315,00;69,00;18010,05;20087,93;17087,64;17546,06;17285,92;12171,25;16281,07;19054,70;14680,42;22342,21;21384,67;13557,10;13891,80;24052,27;15311,12;20306,61;22635,74;25647,33;23976,75;21069,45;14644,98;32616,25;24213,28;26379,99;474633,74
"170820 Formoso do Araguaia";-;-;694,50;52714,15;39002,16;31129,47;32204,80;38761,18;40974,86;40901,98;52820,34;37755,36;38625,43;48492,44;46197,44;43127,25;36858,97;50286,42;44213,74;44127,11;45607,13;52112,76;41812,40;35039,64;42518,93;44770,16;29896,57;1010645,19
"170825 Fortaleza do Tabocão";-;-;48,00;13004,82;12644,10;13500,45;10923,56;15928,69;7177,87;12696,63;8747,32;6406,28;7109,36;9717,16;4721,81;7286,06;6455,97;9626,74;12371,22;14893,52;10405,10;6868,86;11556,34;12165,68;11075,89;14252,33;4421,13;244004,89
"170830 Goianorte";-;-;96,00;6876,35;7095,46;11104,38;5248,74;16589,64;15462,52;13905,82;21865,54;15317,93;19834,28;9418,97;10525,21;8020,44;18211,63;8705,65;5678,89;15688,85;10282,86;17078,61;9555,38;6926,81;6135,80;8171,89;10173,22;277970,87
"170900 Goiatins";-;-;93,00;7307,81;8754,57;10695,34;14701,94;11275,01;11967,66;9863,69;12236,37;19089,35;14296,50;12909,27;21285,47;17249,39;10740,89;20975,24;14729,86;25111,03;39758,30;35905,13;38421,07;35137,41;29680,95;36074,06;21394,38;479653,69
"170930 Guaraí";-;225,00;531,00;78074,64;76633,95;78852,26;62628,08;58722,74;72805,66;72157,13;68248,23;79935,27;78271,81;67899,99;68865,09;67564,34;69994,34;80988,56;67515,81;85888,55;82137,62;90969,29;76944,76;85533,37;98561,31;91408,13;80489,59;1841846,52
"170950 Gurupi";17,74;7,30;3879,33;413244,33;339979,97;406649,72;409330,73;454070,23;430709,92;523845,53;370704,28;469423,21;442425,70;423833,67;490669,89;358868,72;382394,26;416421,46;444078,03;466625,35;483845,84;462393,86;489006,78;509057,39;421976,03;426086,80;402124,11;10441670,18
"170980 Ipueiras";-;-;-;7028,88;8049,30;7872,68;6092,80;8024,80;19214,14;8238,15;14471,27;10989,92;13583,72;8113,61;15855,50;10912,16;9464,98;12492,93;8521,49;12725,87;7149,91;7495,09;13715,65;7249,54;12563,38;7092,54;11431,91;248350,22
"171050 Itacajá";-;-;114,00;17776,63;17259,82;21607,55;14498,94;20299,19;34056,33;32200,51;19844,51;24660,76;19459,07;24831,56;22580,00;23151,59;24261,62;26575,40;18938,35;30788,64;16022,87;16384,38;15798,24;19061,61;16651,90;12581,59;16528,88;505933,94
"171070 Itaguatins";72,60;-;48,40;4283,16;2268,22;1265,39;3095,11;4650,28;2884,79;2541,38;2283,33;5788,92;10766,49;1236,24;1705,95;2748,13;15152,78;5366,48;3929,70;4968,19;5794,29;9386,98;16309,07;15580,21;19070,10;20639,37;15873,90;177709,46
"171090 Itapiratins";-;-;205,00;4265,61;1845,11;8885,62;2110,93;1755,98;5766,37;9671,37;10774,82;9665,40;11793,40;12824,02;10276,06;13038,06;14495,80;13288,65;10670,83;9950,04;15117,09;12723,37;15853,03;11931,11;12863,37;11849,77;15169,46;246790,27
"171110 Itaporã do Tocantins";-;45,00;135,00;430,75;1201,59;1244,88;1504,85;707,45;790,98;656,78;2650,52;797,91;6176,28;1655,59;1250,54;474,66;4120,12;1183,37;6553,41;4736,54;6925,71;2801,25;3766,64;6371,01;5700,65;5779,35;2897,91;70558,74
"171150 Jaú do Tocantins";-;-;-;2088,27;3743,55;5174,81;4624,72;3799,71;1379,89;2920,13;2898,23;3914,84;6253,44;4458,20;2238,61;1985,68;3299,87;2484,59;1883,02;2285,10;1747,27;2095,32;3500,07;4625,21;3068,60;8537,19;1772,22;80778,54
"171180 Juarina";-;-;138,00;2136,94;5878,85;1133,78;2939,66;1723,92;2194,72;2143,22;2000,46;3423,83;2731,95;2210,97;3675,32;8658,65;8411,76;7493,58;5315,60;11440,03;11784,67;10646,80;7351,84;6353,56;7251,21;3451,20;9659,97;130150,49
"171190 Lagoa da Confusão";-;483,16;643,99;15368,51;20857,20;19274,39;16982,09;18159,07;18712,75;17927,63;28314,44;24346,10;23198,96;26747,95;29512,25;33158,59;37068,30;40694,22;38478,13;37527,59;40234,30;36713,36;44203,33;46832,44;42087,97;33590,68;42263,07;733380,47
"171195 Lagoa do Tocantins";-;-;72,00;13686,69;15161,49;13337,27;12720,93;12503,07;10555,55;10263,09;14057,37;11737,50;12697,16;14639,14;10562,20;12716,19;12152,68;12335,50;9698,30;11912,96;12793,43;12873,01;12210,68;18980,74;15260,21;17468,40;16020,31;316415,87
