 Produção Ambulatorial do SUS - Brasil - por local de residência
Valor apresentado por Município e Ano/mês atendimento
Período:2018-2019
"Município";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"Total"
"110100 Governador Jorge Teixeira";-;-;127,10;26628,52;38807,30;43034,85;34588,24;34387,24;32341,06;29999,90;24772,32;31391,42;31207,66;33829,37;34650,35;27581,61;32204,20;33834,78;43724,14;31452,13;30282,37;35698,86;35695,35;46965,42;47415,13;44510,37;14609,16;819738,85
"110010 Guajará-Mirim";-;748,62;-;140236,03;151085,42;168753,73;155725,07;154743,02;143842,64;131020,81;144147,69;142736,04;160019,00;160263,28;171749,89;164169,47;199725,81;139326,61;142658,70;183006,80;172028,95;166140,12;182774,55;182933,06;180117,00;164765,63;142617,81;3845335,75
"110110 Itapuã do Oeste";-;233,85;-;22792,53;28120,78;30854,35;33990,76;36578,72;38147,27;24886,78;31162,02;43304,47;53940,24;49156,58;36350,66;49047,48;55327,66;53968,69;75014,36;60016,72;71320,58;56926,77;61400,68;60627,23;73947,69;78861,12;58596,86;1184574,85
"110011 Jaru";-;47,92;1856,24;212250,94;207945,03;210007,51;213250,84;243647,39;219035,02;241168,45;229324,68;256482,04;296798,58;282323,67;265479,80;351295,93;344895,48;237855,67;242933,63;236358,17;225923,95;244027,13;295123,80;246147,16;273675,70;275819,72;182341,18;6036015,63
"110012 Ji-Paraná";17,00;62,83;1782,39;666394,00;667869,21;852382,93;729341,73;784444,09;744185,00;656499,61;534358,88;658920,49;598936,36;618086,39;710903,65;834812,88;792975,48;605759,21;620456,21;684445,17;710657,27;687738,87;709362,09;683409,09;711227,34;673246,67;592248,90;16530523,74
"110013 Machadinho D'Oeste";-;97,44;97,44;76969,48;95385,62;103388,94;130078,81;82496,98;87032,65;79537,28;67171,56;88480,24;102217,11;88700,13;108734,72;123295,46;150639,31;102445,84;100230,61;107564,84;120193,75;112547,46;141056,91;130831,81;123110,87;91107,28;87371,03;2500783,57
"110120 Ministro Andreazza";-;-;871,34;50426,22;44463,56;30079,48;31303,03;34688,20;45887,98;48541,65;43817,53;34475,61;26669,05;28995,81;32125,25;37080,44;48458,21;23569,28;35784,53;31631,44;36035,77;43661,62;33171,54;27079,67;34762,19;24127,24;20311,01;848017,65
"110130 Mirante da Serra";-;-;97,44;47873,51;52758,37;57109,65;65081,63;56990,40;79798,02;70088,99;71819,57;62499,37;72986,54;66504,38;68683,41;90645,44;76081,07;71675,35;67999,43;184891,55;64257,21;73140,05;89902,41;75533,08;67647,20;88274,44;50716,67;1773055,18
"110140 Monte Negro";-;194,88;-;50645,84;52991,54;65009,21;54291,02;56846,19;46624,98;59922,96;55452,96;57054,40;63025,06;64903,85;69749,94;84748,13;58666,23;46830,38;60324,03;67986,72;65176,12;84183,43;74692,10;78959,85;68028,08;67164,00;54174,16;1507646,06
"110014 Nova Brasilândia D'Oeste";-;45,83;565,69;69903,09;84897,61;67421,52;76917,55;91472,82;85571,87;87475,05;91621,40;107341,11;93356,40;96619,63;93771,33;165256,95;122715,24;73318,24;83336,48;78247,29;61230,86;72663,88;91534,73;76310,73;90286,71;53215,56;74001,16;2089098,73
"110033 Nova Mamoré";-;320,61;413,67;56968,98;75069,50;71199,51;77862,77;65399,87;52405,08;73794,82;64480,85;61837,87;72402,25;55100,89;85614,77;84424,33;126669,55;89192,91;88565,22;85644,46;74947,28;89940,47;80111,75;75362,76;66775,24;80236,35;52919,46;1807661,22
"110143 Nova União";-;-;-;35662,40;27743,65;48368,78;31644,62;31291,39;37115,17;38702,42;28561,76;28829,48;36150,41;34958,71;47465,55;32809,51;45399,14;43286,83;30691,35;36787,46;33502,97;37456,62;57621,80;47908,69;46662,49;31693,28;24841,94;895156,42
"110050 Novo Horizonte do Oeste";-;-;1287,44;45074,42;70145,31;70049,88;46673,51;60905,91;57415,61;48733,23;42972,40;66884,64;47013,89;54436,08;48718,56;48252,05;56675,14;38966,54;33918,20;27528,26;40387,74;39177,29;42964,13;45163,95;50590,96;59338,40;29945,49;1173219,03
"110015 Ouro Preto do Oeste";-;-;2839,48;204950,53;208354,40;241681,05;197790,47;211460,97;231835,10;214525,62;181682,66;202776,80;207524,80;202056,40;236821,96;265503,03;285406,58;241542,58;236531,95;220945,66;261219,44;254785,68;268461,46;249871,94;237848,55;206157,01;178283,26;5450857,38
"110145 Parecis";-;-;-;10173,95;5428,74;7584,50;5843,47;7317,86;9167,18;6285,92;7316,96;7923,62;6194,09;3105,17;8173,67;11444,14;10039,58;5479,96;5931,60;8481,19;7784,31;6912,31;4670,11;9718,84;16066,90;7601,90;4209,52;182855,49
"110018 Pimenta Bueno";-;-;1962,25;168833,86;174862,03;181670,14;173335,79;189346,08;191329,58;177014,87;183968,50;198268,38;201972,72;190796,51;175695,80;227114,38;213663,48;174248,35;191220,78;182234,30;188507,49;185792,99;221858,47;201277,45;172122,14;207770,18;175639,43;4550505,95
"110146 Pimenteiras do Oeste";-;-;1612,50;5698,16;10118,39;11327,93;9109,81;11290,35;14833,41;14046,26;21234,29;18545,76;15426,66;12379,95;17726,80;10351,83;10602,64;10584,29;5752,51;6643,92;5551,26;9299,39;13472,81;14530,67;18237,06;23898,93;16061,31;308336,89
"110020 Porto Velho";483,16;28654,88;23710,97;3157696,46;3129995,30;3302035,26;3196822,71;3294294,93;3254601,93;3174435,68;3176799,50;3364391,35;3270531,60;3339786,59;3714697,84;3814954,00;4361569,08;3224959,68;3406326,41;3513655,65;3497886,41;3666358,10;3640247,75;3633136,13;3626478,19;3804119,21;2917482,29;82536111,06
"110025 Presidente Médici";-;415,89;192,68;108763,50;100774,24;135758,20;102962,58;121209,02;116306,89;104168,72;96048,12;117376,21;129122,22;131311,48;127277,93;179207,43;133437,96;114660,19;127625,41;128091,50;117799,78;113929,98;118439,41;98808,99;103778,53;116539,95;82183,79;2826190,60
"110147 Primavera de Rondônia";-;-;-;8298,02;11477,29;6068,33;12441,41;5763,36;6187,28;4859,90;4535,01;8890,82;8762,21;14419,84;6650,83;17819,58;19430,99;5690,28;12030,45;14851,00;12598,65;8558,02;8596,09;14658,39;19052,57;19576,50;11536,87;262753,69
"110026 Rio Crespo";-;-;-;15785,00;14798,38;26407,05;10947,19;7849,43;9571,09;14223,57;10236,89;7763,98;12531,15;16056,44;15013,50;16827,96;25878,55;12363,64;21387,08;7373,41;18906,73;14042,09;12701,05;22868,66;15460,27;18680,18;11824,84;359498,13
"110028 Rolim de Moura";-;288,43;7605,87;273881,25;244964,72;274712,91;291361,61;275530,73;264024,00;291973,72;232588,16;301466,41;272042,86;322886,43;317908,64;364691,32;392937,98;255780,47;227262,75;280680,74;278284,70;268552,08;256026,00;277933,90;275391,36;226944,75;173372,78;6649094,57
"110029 Santa Luzia D'Oeste";-;-;412,46;33883,32;38372,30;52499,90;27860,83;31532,45;25630,68;32496,69;29075,51;37118,05;37020,40;40349,06;37956,66;58259,39;52571,80;38743,73;35138,77;45915,88;43791,89;45226,43;55355,77;47333,54;30040,81;43730,81;29326,95;949644,08
"110148 São Felipe D'Oeste";-;6,97;-;27001,94;22899,53;18520,10;35253,20;22988,28;28200,50;32909,92;26705,00;31965,62;36748,93;33535,56;39684,18;32868,31;51728,19;28422,97;22225,68;38612,95;31114,09;35235,50;28731,12;27565,80;28220,55;30325,56;23798,90;735269,35
"110149 São Francisco do Guaporé";81,00;1085,49;982,58;55568,32;81935,70;73540,35;102320,58;80602,10;76943,05;74706,54;86039,90;121272,82;103511,59;79793,10;77132,56;116174,49;112122,26;115762,71;91155,40;116421,65;79654,15;80180,29;94272,55;99449,72;76893,83;95224,49;45565,59;2138392,81
