stations
65/Americana
72/Araçatuba
71/Araraquara
73/Bauru
42/Campinas-Centro
41/Campinas-Taquaral
43/Campinas-V.União
37/Capão Redondo
28/Carapicuíba
81/Catanduva
10/Cerqueira César
31/Cid.Universitária-USP-Ipen
8/Congonhas
24/Cubatão-Centro
25/Cubatão-V.Parisi
30/Cubatão-Vale do Mogi
15/Diadema
29/Grajaú-Parelheiros
62/Guaratinguetá
35/Guarulhos-Paço Municipal
40/Guarulhos-Pimentas
5/Ibirapuera
34/Interlagos
33/Itaim Paulista
50/Itaquera
54/Jacareí
75/Jaú
74/Jundiaí
64/Limeira
36/Marg.Tietê-Pte Remédios
76/Marília
22/Mauá
3/Mooca
6/N.Senhora do Ó
17/Osasco
1/Parque D.Pedro II
44/Paulínia
48/Paulínia-Sta Terezinha
66/Perus
39/Pico do Jaraguá
27/Pinheiros
77/Piracicaba
78/Presidente Prudente
84/Ribeirão Preto
59/Rio Claro-Jd.Guanabara
18/S.André-Capuava
38/S.Bernardo-Centro
19/S.Bernardo-Paulicéia
55/S.José Campos
56/S.José Campos-Jd.Satelite
57/S.José Campos-Vista Verde
53/Santa Gertrudes
2/Santana
16/Santo Amaro
82/Santos
83/Santos-Ponta da Praia
7/São Caetano do Sul
80/São José do Rio Preto
51/Sorocaba
20/Taboão da Serra
94/Tatuí
58/Taubaté
